frame,length,angle
0,927.4055208,1.413802051
1,608.1332091,1.397267202
2,568.594759,1.343733835
3,564.6892951,1.292739918
4,557.5204032,1.255285056
5,594.4695114,1.204347131
6,508.2489547,1.136189847
7,863.473219,1.064147766
8,733.6245634,1.011908036
9,761.8037805,0.924144795
10,395.4794559,0.853393538
11,391.8009699,0.767349582
25,599.0876397,-0.697944078
26,511.9453096,-0.785398163
27,646.5918342,-0.871899659
28,557.6602909,-0.94200004
29,513.0389849,-1.0119904
30,651.7330742,-1.06459201
31,671.7529308,-1.117800778
32,988.4396795,-1.151955664
33,634.3406025,-1.186191612
34,555.5033753,-1.221717726
35,1071.411219,-1.256719766
36,1082.457389,-1.273587892
37,899.8494318,-1.291580777
38,1121.412056,-1.291639245
39,1119.489616,-1.291146975
40,1077.09099,-1.274003878
41,1040.740602,-1.257249782
42,753.9190938,-1.239817846
43,993.9597577,-1.221681503
44,980.6655903,-1.186124096
45,641.495908,-1.151780608
46,646.6931266,-1.098850153
47,767.9068954,-1.047127549
48,491.1720676,-1.029678503
54,279.3510336,0.050137159
66,624.7599539,0.820491338
67,615.5209176,0.90747331
68,633.2345537,0.994619716
69,747.3185398,1.046671001
70,755.8207459,1.116024224
71,665.7244175,1.185826939
72,669.4871171,1.2391264
73,721.5407126,1.274029613
74,720.730879,1.292496668
75,773.5696478,1.307945625
76,894.4970654,1.378443478
77,1019.482712,1.396294592
78,1061.065502,1.413704494
79,1077.181507,1.41419445
80,747.0609078,1.414890344
81,1066.992034,1.414584237
82,803.9353208,1.413418454
83,854.9081822,1.396801726
84,753.3292773,1.362206233
85,634.5589019,1.309381835
86,856.1687918,1.29153405
87,970.5302674,1.25653993
88,811.0055487,1.203799547
89,906.8478373,1.134768727
90,723.9979282,1.047195899
91,491.1720676,1.029678503
92,407.8136829,0.959668595
93,731.0950691,0.872555438
94,359.2547842,0.769651434
106,323.8826948,-0.488504367
110,712.4864911,-0.820140881
111,626.4223815,-0.890570523
112,599.5139698,-0.959660414
113,405.6611887,-1.012197011
114,529.9669801,-1.0987101
115,809.0451162,-1.116545898
116,784.7611101,-1.152183849
117,595.3427584,-1.186858896
118,998.4027244,-1.221169599
119,1052.135448,-1.239728338
120,1082.800074,-1.25722316
121,744.4219234,-1.256692182
122,750.9487333,-1.273472253
123,1120.74618,-1.256946285
124,976.8546463,-1.25649141
125,997.1208553,-1.221768276
126,727.4352205,-1.203819887
127,747.4008295,-1.169418229
128,689.4243976,-1.135045437
129,517.4495144,-1.116655778
130,473.2948341,-1.082578994
131,526.157771,-1.029724936
132,231.1384866,-0.892677019
145,278.3522948,0.050317204
149,429.9790693,0.801844049
150,618.9345684,0.872334443
151,632.5290507,0.959552295
152,712.0007022,1.012792515
153,516.5510623,1.098490925
154,708.2040666,1.151998521
155,732.819896,1.203720465
156,742.0431254,1.186786461
157,640.9251126,1.290996455
158,817.9510988,1.308618885
159,864.2852538,1.343216974
160,1008.885524,1.362125973
161,990.2045243,1.37874831
162,1092.472883,1.396919504
163,1095.600748,1.396494244
164,1095.774612,1.395595475
165,1018.644197,1.379176598
166,927.0539359,1.378689484
167,899.6493761,1.361410934
168,617.8478777,1.292052026
169,502.5146764,1.238347628
170,1071.433619,1.23901069
171,1130.147336,1.187168041
172,664.1272468,1.100414813
173,478.2352977,1.080962002
174,769.9824673,1.012334677
