frame,length,angle
0,1195.143506,-0.384235384
1,1595.007837,-0.41905188
2,1051.449476,-0.45386485
3,1307.239075,-0.470831885
4,1109.883327,-0.488632332
5,1609.589078,-0.488934047
6,1621.271106,-0.506139962
7,1472.664252,-0.506175144
8,1619.911726,-0.50589932
9,1306.574912,-0.505760414
10,1607.353726,-0.48896922
11,985.0604042,-0.488165856
12,1022.358548,-0.471084042
13,1058.482404,-0.43702668
14,1445.954702,-0.418786088
15,1113.991921,-0.383673561
16,1558.328913,-0.366206315
17,1157.136552,-0.331862262
18,1109.367838,-0.296378185
19,1021.697118,-0.261358964
20,926.6461029,-0.226394415
21,1040.684871,-0.173837242
22,886.573742,-0.139185305
23,934.5169875,-0.086784689
24,700.4113077,-0.034272289
25,645.8955024,0.052664435
26,753.0106241,0.051815281
27,647.892738,0.052501939
28,614.7015536,0.158462497
29,633.8958905,0.209771166
30,710.9634308,0.052065578
31,621.8239301,0.051484254
32,725.995179,0.052365875
33,868.8618993,0.40081141
34,832.3034302,0.453975691
35,853.1178113,0.489336765
36,771.005188,0.522846226
37,719.9513872,0.541372335
38,1163.843632,0.576087057
39,728.8895664,0.594090808
40,1004.524266,0.627771622
41,929.0021529,0.645653958
42,1372.403731,0.645832786
43,880.5679985,0.663035198
44,1267.438756,0.662911549
45,1332.25373,0.66301815
46,810.4029862,0.646215811
47,1331.003381,0.645755049
48,943.5009274,0.628874211
49,970.707989,0.611147941
50,1038.692447,0.593610021
51,1164.68236,0.575619336
52,1083.699682,0.540894259
53,773.7370354,0.523795007
54,792.7067554,0.488473207
55,714.0119047,0.436711769
57,705.896593,0.366563582
61,704.6389146,0.156749435
62,782.78605,0.121661292
64,488.0655694,0.016391974
65,706.4424959,-0.035395975
66,1044.969856,-0.087194297
67,978.4973173,-0.139440057
68,703.6568766,-0.174260575
69,939.9877659,-0.226400156
70,820.8489508,-0.261230187
71,1094.810029,-0.296618603
72,1412.028682,-0.331828601
73,1582.092918,-0.36653851
74,1085.254348,-0.401383029
75,1602.62285,-0.418984593
76,995.411975,-0.43668785
77,979.8744818,-0.471406467
78,1310.819972,-0.471153439
79,1475.824515,-0.488801442
80,1308.060014,-0.488608224
81,1031.311786,-0.506156708
82,1016.82496,-0.48827967
83,1610.471981,-0.488642403
84,1018.177293,-0.488686312
85,1604.644509,-0.470893859
86,1600.202487,-0.45414538
87,1592.22423,-0.436399508
88,1103.638075,-0.401203522
89,1432.089383,-0.3836184
90,1172.691349,-0.348989567
91,1183.989865,-0.314272061
92,975.80992,-0.279285019
93,1096.50399,-0.244093903
94,499.124233,-0.191501718
95,679.3209845,-0.156678406
96,831.1594312,-0.121818065
97,922.2234003,-0.069453326
98,533.0759796,0.016883949
99,498.1616204,0.068304041
107,594.4854918,0.419249094
108,607.348335,0.453338696
109,856.2359488,0.488720723
110,888.8396931,0.523053435
111,765.7421237,0.541987248
112,1165.227017,0.576339243
113,1389.54417,0.593391773
114,968.4962571,0.611487257
115,1393.96736,0.628005147
116,1319.602971,0.645622961
117,1373.202461,0.645394494
118,1033.203271,0.646017557
119,1374.602852,0.645538062
120,1373.202461,0.645394494
121,1397.570034,0.627901973
122,1249.350631,0.627972418
123,1163.227407,0.610655537
124,708.4010164,0.576256863
125,1164.831748,0.558235315
126,789.408006,0.540202251
127,768.0937443,0.505581055
128,687.8321016,0.470799633
129,710.4378931,0.418938921
131,713.9866946,0.348771004
136,579.2210286,0.105509507
137,507.9094407,0.086738339
138,533.3038534,0.033758277
139,589.1027075,-0.018673551
140,554.0442221,-0.104876939
141,855.4028291,-0.156115673
143,1079.700421,-0.227007109
144,843.6521795,-0.261365925
145,1131.496796,-0.296874502
146,1561.919652,-0.331266364
147,1583.384982,-0.366901774
148,1117.5585,-0.400779484
149,1603.943266,-0.419300483
150,1047.306068,-0.436742527
151,1114.955156,-0.454020951
152,1533.0923,-0.471232061
153,1319.236901,-0.488396709
154,1608.236612,-0.488677151
155,1612.707351,-0.48860775
156,1612.707351,-0.48860775
157,1018.177293,-0.488686312
158,1609.57044,-0.471427391
159,1035.79776,-0.45371702
160,1181.964889,-0.436780495
161,1590.54016,-0.418926532
162,1055.712082,-0.400911708
163,1564.071929,-0.366852512
164,1551.813455,-0.332143496
165,900.9622634,-0.313677722
166,781.5555003,-0.26142659
167,1103.235696,-0.226730909
168,955.4935897,-0.191648497
169,756.3240046,-0.13927926
170,1050.66931,-0.103930394
171,707.9675134,-0.052286105
172,493.2930164,0.034469101
175,565.0530949,0.158165957
176,526.1064531,0.175773278
