originid,destinationid,distance,duration
12,20,2141,354
12,21,2615,498
12,22,2778,469
12,23,1262,189
12,24,2474,492
12,25,2474,492
12,26,1080,165
12,27,2509,408
12,28,2142,355
13,1,1909,409
13,2,1512,330
13,3,3561,588
13,4,627,136
13,5,1811,441
13,6,2674,565
13,7,638,137
13,8,1905,495
13,9,2199,482
13,10,1459,350
13,11,1052,244
13,12,1127,257
13,14,2314,528
13,15,2180,522
13,16,1395,312
13,17,2193,491
13,18,1338,302
13,19,1245,260
13,20,1976,452
13,21,1701,376
13,22,1116,228
13,23,2032,433
13,24,2309,590
13,25,2309,590
13,26,1850,409
13,27,847,166
13,28,1977,452
14,1,2668,337
14,2,2414,350
14,3,4358,524
14,4,2718,321
14,5,1799,367
14,6,1487,288
14,7,2729,322
14,8,1893,421
14,9,2509,483
14,10,1674,282
14,11,1954,264
14,12,2029,278
14,13,2792,389
14,15,3082,542
14,16,2297,332
14,17,1670,332
14,18,2240,322
14,19,3336,446
14,20,2878,472
14,21,2011,377
14,22,3206,413
14,23,3149,375
14,24,3211,610
14,25,3211,610
14,26,2967,350
14,27,2938,351
14,28,2879,472
15,1,1861,436
15,2,611,218
15,3,3480,674
15,4,1961,478
15,5,1311,391
15,6,2948,703
15,7,1972,479
15,8,1405,445
15,9,822,285
15,10,3892,657
15,11,1123,338
15,12,1222,363
15,13,2036,546
15,14,2585,648
15,16,728,236
15,17,2464,611
15,18,773,243
15,19,2580,602
15,20,204,100
15,21,1024,278
15,22,2450,570
15,23,1025,263
15,24,128,68
15,25,128,68
15,26,1207,289
15,27,2181,508
15,28,206,101
16,1,1397,307
16,2,117,19
16,3,3231,530
16,4,1354,270
16,5,1688,431
16,6,3007,633
16,7,1365,272
16,8,1782,485
16,9,880,215
16,10,3285,450
16,11,1146,268
16,12,615,155
16,13,1428,338
16,14,2644,578
16,15,786,211
16,17,2523,540
16,18,45,7
16,19,1972,395
16,20,581,140
16,21,1400,318
16,22,1842,362
16,23,948,142
16,24,914,278
16,25,914,278
16,26,1130,168
16,27,1574,300
16,28,583,141
17,1,2789,375
17,2,2534,388
17,3,4478,562
17,4,2838,359
17,5,1919,404
17,6,1607,325
17,7,2850,360
17,8,2013,458
17,9,2630,521
17,10,1795,320
17,11,2075,302
17,12,2150,315
17,13,2913,427
17,14,121,38
17,15,3203,580
17,16,2417,369
17,18,2360,359
17,19,3457,483
17,20,2998,509
17,21,2132,414
17,22,3327,450
17,23,3269,413
17,24,3331,647
17,25,3331,647
17,26,3087,388
17,27,3059,389
17,28,3000,510
18,1,1340,298
18,2,162,26
18,3,3174,521
18,4,1297,262
18,5,1733,438
18,6,3051,641
18,7,1308,263
18,8,1827,492
18,9,925,222
18,10,3228,441
18,11,1089,259
18,12,558,146
18,13,1372,329
18,14,2689,585
18,15,831,218
18,16,45,8
18,17,2568,548
18,19,1915,386
18,20,626,148
18,21,1445,326
18,22,1786,353
18,23,993,150
18,24,959,286
18,25,959,286
18,26,1175,176
18,27,1517,292
18,28,627,148
19,1,1820,416
19,2,1656,356
19,3,3049,489
19,4,265,81
19,5,1956,467
19,6,2465,524
19,7,277,82
19,8,2049,521
19,9,2343,508
19,10,1250,309
19,11,1196,270
19,12,1271,283
19,13,798,203
19,14,2458,554
19,15,2325,548
19,16,1539,337
19,17,2338,517
19,18,1482,328
19,20,2120,478
19,21,1846,401
19,22,530,169
19,23,2068,425
19,24,2453,615
19,25,2453,615
19,26,1886,400
19,27,486,111
19,28,2121,478
20,1,1800,414
20,2,834,195
20,3,3634,637
20,4,1757,378
20,5,1107,290
20,6,2757,587
20,7,1768,379
20,8,1201,344
20,9,1317,284
20,10,3688,557
20,11,919,238
20,12,1018,263
20,13,1831,445
20,14,2180,522
20,15,205,70
20,16,717,176
20,17,2060,484
20,18,660,166
20,19,2375,502
20,21,819,178
20,22,2245,469
20,23,1665,318
20,24,333,138
20,25,333,138
20,26,1847,344
20,27,1977,408
20,28,2,0
21,1,1679,410
21,2,743,189
21,3,3543,631
21,4,1665,371
21,5,803,228
21,6,2486,488
21,7,1677,373
21,8,897,282
21,9,642,161
21,10,2634,531
21,11,614,175
21,12,897,258
21,13,1740,439
21,14,2123,432
21,15,1369,369
21,16,626,170
21,17,2002,395
21,18,569,160
21,19,2284,496
21,20,1164,299
21,22,2154,463
21,23,1574,312
21,24,1497,437
21,25,1497,437
21,26,1756,338
21,27,1886,402
21,28,1166,299
22,1,1950,449
22,2,1786,389
