buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"388","1108239181",T,119.2,"39","98558",841260.637,819286.221
"389","1108239205",T,31.9,"10","3229",840576.906,819283.461
"390","1108239240",T,31.5,"10","4292",841114.026,819271.992
"391","1108239319",T,20.4,"6","4353",841128.015,819225.048
"392","1108239289",T,52.5,"17","33217",840537.149,819215.537
"393","1108239307",T,93.5,"31","23366",840667.946,819231.563
"394","1108239295",T,30.1,"10","5895",841116.061,819242.241
"395","1108239328",T,17.1,"5","1702",840609.972,819252.600
"396","1108239463",T,29.7,"9","6401",841104.154,819229.114
"397","1108239415",T,29.6,"9","5563",841140.558,819210.589
"398","1108239539",T,31.1,"10","7739",841111.630,819212.039
"399","1108239476",T,33.4,"11","11458",840612.597,819219.547
"400","1108239527",T,97.0,"32","32270",841157.266,819190.472
"401","1108239544",T,38.5,"12","8882",840705.108,819190.134
"402","1108239589",T,33.7,"11","7044",840860.857,819166.792
"403","1108240160",T,32.8,"10","7063",840871.071,818983.875
"404","1108240168",T,33.1,"11","10059",841038.901,818979.263
"405","1108239625",T,11.5,"3","1390",841173.468,819169.345
"406","1108239665",T,20.3,"6","8537",840892.335,819146.304
"407","1108239619",T,71.6,"23","11633",841185.985,819154.316
"408","1108239617",T,29.5,"9","26374",841287.924,819148.769
"409","1108239752",T,77.3,"25","17488",840956.547,819138.621
"410","1108239680",T,32.0,"10","8586",841026.221,819171.122
"411","1108239925",T,11.3,"3","797",840742.575,819097.091
"412","1108239989",T,14.3,"4","2011",840903.932,819075.817
"413","1108239980",T,98.9,"32","16726",841190.828,819067.070
"414","1108240086",T,36.8,"12","11431",841116.387,819007.105
"415","1108240099",T,31.4,"10","8977",840964.524,819034.894
"416","1109261360",T,74.8,"24","13110",840668.923,819362.946
"417","1109261384",T,71.0,"23","12545",840652.116,819378.432
"418","1109261388",T,69.2,"23","12725",840685.308,819346.119
"419","1810046262",P,9.7,"3","2683",840652.116,819378.432
"420","1108240138",T,27.9,"9","18876",840746.877,818973.384
"421","1108240140",T,29.3,"9","4093",841018.129,819000.313
"422","1108240164",T,30.8,"10","8217",840988.766,819005.756
"423","1108240118",T,33.1,"11","3897",841006.731,819015.442
"424","1108240219",T,44.4,"14","11372",841007.315,818979.562
"425","1108240260",T,33.0,"11","11853",841018.054,818964.489
"426","1108240193",T,29.2,"9","6304",840883.714,818968.668
"427","1108240329",T,32.5,"10","6406",841098.377,818907.770
"428","1108240295",T,28.7,"9","17413",840944.270,818912.226
"429","1108240439",T,61.7,"20","10661",841103.660,818864.655
"430","1108240495",T,33.3,"11","8444",841112.857,818845.421
"431","1108240559",T,33.7,"11","8513",841134.694,818818.604
"432","1108241353",T,6.6,"2","467",841048.353,818654.769
"433","1108246839",P,16.4,"5","18467",841283.933,819153.561
"434","1109609257",T,32.7,"10","19681",840778.740,819102.418
"435","1108240462",T,31.7,"10","12866",841284.582,818857.638
"436","1108246956",P,14.7,"4","3673",841322.126,818842.535
"437","1810174801",T,110.3,"36","16441",841303.417,818867.197
"438","1810174813",P,15.3,"5","4154",841303.417,818867.197
"439","1109609187",T,49.9,"16","15861",840499.129,819242.863
"440","1108239703",T,32.2,"10","17438",841323.286,819145.549
"441","1108239955",T,27.8,"9","8758",841314.169,819083.085
"442","1108239907",T,32.9,"10","19153",841364.548,819056.473
"443","1108239993",T,31.9,"10","11780",841230.577,819071.326
"444","1108240000",T,32.0,"10","19906",841389.594,819026.368
"445","1108240080",T,31.7,"10","25922",841417.460,818991.449
"446","1108240104",T,32.4,"10","10850",841230.577,819071.326
"447","1108240146",T,31.1,"10","36599",841448.752,818949.406
"448","1108240069",T,30.0,"10","13676",841619.218,819052.839
"449","1108240361",T,32.3,"10","6957",841282.949,818891.425
"450","1108240302",T,30.5,"10","12771",841407.906,818903.150
"451","1108240387",T,31.6,"10","12820",841358.654,818865.850
"452","1108238896",T,64.5,"21","43920",840979.184,819314.504
"453","1108239712",T,29.0,"9","7771",841012.351,819159.829
"454","1810178365",P,12.6,"4","3374",841022.614,819299.138
"455","1810178363",T,105.7,"35","18610",841020.747,819294.444
"456","1108236598",T,29.6,"9","5051",840233.090,819734.663
"457","1810183549",T,4.1,"1","70",841488.309,818864.965
"458","1810183550",T,4.1,"1","133",841473.484,818879.354
"459","1108237661",T,43.1,"14","4667",840296.055,819587.324
"460","1109609221",T,71.1,"23","5720",840219.091,819662.535
"461","1109609222",T,39.2,"13","2164",840247.068,819635.526
"462","1810184295",P,13.2,"4","15772",840320.202,819437.722
"463","1810177772",T,95.4,"31","99614",840404.012,819515.377
"464","1810187971",T,21.0,"7","5075",840846.547,819057.080
"465","1810187965",P,25.0,"8","6155",840845.854,819057.455
"466","1108238325",T,45.0,"15","18347",840476.716,819420.418
"467","1810190666",P,7.1,"2","10083",840095.162,819693.012
"468","1810190671",T,88.8,"29","129754",840099.378,819690.434
"469","1108240333",T,7.7,"2","619",840813.170,818912.454
"470","1810184294",T,82.9,"27","71224",840322.497,819445.530
"471","1108246649",P,15.2,"5","4832",840479.512,819509.427
"472","1108239864",T,29.3,"9","12598",840948.379,819109.236
"473","1108237926",T,31.8,"10","7384",840475.933,819512.937
"474","1108240332",T,33.4,"11","21595",840834.528,818906.445
"475","1108240413",T,32.1,"10","5914",841072.425,818885.337
"476","1108238675",T,132.3,"44","80142",840911.463,819334.724
"477","1108238990",T,74.2,"24","12391",841154.263,819332.959
"478","1108240962",T,64.4,"21","45671",841047.266,818678.311
"479","1810074643",T,110.2,"36","20491",840625.551,819451.164
"480","1109609267",T,59.5,"19","6437",840817.449,819052.587
"481","1108240503",T,9.6,"3","237",840895.535,818838.934
"482","1108240485",T,9.5,"3","260",840890.425,818845.390
