sampleid,x,y,routeid,distance
"167",841026.774,818775.067,"9","80"
"168",840695.537,819467.583,"10","0"
"169",840693.020,819471.903,"10","5"
"170",840690.475,819476.200,"10","10"
"171",840686.712,819479.493,"10","15"
"172",840682.527,819482.204,"10","20"
"173",840678.871,819485.351,"10","25"
"174",840677.261,819490.033,"10","30"
"175",840678.195,819494.931,"10","35"
"176",840679.499,819499.758,"10","40"
"177",840680.804,819504.585,"10","45"
"178",840682.070,819509.421,"10","50"
"179",840683.255,819514.279,"10","55"
"180",840684.439,819519.136,"10","60"
"181",840684.928,819524.067,"10","65"
"182",840681.961,819527.988,"10","70"
"183",840677.479,819530.202,"10","75"
"184",840672.926,819532.264,"10","80"
"185",840668.346,819534.271,"10","85"
"186",840663.766,819536.277,"10","90"
"187",840659.186,819538.284,"10","95"
"188",840655.101,819541.124,"10","100"
"189",840651.145,819544.182,"10","105"
"190",840317.403,819554.947,"11","0"
"191",840320.979,819551.452,"11","5"
"192",840324.554,819547.957,"11","10"
"193",840328.130,819544.462,"11","15"
"194",840331.706,819540.968,"11","20"
"195",840335.282,819537.473,"11","25"
"196",840338.857,819533.978,"11","30"
"197",840951.794,819428.951,"12","0"
"198",840947.145,819430.792,"12","5"
"199",840942.496,819432.633,"12","10"
"200",840937.848,819434.473,"12","15"
"201",840933.199,819436.314,"12","20"
"202",840928.550,819438.155,"12","25"
"203",840923.901,819439.996,"12","30"
"204",840919.253,819441.837,"12","35"
"205",840914.604,819443.678,"12","40"
"206",840909.955,819445.519,"12","45"
"207",840905.306,819447.360,"12","50"
"208",840900.658,819449.201,"12","55"
"209",840896.009,819451.042,"12","60"
"210",840891.360,819452.883,"12","65"
"211",840886.711,819454.724,"12","70"
"212",840882.056,819456.548,"12","75"
"213",840877.398,819458.366,"12","80"
"214",840872.740,819460.184,"12","85"
"215",840868.083,819462.002,"12","90"
"216",840863.425,819463.820,"12","95"
"217",840858.767,819465.638,"12","100"
"218",840854.109,819467.456,"12","105"
"219",840849.452,819469.275,"12","110"
"220",840844.794,819471.093,"12","115"
"221",840840.136,819472.911,"12","120"
"222",840835.478,819474.729,"12","125"
"223",840830.821,819476.547,"12","130"
"224",840826.170,819478.384,"12","135"
"225",840821.539,819480.267,"12","140"
"226",840816.907,819482.150,"12","145"
"227",840812.275,819484.033,"12","150"
"228",840807.643,819485.916,"12","155"
"229",840803.011,819487.799,"12","160"
"230",840798.380,819489.683,"12","165"
"231",840793.748,819491.566,"12","170"
"232",840789.116,819493.449,"12","175"
"233",840784.484,819495.332,"12","180"
"234",840779.852,819497.215,"12","185"
"235",840775.220,819499.098,"12","190"
"236",840770.589,819500.982,"12","195"
"237",840765.957,819502.865,"12","200"
"238",840761.325,819504.748,"12","205"
"239",840756.693,819506.631,"12","210"
"240",840434.296,819629.608,"13","0"
"241",840429.641,819631.432,"13","5"
"242",840424.986,819633.256,"13","10"
"243",840420.330,819635.080,"13","15"
"244",840415.700,819636.966,"13","20"
"245",840411.105,819638.937,"13","25"
"246",840406.510,819640.908,"13","30"
"247",840401.915,819642.879,"13","35"
"248",840397.320,819644.850,"13","40"
"249",840392.725,819646.821,"13","45"
"250",840388.201,819648.951,"13","50"
"251",840383.690,819651.106,"13","55"
"252",840379.178,819653.262,"13","60"
"253",840374.667,819655.417,"13","65"
"254",840370.155,819657.573,"13","70"
"255",840365.702,819659.837,"13","75"
"256",840361.406,819662.396,"13","80"
"257",840357.111,819664.955,"13","85"
"258",840352.815,819667.514,"13","90"
"259",840348.520,819670.073,"13","95"
"260",840344.224,819672.632,"13","100"
"261",840339.929,819675.191,"13","105"
"262",840335.633,819677.750,"13","110"
"263",840331.338,819680.310,"13","115"
"264",840327.232,819683.157,"13","120"
"265",840323.174,819686.079,"13","125"
"266",840319.117,819689.000,"13","130"
"267",840315.059,819691.922,"13","135"
"268",840311.111,819694.989,"13","140"
"269",840307.166,819698.062,"13","145"
"270",840303.222,819701.134,"13","150"
"271",840299.744,819704.631,"13","155"
"272",840297.071,819708.856,"13","160"
"273",841087.134,818695.809,"14","0"
"274",841083.828,818699.561,"14","5"
"275",841080.699,818703.460,"14","10"
"276",841077.570,818707.360,"14","15"
"277",841074.301,818711.142,"14","20"
"278",841070.997,818714.895,"14","25"
"279",841067.694,818718.649,"14","30"
"280",841064.394,818722.405,"14","35"
"281",841061.215,818726.264,"14","40"
"282",841058.035,818730.123,"14","45"
"283",841054.611,818733.745,"14","50"
"284",841050.860,818737.051,"14","55"
"285",841046.854,818740.040,"14","60"
"286",840541.337,819549.781,"15","0"
"287",840538.427,819545.715,"15","5"
"288",840535.038,819542.051,"15","10"
"289",840531.533,819538.486,"15","15"
"290",840528.027,819534.920,"15","20"
"291",840524.522,819531.355,"15","25"
"292",840521.017,819527.790,"15","30"
"293",840517.511,819524.224,"15","35"
"294",840513.986,819520.678,"15","40"
"295",840510.432,819517.161,"15","45"
"296",840404.293,819473.907,"16","0"
"297",840409.293,819473.917,"16","5"
"298",840414.293,819473.927,"16","10"
"299",840419.293,819473.937,"16","15"
"300",840424.289,819474.051,"16","20"
"301",840429.272,819474.457,"16","25"
"302",840434.256,819474.862,"16","30"
"303",840439.239,819475.268,"16","35"
"304",840444.223,819475.674,"16","40"
"305",840449.105,819476.613,"16","45"
"306",840453.893,819478.053,"16","50"
"307",840458.681,819479.494,"16","55"
"308",841022.084,818766.375,"17","0"
"309",841018.840,818770.180,"17","5"
"310",841015.596,818773.985,"17","10"
"311",841012.353,818777.790,"17","15"
"312",841009.109,818781.595,"17","20"
"313",841005.865,818785.400,"17","25"
"314",841002.621,818789.205,"17","30"
"315",840999.378,818793.010,"17","35"
"316",840996.134,818796.815,"17","40"
