district1,STREETTYPE,len
H06,SER,66.426
H06,MAR,45.033
H06,MAR,58.167
H06,MAR,127.208
H06,MAR,58.831
H06,MAR,21.521
H06,MAR,53.278
H06,MAR,9.313
H06,SER,32.075
H06,SER,53.571
H06,SER,34.945
H06,SER,38.755
H06,SER,16.247
H06,SER,215.573
H06,MAR,229.796
H06,SER,297.572
H06,SER,58.163
H06,MAR,88.493
H06,SER,197.02
H06,MAR,219.452
H06,MAR,45.845
H06,SER,187.14
H06,SER,0.163
H06,MAR,252.015
H06,SER,61.337
H06,SER,55.124
H06,SER,49.868
H06,SER,116.762
H06,MAR,156.09
H06,SER,24.657
H06,SER,123.191
H06,SER,75.944
H06,MAR,268.619
H06,MAR,164.676
H06,MAR,159.396
H06,MAR,70.442
H06,MAR,210.604
H06,MAR,152.947
H06,SER,45.526
H06,SER,49.478
H06,SER,56.711
H06,SER,30.752
H07,SER,241.292
H07,SER,96.686
H07,SER,108.704
H07,SER,14.754
H07,MAR,49.556
H07,SER,27.522
H07,SER,121.249
H07,SER,29.278
H07,SER,147.126
H07,SER,214.951
H07,SER,85.315
H07,SER,124.38
H07,SER,75.214
H07,SER,103.815
H07,SER,74.816
H07,SER,7.232
H07,SER,47.519
H07,SER,12.086
H07,SER,105.347
H07,SER,79.656
H07,SER,74.911
H07,SER,51.448
H07,SER,3.795
H07,SER,104.823
H07,SER,18.763
H07,SER,99.639
H07,SER,66.232
H07,SER,25.621
H07,SER,86.502
H07,SER,48.903
H07,SER,121.355
H07,SER,68.914
H07,SER,323.253
H07,SER,9.515
H07,MAR,6.042
H07,SER,67.593
H07,MAR,45.492
H07,SER,42.581
H07,MAR,45.077
H07,MAR,88.279
H07,SER,80.498
H07,SER,49.31
H07,SER,59.017
H07,SER,48.474
H07,SER,76.573
H07,SER,82.882
H07,SER,35.505
H07,SER,61.238
H07,SER,22.751
H07,SER,29.531
H07,TUN,127.499
H07,SER,111.389
H07,SER,106.801
H07,SER,36.094
H07,SER,28.055
H07,SER,23.509
H07,SER,17.063
H07,SER,128.987
H07,SER,77.257
H07,SER,51.865
H07,SER,146.763
H07,MAR,46.037
H07,SER,119.779
H07,SER,0.044
H07,MAR,44.632
H07,MAR,51.218
H07,SER,109.638
H07,MAR,1.542
H07,SER,60.995
H07,SER,124.205
H07,MAR,44.09
H07,SER,58.652
H07,SER,33.565
H07,SER,144.004
H07,SER,19.342
H07,SER,18.015
H07,SER,82.863
H07,SER,17.067
H07,SER,16.301
H07,SER,103.325
H07,SER,45.097
H07,SER,31.315
H07,SER,26.159
H07,SER,17.062
H07,SER,12.826
H07,SER,119.015
H07,MAR,41.56
H07,MAR,9.636
H07,MAR,7.129
H08,SER,19.691
H08,SER,20.189
H08,SER,32.698
H08,SER,44.141
H08,SER,20.777
H08,SER,48.528
H08,SER,24.784
H08,SER,15.418
H08,SER,37.309
H08,SER,15.265
H08,SER,120.74
H08,SER,29.209
H08,SER,123.874
H08,SER,12.701
H08,SER,20.052
H08,SER,13.358
H08,SER,57.895
H08,SER,65.465
H08,SER,181.566
H08,SER,88.044
H08,SER,32.67
H08,SER,159.057
H08,SER,158.841
H08,SER,147.654
H08,SER,90.191
H08,SER,0.001
H08,SER,149.508
H08,MAR,253.88
H08,MAR,9.238
H08,SER,110.901
H08,SER,67.149
H08,SER,104.65
H08,SER,59.447
H08,SER,56.51
H08,SER,0.359
H08,SER,0.264
H08,SER,53.506
H08,MAR,74.649
H08,SER,89.109
H08,SER,98.386
H08,SER,72.077
H08,MAR,320.008
H08,MAR,70.04
H08,SER,122.172
H08,SER,34.471
H08,SER,91.43
H08,SER,3.27
H08,SER,83.815
H08,SER,15.459
H08,SER,47.717
H08,SER,0.878
H08,SER,35.531
H08,SER,28.577
H08,SER,55.05
H08,SER,49.012
H08,SER,28.44
H08,SER,57.025
H08,SER,97.493
H08,SER,52.363
H08,MAR,68.364
H08,MAR,2.792
H08,MAR,22.903
H08,MAR,150.5
H08,MAR,241.168
H08,MAR,162.512
H08,MAR,211.518
H08,SER,18.381
H08,MAR,25.189
H08,MAR,60.743
H08,MAR,337.151
H08,MAR,35.943
H08,SER,79.378
H09,SER,118.03
H09,SER,27.805
H09,SER,76.443
H09,SER,34.159
H09,SER,116.222
H09,SER,123.483
H09,SER,162.234
H09,SER,0.532
H09,SER,227.067
H09,SER,8.485
H09,SER,96.302
H09,SER,100.602
H09,SER,0.073
H09,SER,14.684
H09,MAR,83.931
H09,SER,141.876
H09,MAR,192.643
H09,SER,52.888
H09,SER,0.098
H09,SER,34.634
H09,MAR,4.715
H09,SER,96.621
H09,SER,0.123
H09,SER,119.264
H09,SER,73.509
H09,SER,40.347
H09,SER,58.803
H09,SER,8.959
H09,SER,41.649
H09,SER,171.413
H09,SER,57.038
H09,MAR,56.281
H09,SER,0.142
H09,SER,147.073
H09,SER,15.895
H09,MAR,99.618
H10,SER,175.179
H10,MAR,82.768
H10,SER,65.137
H10,SER,37.031
H10,MAR,201.249
H10,SER,34.39
H10,SER,33.247
H10,SER,191.196
H10,MAR,43.279
H10,SER,84.841
H10,SER,77.993
H10,SER,96.333
H10,MAR,19.945
H10,SER,57.665
H10,SER,65.001
H10,SER,110.228
H10,SER,20.761
H10,SER,110.223
H10,SER,79.774
H10,SER,119.929
H10,SER,12.115
H10,SER,23.394
H10,SER,73.196
H10,SER,90.107
H10,SER,32.657
H10,SER,65.585
H10,SER,86.853
H10,SER,129.135
H10,SER,41.238
H10,MAR,68.71
H10,SER,0.07
H10,SER,10.001
H10,SER,175.955
H10,SER,4.92
H10,SER,34.963
H10,SER,42.141
H10,SER,51.494
H10,SER,92.481
H10,SER,54.175
H10,SER,71.488
H10,SER,26.984
H10,SER,37.807
H10,SER,36.122
H10,SER,13.318
H10,SER,11.918
H11,MAR,112.858
H11,SER,85.939
H11,SER,210.263
H11,SER,112.127
H11,SER,15.663
H11,SER,160.81
H11,SER,28.405
H11,SER,132.189
H11,SER,62.013
H11,SER,0.466
H11,SER,24.55
H11,SER,112.515
H11,SER,1.982
H11,SER,115.721
H11,SER,86.465
H11,SER,201.566
H11,SER,61.513
H11,SER,0.001
H11,SER,0.103
H11,SER,68.243
H11,SER,29.54
H11,SER,0.037
H11,SER,53.294
H11,SER,58.788
H11,SER,86.993
H11,SER,0.053
H11,SER,18.514
H11,SER,0.073
H11,SER,10.7
H11,SER,60.005
H11,SER,69.956
H11,SER,165.584
H12,SER,25.008
H12,SER,25.173
H12,SER,30.53
H12,MAR,182.47
H12,MAR,1.729
H12,SER,48.436
H12,SER,102.195
H12,SER,121.831
H12,SER,74.219
H12,SER,154.357
H12,SER,1.98
H12,SER,58.466
H12,SER,104.694
H12,SER,124.947
H12,SER,27.391
H12,SER,99.216
H12,SER,0.57
H12,SER,89.157
H12,SER,55.077
H12,SER,88.038
H12,SER,82.923
H12,SER,0.079
H12,SER,21.934
H12,SER,33.268
H12,MAR,197.535
H12,SER,186.315
H12,SER,57.326
H12,SER,17.379
H12,SER,51.196
H12,SER,50.693
H12,SER,16.962
H12,SER,46.475
H12,MAR,57.235
H12,SER,1.996
H12,SER,3.57
H12,SER,45.615
H12,SER,77.286
H12,SER,27.162
H12,SER,0.085
H12,SER,70.624
H12,SER,28.594
H13,MAR,73.615
H13,MAR,11.235
H13,MAR,109.182
H13,TUN,40.233
H13,SER,51.994
H13,SER,67.427
H13,SER,22.438
H13,SER,26.148
H13,SER,41.279
H13,SER,36.364
H13,SER,179.606
H13,SER,125.693
H13,SER,317.311
H13,SER,28.807
H13,SER,85.378
H13,SER,106.517
H13,SER,159.097
H13,SER,0.068
H13,MAR,24.324
H13,SER,103.775
H13,MAR,8.594
H13,SER,99.049
H13,SER,50.101
H13,SER,105.392
H13,SER,42.517
H13,SER,60.136
H13,SER,38.099
H13,MAR,19.676
H13,MAR,9.44
H13,MAR,173.736
H13,MAR,0.377
H13,SER,506.295
H13,SER,100.592
H13,MAR,51.811
H13,SER,15.579
H13,SER,101.332
H14,SER,53.623
H14,SER,37.47
H14,SER,28.342
H14,SER,41.395
H14,SER,50.181
H14,SER,96.511
H14,SER,26.113
H14,SER,1.802
H14,SER,264.13
H14,SER,0.001
H14,SER,0.157
H14,SER,283.225
H14,SER,180.487
H14,SER,45.092
H14,SER,17.21
H14,SER,83.826
H14,SER,65.953
H14,SER,78.795
H14,SER,43.119
H14,SER,52.789
H14,SER,128.098
H14,SER,111.133
H14,SER,30.718
H14,SER,55.273
H14,SER,20.621
H14,SER,28.087
H14,SER,76.939
H14,SER,0.001
H14,SER,49.15
H14,SER,57.578
H14,SER,66.717
H15,SER,27.212
H15,SER,34.568
H15,SER,33.824
H15,SER,110.294
H15,SER,100.875
H15,SER,83.724
H15,SER,63.656
H15,SER,48.311
H15,SER,214.831
H15,SER,61.937
H15,SER,199.214
H15,SER,61.442
H15,SER,71.086
H16,SER,55.791
H16,SER,65.93
H16,SER,71.939
H16,SER,38.372
H16,SER,177.325
H16,SER,58.567
H16,SER,255.815
H16,SER,78.97
H16,SER,66.723
H16,SER,111.867
H16,SER,25.531
H16,SER,71.188
H16,SER,46.356
H16,SER,37.35
H16,SER,78.124
H16,SER,9.419
H16,SER,152.447
H16,SER,69.467
H16,SER,55.037
H16,SER,39.139
H16,SER,23.4
H16,SER,33.685
H16,SER,59.684
H16,SER,147.91
H16,SER,51.071
H16,SER,28.644
H16,SER,56.054
H16,SER,59.696
H16,SER,22.456
H16,SER,89.091
H16,SER,73.446
H16,SER,94.102
H16,SER,35.438
H16,SER,142.482
H16,SER,22.974
H17,SER,166.026
H17,SER,82.152
H17,SER,40.978
H17,SER,30.941
H17,SER,946.499
H17,SER,418.275
H17,SER,116.978
H17,SER,127.834
H17,SER,118.606
H17,SER,70.018
H17,SER,47.217
H17,SER,57.277
H17,SER,59.619
H17,SER,42.549
H17,SER,19.443
H17,SER,117.865
H17,SER,67.483
H17,SER,154.333
H17,SER,110.009
H18,SER,66.212
H18,SER,3.055
H18,TUN,715.929
H18,SER,626.862
H18,SER,28.97
H18,TUN,687.068
H18,SER,649.698
H18,SER,1120.514
H18,SER,20.466
H18,SER,80.476
H18,SER,58.618
H18,SER,0.028
H18,SER,47.676
H18,SER,83.505
H18,SER,26.77
H18,SER,17.233
H18,SER,182.027
H18,SER,38.106
H18,SER,18.963
H18,SER,87.467
H18,SER,27.337
H18,SER,43.164
H18,SER,170.584
H18,SER,83.67
H18,SER,47.403
H18,SER,125.394
H18,SER,82.886
H18,SER,34.851
H18,SER,71.264
H18,SER,1.092
H18,SER,17.333
H18,SER,71.626
H18,SER,5.573
H18,SER,29.674
H18,SER,89.061
H18,SER,46.36
H18,SER,104.44
H18,SER,643.143
H18,SER,19.878
H18,SER,43.496
H18,SER,74.192
H18,SER,58.835
H18,SER,48.711
H18,SER,0.001
H18,SER,141.512
H18,SER,1.041
H18,SER,169.083
H18,SER,171.428
H19,SER,12.851
H19,SER,44.211
H19,SER,125.224
H19,SER,57.166
H19,SER,109.388
H19,SER,14.482
H19,SER,0.051
H19,SER,0.131
H19,SER,60.469
H19,SER,48.342
H19,SER,87.659
H19,SER,86.813
H19,SER,103.691
H19,SER,14.664
H19,SER,38.5
H19,SER,284.155
H19,SER,43.964
H19,SER,0.259
H19,SER,0.012
H19,SER,44.636
H19,SER,54.714
H19,SER,45.392
H19,SER,248.481
H19,SER,65.938
H19,SER,20.782
H19,SER,29.27
H19,SER,65.481
H19,SER,25.672
H19,SER,77.599
H19,SER,14.229
H20,SER,140.67
H20,SER,51.4
H20,SER,37.338
H20,SER,34.929
H20,SER,88.089
H20,SER,100.459
H20,SER,29.558
H20,TUN,483.43
H20,TUN,513.701
H20,SER,1435.189
H20,SER,32.959
H20,SER,124.388
H20,SER,27.799
H20,SER,50.825
H20,SER,27.125
H20,SER,11.148
H20,SER,40.438
H20,SER,120.177
H20,SER,46.703
H20,SER,180.971
H20,SER,32.278
H20,SER,10.238
H20,SER,95.257
H20,SER,119.775
H20,SER,12.805
H20,SER,196.139
H20,SER,66.718
H20,SER,123.447
H20,SER,123.029
H20,SER,83.777
H20,SER,63.427
H20,SER,34.679
H20,SER,148.972
H20,SER,100.629
H20,SER,102.832
H20,SER,59.351
H20,SER,55.481
H20,SER,54.975
H20,SER,29.211
H20,SER,29.979
H20,SER,1.82
H20,SER,2.292
H21,SER,0.001
H21,SER,24.09
H21,SER,1.676
H21,SER,777.892
H21,SER,77.826
H21,SER,16.845
H21,SER,48.965
H21,SER,74.465
H21,SER,52.221
H21,SER,233.525
H21,SER,96.642
H21,SER,26.652
H21,SER,36.296
H21,SER,47.198
H21,SER,89.565
H21,SER,106.813
H21,SER,64.943
H21,SER,74.03
H21,SER,245.645
H21,SER,34.069
H21,SER,25.27
H21,SER,124.38
H21,SER,204.114
H22,SER,0.074
H22,SER,228.576
H22,SER,34.602
H22,SER,95.039
H22,MAR,0.124
H22,SER,4.37
H22,MAR,0.028
H22,MAR,40.074
H22,SER,18.157
H22,SER,45.457
H22,SER,110.363
H22,SER,40.602
H22,SER,49.429
H22,SER,36.029
H22,SER,135.06
H22,SER,36.742
H22,SER,37.116
H22,SER,25.904
H22,SER,14.212
H22,SER,13.33
H22,SER,33.417
H22,SER,27.396
H22,SER,39.505
H22,SER,42.581
H22,SER,85.726
H22,SER,171.739
H23,SER,104.164
H23,SER,156.015
H23,SER,33.856
H23,SER,54.637
H23,SER,2.253
H23,MAR,23.015
H23,MAR,34.985
H23,MAR,30.065
H23,MAR,1.631
H23,SER,0.015
H23,SER,35.999
H23,SER,66.083
H23,SER,26.893
H23,SER,76.08
H23,SER,75.549
H23,SER,196.687
H23,SER,70.882
H23,SER,0.203
H23,SER,66.204
H23,SER,0.001
H23,SER,294.387
H23,SER,35.971
H23,SER,107.787
H23,SER,37.865
H23,SER,24.004
H23,SER,9.798
H23,SER,116.312
H23,SER,93.174
H23,SER,73.503
H23,SER,34.028
H23,SER,0.001
H23,SER,74.605
H23,SER,121.074
H23,SER,49.083
H23,SER,69.392
H23,SER,107.772
H23,SER,15.957
H23,SER,67.815
H23,MAR,0.581
H24,MAR,166.282
H24,SER,237.876
