,min
10,0.9462119020061729
50,1.4930541087962963
90,1.4480208333333333
130,1.3847993827160494
170,1.4745273919753086
210,1.4398707561728394
250,1.4007161458333333
290,1.47719425154321
330,1.4064342206790124
370,1.5213146219135802
410,1.4052546296296295
449,1.5790760030864197
489,1.4977387152777777
529,1.388413387345679
568,1.5372063078703704
608,1.4662032214506173
648,1.4585026041666667
688,1.4916319444444444
728,1.379522087191358
767,1.3906346450617284
807,1.4336549961419753
847,1.4199778163580248
886,1.4033135609567902
926,1.4156240354938272
965,1.3632884837962962
1005,1.4749228395061729
1045,1.476943962191358
1084,1.4539023919753087
1124,1.4010243055555556
1163,1.3512297453703703
1202,1.4156896219135802
1242,1.4535773533950618
1282,1.4450978973765432
1321,1.3900911458333334
1360,1.3607257908950616
1399,1.4450101273148148
1439,1.503723476080247
1478,1.4114404899691357
1518,1.4452165316358025
1557,1.4346556712962963
1596,1.4384910300925926
1636,1.4508796296296296
1675,1.376950713734568
1714,1.4452223186728395
1754,1.3906110146604937
1793,1.4370683834876543
1832,1.3681809413580246
1871,1.356442901234568
1910,1.4511574074074074
1950,1.4693422067901234
1989,1.4016478587962964
2028,1.4738146219135801
2067,1.4143132716049382
2106,1.4882118055555555
2146,1.4498760609567902
2185,1.4582990933641975
2224,1.3756418788580247
2263,1.3838792438271605
2302,1.4212181712962964
2341,1.4155179398148148
2380,1.3722704475308642
2419,1.4936988811728396
2458,1.4077126736111112
2497,1.356135223765432
2536,1.36859375
2575,1.3384688464506174
2614,1.3516792052469135
2653,1.418410976080247
2692,1.3912977430555555
2731,1.4240215084876544
2770,1.3449860146604937
2809,1.4066825810185186
2848,1.440952449845679
2887,1.4492047646604937
2926,1.3760773533950617
2965,1.4416261574074074
3004,1.3811979166666666
3042,1.46030574845679
3081,1.4014829282407408
3120,1.410986689814815
3158,1.4519425154320988
3198,1.4179335455246913
3236,1.4220857445987654
3275,1.4033304398148148
3314,1.381968074845679
3353,1.4044458912037037
3392,1.3441276041666668
3431,1.3411222029320988
3470,1.3788541666666667
3508,1.4590065586419754
3547,1.370207851080247
3586,1.3351847029320987
3625,1.3479296875
3664,1.3918798225308642
3703,1.3934514853395061
3741,1.4323538773148148
3780,1.413149112654321
3819,1.3843788580246914
3857,1.4187697723765431
3896,1.404185474537037
3935,1.3241251929012345
3974,1.3752671682098765
4013,1.3511222029320988
4051,1.4150221836419754
4090,1.3983738425925927
4129,1.397358699845679
4168,1.3919545717592592
4206,1.4105131172839507
4245,1.3940581597222221
4283,1.386815200617284
4322,1.3694261188271606
4361,1.3321011766975308
4400,1.3366092785493826
4438,1.353193962191358
4477,1.3730844907407407
4516,1.4102199074074073
4555,1.3823731674382715
4593,1.3969883294753087
4631,1.3598056520061728
4670,1.32731143904321
4708,1.4526302083333333
4748,1.3028385416666666
4786,1.3697487461419753
4825,1.3467023533950617
4864,1.3630266203703705
4902,1.4651967592592592
4940,1.4309090470679013
4980,1.4431172839506172
5018,1.3548056520061729
5057,1.4186699459876544
5096,1.4183497299382717
5134,1.3289597800925925
5173,1.3968021797839507
5211,1.4456114969135803
5250,1.4226514274691358
5288,1.368732638888889
5327,1.305396412037037
5366,1.3615711805555555
5404,1.3427666859567902
5443,1.3436887538580247
5480,1.4155815972222223
5518,1.5393547453703704
