,min
1,2.6925303819444446
38,1.6130222800925926
79,1.5797067901234567
121,1.4740340470679012
163,1.6320293209876544
204,1.715325038580247
245,1.6452483603395063
287,1.6222863618827161
328,1.6802411265432098
369,1.6052199074074074
410,1.4719217785493828
451,1.4496701388888888
492,1.5670153356481482
533,1.5255092592592592
573,1.6613700810185186
614,1.4327247299382717
655,1.5420683834876543
695,1.4956211419753087
735,1.6857412229938271
776,1.595087287808642
817,1.6947738233024692
857,1.5549397183641975
897,1.548200713734568
937,1.494410686728395
977,1.4750525655864197
1017,1.4792433449074074
1057,1.5078761574074073
1097,1.4352623456790123
1137,1.595704089506173
1177,1.506994598765432
1216,1.7108039158950616
1256,1.574537037037037
1295,1.5881356095679013
1335,1.5863893711419752
1374,1.5886574074074074
1414,1.4029060570987655
1453,1.535931712962963
1493,1.491593364197531
1532,1.4415639467592594
1571,1.41733699845679
1610,1.5607494212962962
1650,1.5533584104938272
1688,1.528582175925926
1728,1.5766970486111112
1767,1.5301191165123458
1806,1.5103018904320988
1845,1.5212012924382716
1884,1.5239954668209876
1923,1.5512451774691358
1962,1.5105406057098765
2000,1.51280574845679
2040,1.5910223765432099
2078,1.5901273148148147
2117,1.5090089699074074
2156,1.5211342592592592
2194,1.4589149305555555
2233,1.4632108410493827
2272,1.433870563271605
2310,1.5430304783950617
2349,1.4625626929012345
2387,1.5113633294753086
2426,1.4534331597222223
2464,1.5294690393518517
2503,1.492328800154321
2541,1.517037037037037
2580,1.5278168402777779
2618,1.420762924382716
2657,1.4815215084876543
2695,1.4666261574074073
2733,1.4741710069444445
2771,1.4512996720679012
2810,1.3991613618827161
2848,1.547705439814815
2887,1.5297120949074074
2924,1.500881076388889
2963,1.4167443094135803
3001,1.445164448302469
3039,1.4827705439814816
3077,1.4048249421296297
3115,1.4308400848765432
3153,1.5177445023148148
3191,1.457632137345679
3230,1.5263744212962962
3268,1.5022767168209876
3306,1.4679263117283952
3344,1.419666763117284
3382,1.4487934027777778
3420,1.4687369791666667
3458,1.4229991319444444
3496,1.3810175540123457
3533,1.5747636959876543
3572,1.4862364969135802
3610,1.4669690393518517
3647,1.4838141396604938
3685,1.4770013503086419
3723,1.4987147955246913
3761,1.4338136574074074
3799,1.4492481674382716
3837,1.5439409722222222
3875,1.4414564043209876
3912,1.4857257908950616
3950,1.4879581404320987
3988,1.3815330825617285
4026,1.495904224537037
4064,1.4409775270061729
4101,1.481343074845679
4139,1.486378761574074
4177,1.4260768711419753
4214,1.4409182098765432
4252,1.4157836612654322
4290,1.5085575810185186
4328,1.4456413966049382
4365,1.487256462191358
4403,1.4332667824074075
4440,1.4792110339506173
4478,1.4768214699074074
4516,1.493046875
4553,1.3886390817901235
4591,1.4322063078703704
4628,1.4481264467592592
4666,1.378089313271605
4703,1.5151697530864197
4741,1.3468465470679012
4778,1.4600925925925925
4816,1.3773543595679012
4853,1.4707132523148148
4891,1.406623263888889
4929,1.4492124807098765
4966,1.390315875771605
5004,1.5379190779320988
5041,1.3627729552469137
5078,1.4599951774691358
5116,1.368740837191358
5153,1.4557113233024692
5191,1.4490678047839507
5228,1.4199787808641975
5266,1.4141049382716049
5303,1.5090152391975309
5341,1.4181891396604938
5378,1.471078800154321
5416,1.4494945987654322
5453,1.4307320601851852
5490,1.465335648148148
5528,1.4586222029320988
5565,1.496577449845679
5603,1.4790297067901235
5640,1.4917713155864198
5677,1.4947844328703703
5714,1.4668605324074073
5752,1.4331785300925926
5789,1.5113749035493826
5826,1.4781322337962963
5863,1.4436366705246915
5901,1.4177782600308642
5938,1.373737461419753
5976,1.4876359953703704
6013,1.3830840084876543
6050,1.4077039930555555
6087,1.4587172067901235
6125,1.4762885802469137
6161,1.4340687692901235
6199,1.420775462962963
6236,1.3813835841049382
6274,1.4252753665123457
6311,1.3605787037037036
6349,1.5084510030864198
6385,1.365012538580247
6422,1.4434370177469136
6460,1.3746802662037036
6497,1.4932320601851852
6534,1.4235575810185186
6572,1.4653255208333333
6608,1.3767881944444444
6646,1.4550231481481481
6683,1.3718407600308642
6720,1.4209842785493827
6757,1.3717838541666667
6794,1.4108449074074074
6832,1.398828125
6868,1.491667148919753
6906,1.4313208912037036
6944,1.487761863425926
6980,1.424410686728395
7018,1.479230324074074
7054,1.3884047067901235
7091,1.471184413580247
7129,1.454312789351852
7166,1.415075713734568
7203,1.4013141396604938
7240,1.4035016396604938
7277,1.3160686728395061
7306,2.107770061728395
