,min
7,3.5719724151234566
18,3.4072984182098764
37,1.5668566743827161
85,1.4519666280864199
133,1.419477237654321
181,1.3950824652777778
229,1.4477729552469136
247,3.266854263117284
276,1.5083159722222221
324,1.5744034529320987
371,1.4338816550925926
400,3.109045138888889
418,1.4683627507716048
465,1.4604499421296295
512,1.4924898726851852
558,1.471584201388889
605,1.4090625
651,1.468145736882716
697,1.39491512345679
743,1.4596903935185186
789,1.5218759645061728
835,1.4399927662037038
881,1.4011111111111112
927,1.483699363425926
972,1.5290480324074074
1018,1.4184866898148147
1063,1.518702739197531
1108,1.5603486689814814
1154,1.4463136574074074
1199,1.5330531442901234
1244,1.4184437692901235
1289,1.5460503472222222
1334,1.493918788580247
1378,1.494846161265432
1423,1.4354774305555555
1468,1.463100887345679
1512,1.5572125771604939
1557,1.5209143518518518
1601,1.514748263888889
1646,1.5167848186728394
1690,1.4446826774691357
1734,1.5178279320987655
1778,1.439131462191358
1822,1.488909625771605
1866,1.5319429976851853
1910,1.4979976851851853
1954,1.4935826581790124
1998,1.50171875
2042,1.5014019097222222
2085,1.6226374421296297
2129,1.6205280671296296
2173,1.48621768904321
2216,1.4471315586419753
2260,1.5042462384259259
2303,1.4623056520061728
2347,1.5269188850308641
2390,1.5917684220679011
2433,1.4878047839506172
2476,1.4129817708333334
2520,1.5100019290123456
2563,1.4670630787037038
2606,1.4321580825617284
2648,1.4737451774691357
2692,1.4493113425925925
2735,1.4777078510802468
2777,1.4766271219135803
2820,1.499718364197531
2863,1.4001943479938272
2906,1.4314790702160494
2949,1.461899112654321
2992,1.4541792052469136
3034,1.3935493827160494
3077,1.37929012345679
3120,1.4583342978395062
3163,1.4666927083333334
3205,1.3883637152777777
3248,1.4303337191358025
3290,1.4065668402777778
3333,1.5146262538580246
3375,1.4966893325617283
3418,1.5008878279320987
3460,1.5394333526234567
3503,1.4354798418209878
3545,1.4449729938271605
3587,1.5669188850308642
3630,1.4818233989197531
3672,1.534119888117284
3715,1.4556761188271605
3757,1.5347882908950616
3799,1.5089568865740741
3841,1.5221754436728394
3884,1.4587697723765432
3926,1.4358150077160494
3968,1.4142206790123457
4010,1.4628452932098766
4052,1.5025487075617283
4094,1.496505111882716
4137,1.498724922839506
4179,1.5083931327160494
4221,1.515389660493827
4263,1.4806693672839506
4306,1.4986424575617283
4347,1.5245182291666666
4390,1.4917587770061729
4431,1.5001784336419752
4474,1.4849406828703704
4515,1.4919724151234568
4557,1.500816936728395
4599,1.4592013888888888
4641,1.4990427276234568
4683,1.4379557291666667
4725,1.4564930555555555
4767,1.5190297067901235
4808,1.4884587191358025
4850,1.4521286651234568
4892,1.447332175925926
4934,1.444778163580247
4976,1.461961323302469
5018,1.452548225308642
5060,1.4834635416666666
5101,1.3928505979938273
5143,1.397094425154321
5185,1.4596609760802468
5227,1.4486955054012345
5268,1.501841724537037
5310,1.4668696952160494
5351,1.481953125
5393,1.4566893325617285
5435,1.4041541280864198
5477,1.4346730324074075
5518,1.4617713155864198
5560,1.4024580439814816
5602,1.4800699266975308
5643,1.4725038580246914
5684,1.4502189429012347
5726,1.45348331404321
5768,1.397397762345679
5809,1.460555073302469
5851,1.4072685185185185
5893,1.4774681712962963
5934,1.4729885223765433
5975,1.4891415895061728
6017,1.407362075617284
6058,1.5283183834876544
6100,1.3997950424382717
6142,1.4265316358024691
6183,1.4732677469135802
6225,1.495388213734568
6266,1.4426822916666666
6308,1.4290996334876542
6349,1.43538387345679
6391,1.4587745949074074
6431,1.4453708526234568
6473,1.4358015046296295
6515,1.400693962191358
6556,1.4031910686728395
6598,1.4457354359567902
6639,1.4394786844135803
6680,1.4134056712962964
6722,1.441934799382716
6763,1.425922550154321
6805,1.5041980131172838
6846,1.4995351080246913
6887,1.4144328703703704
6928,1.4986376350308641
6970,1.4373881172839507
7011,1.4622053433641975
7052,1.4098934220679011
7094,1.4102613811728395
7135,1.4365817901234568
7177,1.426016589506173
7218,1.4874078896604939
7258,1.5095949074074073
7300,1.463125
7342,1.4571513310185185
7382,1.5117327353395063
7424,1.4203356481481482
7465,1.4361762152777777
7507,1.434209587191358
7547,1.415541087962963
7588,1.4184244791666667
7630,1.396809413580247
7672,1.4531770833333333
7713,1.460767264660494
7754,1.4011019483024691
7795,1.332737750771605
7836,1.4410850694444444
7877,1.3963329475308641
7918,1.4214125192901235
7960,1.4171460262345679
8000,1.463815586419753
8042,1.414744888117284
8083,1.4365456211419754
8125,1.4793479938271605
8165,1.420610050154321
8207,1.396195987654321
8236,2.192845775462963
