,min
14,1.3520765817901235
47,1.646250964506173
80,1.5816603973765433
113,1.5793836805555554
146,1.577357735339506
180,1.6708998842592593
212,1.5904644097222222
245,1.397533275462963
278,1.389402488425926
311,1.6554832175925926
344,1.419539448302469
376,1.570002411265432
410,1.476697048611111
443,1.5609722222222222
476,1.5946431327160493
508,1.4955449459876544
541,1.4652319637345679
574,1.593368537808642
606,1.5038850308641976
638,1.6324710648148149
672,1.5065870949074074
704,1.4458627507716049
737,1.454426601080247
770,1.5046855709876543
803,1.518182388117284
835,1.3772087191358025
868,1.459330150462963
900,1.7342607060185184
933,1.5261043595679011
965,1.4871677276234567
998,1.3818547453703705
1031,1.5201340663580247
1063,1.5832503858024691
1096,1.496896701388889
1128,1.4820056905864198
1160,1.5279943094135802
1193,1.4726885609567901
1225,1.5586848958333333
1258,1.4589207175925927
1291,1.4168971836419753
1323,1.5929296875
1356,1.5681211419753087
1388,1.459473861882716
1421,1.4614781057098765
1453,1.421255787037037
1486,1.6472603202160494
1518,1.507765239197531
1550,1.391950713734568
1583,1.4743653549382716
1615,1.5120982831790124
1648,1.5474768518518518
1680,1.4766710069444444
1712,1.3614105902777778
1745,1.5546113040123457
1777,1.5201331018518518
1808,1.562445987654321
1841,1.4427536651234567
1874,1.4782026427469135
1906,1.5470973186728396
1938,1.5344468557098765
1970,1.4421074459876544
2003,1.4762220293209876
2035,1.484794560185185
2068,1.6009008487654321
2100,1.522265625
2132,1.4138517554012346
2164,1.525510223765432
2197,1.5346228780864197
2228,1.4616526813271604
2261,1.4069574652777779
2293,1.4796387924382717
2324,1.5601191165123456
2357,1.3707277199074075
2389,1.384372588734568
2422,1.4624151234567901
2453,1.5254017168209877
2486,1.47710262345679
2518,1.3823693094135803
2550,1.472091049382716
2582,1.5860310570987655
2614,1.4531794945987655
2647,1.494709201388889
2678,1.454458912037037
2711,1.4666777584876542
2743,1.537421875
2775,1.4940528549382717
2807,1.4345886381172839
2839,1.5347014853395062
2871,1.5307253086419752
2903,1.4595515046296297
2935,1.4234910300925927
2967,1.5082503858024692
3000,1.588902874228395
3031,1.459452160493827
3063,1.4471349344135802
3095,1.4599184992283951
3127,1.4576793981481482
3160,1.5154774305555556
3191,1.409311824845679
3223,1.466575038580247
3256,1.5181602044753086
3287,1.4339322916666666
3319,1.4023085455246913
3352,1.4881360918209876
3383,1.459024402006173
3415,1.5113850308641976
3448,1.5034664351851852
3479,1.501393711419753
3512,1.5110050154320989
3544,1.5224836033950617
3575,1.4356004050925926
3607,1.3579094328703705
3640,1.5243513695987654
3671,1.536160300925926
3703,1.4507098765432098
3735,1.4231042631172839
3767,1.5168730709876543
3799,1.4939646026234568
3830,1.494465663580247
3863,1.3555888310185185
3895,1.4541126543209877
3926,1.5124440586419754
3958,1.4833323688271605
3991,1.3852117091049383
4023,1.5501789158950616
4055,1.474477237654321
4087,1.5077657214506173
4118,1.3742235725308642
4150,1.4452039930555556
4183,1.5064091435185185
4214,1.4709977816358024
4246,1.447105999228395
4277,1.4736279899691358
4310,1.522836612654321
4342,1.5323533950617283
4373,1.4706534529320987
4405,1.4456047453703704
4438,1.5165972222222222
4470,1.5789699074074075
4501,1.4762114197530865
4533,1.4693041087962964
4565,1.4247482638888889
4597,1.5026022376543209
4628,1.4276851851851853
4660,1.4011164158950618
4693,1.4601630015432099
4724,1.540159625771605
4756,1.4435026041666668
4788,1.4460652970679013
4820,1.4674898726851853
4852,1.5346262538580246
4883,1.4583945794753086
4915,1.411724537037037
4948,1.4896744791666667
4978,1.5615263310185186
5011,1.4821894290123456
5043,1.4294280478395063
5074,1.3970476466049382
5107,1.5134013310185186
5138,1.464223572530864
5170,1.3735657793209877
5202,1.4942732445987654
5233,1.5221802662037036
5266,1.487959587191358
5297,1.434393325617284
5329,1.3789631558641975
5360,1.5333246527777777
5393,1.4712302276234568
5425,1.4057368827160495
5456,1.444215374228395
5488,1.5162229938271605
5521,1.4830897955246913
5552,1.3778525270061728
5584,1.390913387345679
5615,1.4782817322530863
5648,1.4396976273148148
5678,1.4765446566358025
5711,1.3265190972222223
5743,1.4645900848765432
5774,1.4892418981481481
5806,1.3987138310185185
5837,1.4171711033950618
5870,1.457115162037037
5902,1.4423726851851852
5933,1.4612012924382716
5965,1.3335257523148147
5996,1.4492857831790122
6028,1.4771002121913581
6061,1.4244671103395061
6092,1.3800352044753086
6124,1.4247111304012345
6157,1.4482349537037038
6188,1.453061824845679
6220,1.4065846836419753
6251,1.423855613425926
6283,1.4697284915123456
6314,1.5113768325617285
6347,1.5140764853395061
6379,1.4929711612654322
6411,1.5535368441358024
