,min
2,1.182442611882716
43,1.4378612075617283
86,2.08633487654321
130,1.4325641396604938
175,1.4597984182098764
217,1.3979619984567901
262,1.341622299382716
305,1.3289713541666666
350,1.4136752507716048
393,1.3839988425925926
436,1.3208024691358025
481,1.395889274691358
523,1.3847125771604938
566,1.4321889467592592
610,1.3414834104938271
655,1.3799324845679013
698,1.3770867091049384
742,1.4177126736111112
785,1.3280680941358025
829,1.2988151041666667
872,1.3384186921296297
916,1.4191237461419752
961,1.4013961226851852
1003,1.349076485339506
1046,1.3612668788580247
1091,1.3483150077160493
1133,1.392427662037037
1177,1.2662596450617285
1220,1.2999291087962963
1264,1.3836665702160493
1307,1.3767033179012345
1352,1.4067332175925926
1394,1.3183005401234569
1438,1.3703867669753087
1483,1.425580150462963
1525,1.3471932870370371
1568,1.2772511574074075
1612,1.4639033564814814
1655,1.5612509645061727
1697,1.4452507716049383
1742,1.3370939429012345
1786,1.3775
1831,1.4794285300925927
1873,1.4212162422839507
1916,1.3743127893518519
1958,1.3341483410493826
2003,1.4310710841049383
2044,1.4202464313271606
2089,1.3829523533950616
2132,1.407879050925926
2177,1.5622005208333334
2218,1.674926697530864
2263,1.411687885802469
2306,1.3353867669753086
2348,1.3859331597222222
2392,1.4997612847222221
2435,1.5427854938271606
2479,1.3943446180555557
2522,1.3599898726851851
2566,1.4335932677469136
2608,1.4726644483024691
2653,1.3773775077160493
2695,1.3484307484567901
2738,1.4196026234567902
2761,2.0487196180555554
2783,1.440606674382716
2825,1.3397622492283952
2869,1.3392838541666667
2912,1.367878086419753
2956,1.3988941936728394
2998,1.3898403742283951
3041,1.2971122685185186
3085,1.4021465084876543
3127,1.4468706597222223
3170,1.442212577160494
3214,1.2989781057098766
3257,1.3825660686728396
3301,1.4190851658950616
3344,1.4233367091049383
3388,1.3795326967592592
3431,1.3431018518518518
3475,1.4563589891975308
3515,1.44
3560,1.3800004822530865
3604,1.3557108410493828
3647,1.4098673804012345
3691,1.4209153163580246
3734,1.4166478587962963
3776,1.3625713734567901
3820,1.418203125
3863,1.4619208140432098
3905,1.4036723572530865
3949,1.3348722029320987
3991,1.3837953317901235
4036,1.3859066358024692
4078,1.4325800540123457
4121,1.3679856288580248
4165,1.3852671682098765
4207,1.4174980709876543
4250,1.4467563657407407
4294,1.3656891396604938
4337,1.352032214506173
4381,1.398954475308642
4424,1.408287037037037
4466,1.3494159915123456
4510,1.2778684413580248
4552,1.3946016589506174
4597,1.4174657600308642
4639,1.400430652006173
4683,1.3564385609567902
4727,1.4066155478395062
4768,1.4848500192901235
4811,1.3968113425925925
4855,1.3563922646604938
4897,1.3873133680555556
4921,1.9053235918209876
4942,1.467328800154321
4985,1.4299918016975308
5027,1.3647270447530864
5071,1.3533902391975308
5114,1.4297902199074075
5158,1.4281862461419752
5200,1.3479798418209876
5243,1.352809124228395
5285,1.4058183834876543
5330,1.4630589313271605
5371,1.4783791473765433
5416,1.352726176697531
5437,1.8985180362654321
5461,1.4488951581790124
5501,1.4049093364197531
5546,1.3908704668209877
5588,1.2802662037037038
5632,1.368154899691358
5675,1.3987712191358024
5717,1.4034977816358025
5761,1.3665330825617283
5804,1.3918846450617284
5848,1.4607277199074074
5888,1.4467833719135803
5933,1.3379562114197532
5975,1.32038387345679
6017,1.3804865933641974
6061,1.6391459297839506
6106,1.9471248070987655
6115,2.0138739390432097
6139,1.986288097993827
6154,1.839338348765432
