,min
1,3.282163387345679
11,3.4058246527777776
28,1.6632060185185185
67,1.6667361111111112
85,3.555519386574074
105,1.6168663194444444
143,1.7229050925925926
181,1.742716049382716
218,1.659528838734568
257,1.7305415702160494
274,3.4731259645061727
294,1.5959326774691358
332,1.5386159336419754
369,1.8033468364197531
407,1.595459587191358
445,1.856535011574074
482,1.6124199459876543
519,1.5467848186728395
557,1.564895351080247
594,1.6980271026234568
632,1.7745264274691357
668,1.6390981867283951
706,1.7008579282407408
725,3.3959519675925924
742,1.6468885030864198
780,1.7258670910493827
816,1.8320095486111112
854,1.6203612075617284
890,1.6863951581790124
928,1.5974064429012345
964,1.6221387924382715
1001,1.7437109375
1038,1.7185083912037038
1075,1.8264048032407407
1111,1.5791468942901234
1148,1.4620804398148148
1184,1.762140239197531
1222,1.7222087191358024
1258,1.8031356095679012
1295,1.5689448302469136
1331,1.4393364197530865
1367,1.7191594328703703
1404,1.7742824074074075
1441,1.808016975308642
1477,1.502497588734568
1513,1.5083550347222223
1549,1.8157614776234567
1586,1.6692563657407407
1621,1.7387147955246913
1658,1.5077797067901235
1694,1.5975120563271605
1730,1.6994150270061728
1767,1.7654610339506174
1804,1.8089819637345679
1839,1.5211226851851851
1875,1.5443074845679012
1910,1.7973640046296295
1947,1.736653163580247
1982,1.733257137345679
2019,1.5009119405864197
2055,1.5974146412037038
2092,1.7293156828703704
2127,1.7767467206790124
2162,1.7112953317901234
2198,1.5807918595679011
2234,1.5697767168209877
2269,1.8346923225308642
2306,1.6701345486111112
2341,1.648392650462963
2378,1.4317534722222223
2414,1.6595061728395062
2450,1.7240644290123457
2485,1.6738855131172838
2521,1.6319613233024692
2556,1.686903935185185
2591,1.6395355902777777
2626,1.7933357445987654
2663,1.5229224537037036
2698,1.5008887924382717
2734,1.582920524691358
2770,1.6771474729938272
2804,1.7321137152777777
2840,1.5818971836419753
2876,1.4373741319444444
2911,1.7315870949074075
2947,1.6323355516975309
2981,1.7067110339506173
3018,1.4482364004629629
3053,1.6112297453703703
3090,1.7641546103395063
3124,1.6861622299382717
3160,1.9492115162037038
3194,1.6348779899691357
3230,1.5767698688271605
3265,1.800706500771605
3301,1.635
3336,1.4742717978395061
3371,1.5947111304012345
3407,1.6312379436728395
3443,1.6729586226851851
3477,1.5668373842592593
3512,1.4439298804012346
3548,1.699826388888889
3582,1.6967558834876544
3617,1.6846595293209876
3653,1.4597921489197532
3688,1.605715663580247
3725,1.6832277199074075
3758,1.6326485339506174
3794,1.5395905671296297
3830,1.5918677662037037
3863,1.6228081597222221
3898,1.6812731481481482
3934,1.5091960841049383
3970,1.4939728009259259
4006,1.6588271604938272
4039,1.6749995177469137
4076,1.6678621720679012
4110,1.498932773919753
4145,1.49426456404321
4181,1.7146797839506174
4214,1.6155902777777778
4249,1.5378457754629629
4285,1.5166502700617284
4321,1.6528462577160494
4356,1.7300708912037037
4390,1.5586993634259259
4425,1.4775549768518519
4459,1.6128718171296297
4495,1.7034862075617283
4531,1.689663387345679
4565,1.5042409336419753
4600,1.5373066165123457
4636,1.7268870563271606
4670,1.644765625
4705,1.5631693672839506
4740,1.5808150077160494
4774,1.6562278163580246
4808,1.64514949845679
4844,1.5865388695987654
4879,1.4440600887345678
4915,1.6936540316358024
4948,1.7412842399691357
4984,1.6483183834876542
5018,1.5741092785493827
5053,1.5763628472222222
5087,1.668823302469136
5122,1.6869941165123457
5158,1.524789737654321
5193,1.5549194637345678
5227,1.6287697723765433
5263,1.6880680941358024
5297,1.5165581597222222
5332,1.4960652970679011
5366,1.637253086419753
5401,1.6983555169753086
5435,1.527268036265432
5471,1.4323017939814815
5506,1.562921489197531
5542,1.732679398148148
5576,1.6455213155864197
5610,1.5278530092592593
5645,1.5463507908950618
5678,1.6794820601851852
5714,1.6480280671296297
5749,1.5802097800925925
5783,1.5011053240740742
5818,1.786736111111111
5854,1.6259297839506173
5888,1.5970447530864198
5923,1.5420476466049382
5956,1.6604301697530863
5990,1.681549961419753
6026,1.5971590470679011
6061,1.4219434799382715
6097,1.6341994598765432
6131,1.6432976466049383
6166,1.6919145447530863
6200,1.4293639081790124
6234,1.6353645833333332
6268,1.688451485339506
6303,1.684312789351852
6338,1.473883101851852
6374,1.5577247299382717
6407,1.6574922839506172
6444,1.7621614583333334
6478,1.5875265239197531
6512,1.542698688271605
6545,1.625615837191358
6580,1.7343735532407407
6616,1.601722125771605
6650,1.5441623263888888
6685,1.6179214891975309
6721,1.7591512345679012
6754,1.5820153356481481
6789,1.5460918209876544
6823,1.589756462191358
6857,1.7162581983024692
6892,1.658768325617284
6927,1.492184124228395
6961,1.5515856481481483
6998,1.7179137731481482
7030,1.6291150655864197
7066,1.5345437885802469
7100,1.552586323302469
7133,1.732302276234568
7168,1.6600284529320988
7204,1.563245563271605
7238,1.4771850887345679
7274,1.6913368055555555
7307,1.6450496720679013
7343,1.6338826195987655
7376,1.4849580439814816
7411,1.7198432677469135
7444,1.6333632330246914
7480,1.615645736882716
7514,1.5148075810185184
7550,1.6072289737654322
7583,1.639103973765432
7620,1.7134302662037038
7648,1.8146735146604938
