sampleid,x,y
0,840647.040574254,822070.621918181,0.0007615209620234983
1,838709.281303406,823927.982919482,0.0
2,837289.227778627,821871.069506068,0.135741815129103
3,838836.665952276,823840.54642841,0.0
4,836904.045078734,823366.900424576,0.0
5,840739.434198239,822723.252352053,0.0
6,840075.515896351,821710.856878393,0.03192920526541502
7,840374.344687395,824226.097089087,0.0
8,837313.930851482,822223.030632452,0.14247944623214367
9,840069.365535435,822131.767622696,0.0173485268185277
10,840651.497320246,824112.05805965,0.0
11,840196.072603468,824171.524152945,0.0
12,838775.314481012,822641.660801486,0.14698908060672744
13,840074.191284032,823227.670441067,0.0
14,840255.565073598,822840.344862354,0.0
15,837118.46022204,822444.152249291,0.08665231028994795
16,839923.084083376,822616.645512385,0.05175099457487933
17,838274.545738497,822278.799292831,0.1072359480278246
18,840929.039630817,821757.859320951,0.0
19,839303.788500032,821821.84807224,0.11857903483360849
20,839344.500015914,821701.594459109,0.08718297984984981
21,838165.709038135,823083.673814845,0.14246891921065213
22,837914.265146511,821345.309759498,0.07871785534752092
23,838031.427171947,821739.363976279,0.12502406387624476
24,837477.051979942,822056.197588114,0.15196530873417166
25,839212.563408842,822805.243883687,0.08860742714224905
26,839753.876001913,821824.911461004,0.08580909252381835
27,837867.495463226,823724.971441648,0.0
28,840929.053158529,822644.576594036,0.0
29,840605.851441629,822293.158619716,0.0
30,839518.17842775,821772.573598454,0.10559281671470139
31,838065.791848762,822690.28612339,0.15322044239487148
32,840769.638346069,823065.959054911,0.0
33,840301.819994088,821692.044020217,0.01425560310292259
34,837735.28017981,822535.84884192,0.060495709293730056
35,836867.931637855,823171.612481309,0.0
36,838596.398004158,822011.961539859,0.08125332132656095
37,840697.254310951,823030.694928784,0.0
38,838757.435675716,823343.874753102,0.0581770957179851
39,837896.198009175,821569.783004081,0.11732852341028224
40,837397.071430177,822744.453264015,0.027838047717980537
41,839652.397520032,823208.537609148,0.005165496249682506
42,838768.376370931,823180.635539467,0.09864099651664739
43,839737.176210414,822438.316799693,0.1317219912717985
44,840768.812662194,823799.574999705,0.0
45,840219.212458279,824206.025917565,0.0
46,838484.704821563,823631.626161857,0.010158845593175455
47,838319.823326418,822542.676783846,0.17826937763500497
48,840122.405818941,822127.784625559,0.005858149262820697
49,840716.164436579,822397.0717302,0.0
50,840169.237557628,824187.637896905,0.0
51,839427.324265103,823878.551754697,0.0
52,837736.214566339,823365.81905901,0.004029085227986145
53,840043.327082409,823783.741195647,0.0
54,839255.878436361,821899.85209904,0.13886479666538312
55,837441.455421534,822394.290383214,0.10858153330309997
56,837171.273896701,823466.540915647,0.0
57,839689.313340259,821870.004743843,0.10885350582591123
58,838961.404759528,822569.383382179,0.12853562947781197
59,837502.275541849,823212.277432313,0.005399236341165636
60,837344.436160833,821804.178622939,0.12705837215393723
61,837956.35579816,823483.905286227,0.008498422374382333
62,840088.817709123,821887.222119333,0.025722538066211234
63,839336.880490236,823838.9955613,0.0
64,837910.667785966,822247.637846727,0.09090420305183833
65,837263.222818509,823011.718529463,0.0031076354632446233
66,837130.052533686,822905.781843576,0.0016634968637994853
67,840834.708321424,821695.560901837,4.365526873599091e-05
68,840600.202220126,822911.422325585,0.0
69,838191.387275055,822601.129264865,0.16884021990594433
70,838549.442726428,822380.620717233,0.1381470554981099
71,839874.61744711,822630.555936018,0.06440864736579986
72,840458.629823153,823896.079173162,0.0
73,839668.762472247,823498.160419328,0.0
74,840931.899292962,821944.377009493,0.0
75,840713.013943748,822183.829380795,0.0
76,840631.035736166,823598.883590829,0.0
77,838798.395612603,823568.981235763,0.016651977916218547
78,840352.941666755,824099.395573976,0.0
79,837552.920708762,822125.038852173,0.1457666718160182
80,839156.894163592,821951.84170381,0.14084969589497226
81,839333.884422229,823326.109692421,0.005549521893762863
82,837919.064357856,821991.193581775,0.11415498758409855
83,839182.439587055,822563.942149236,0.15542602713867226
84,839240.752678604,822724.483477736,0.11767168871212376
85,840285.457866749,821828.53661443,0.0128930204973301
86,839242.204594543,821943.540145521,0.15105339397729725
87,836997.237707373,823277.352002238,0.0
88,839050.8366433,823676.439856954,0.002681978776640573
89,837789.394871832,823332.593758299,0.009511377820898524
90,839896.00101622,823385.403431972,0.0
91,838870.42936457,822327.094710363,0.12526229246030587
92,838014.894535447,822321.135779926,0.0812078515853692
93,839996.496614863,822809.511080439,0.013856263808575846
94,840787.463366907,822742.144114143,0.0
95,838234.698624652,821521.941498008,0.1073118955997833
96,840701.163815436,823935.527372046,0.0
97,838688.524851844,823368.483765283,0.0641291516466264
98,838708.713524804,823258.038273745,0.09398777596826677
99,839314.075560783,823290.807319153,0.007965175951148786
100,840013.790305511,823533.169007091,0.0
101,839598.697709803,821846.670770804,0.11838177911266977
102,837300.249271961,823050.4546198,0.003560798487085857
103,838345.540482516,821547.784089371,0.09922487725163481
104,837494.315054674,821966.875542528,0.15012274568247438
105,840126.522230441,824192.985307222,0.0
106,840669.028085868,822379.810974189,0.0
107,837786.061575334,821962.175768319,0.12153020665549928
108,838546.31606864,823099.082019024,0.15967649239281861
109,839409.532994275,822151.004248849,0.19582308880961682
110,839740.108843275,822970.514720029,0.02100820784136755
111,837323.206620458,822772.761828055,0.021050000734279466
112,840530.498628219,821794.017773626,0.008312580854508382
113,838354.514607109,823181.068466964,0.14400975958072484
114,838593.247248108,822655.081489355,0.1915260952508251
115,840559.914294559,822191.380141106,0.0
116,839643.160569857,822646.552164999,0.11663840124508808
117,840711.006596163,822721.174128431,0.0
118,837840.266176334,822862.606638355,0.08097397190407958
119,839485.551131547,822577.143301704,0.1496711640529893
120,839639.499207486,822890.763061242,0.04060830504864229
121,837398.383544294,822987.103225799,0.006557260491533616
122,838004.055430158,822629.628172008,0.1287859151708685
123,838962.147575797,821844.479485734,0.06475838066565187
124,840168.696425468,823073.798955494,0.0
125,838280.181050851,822717.423655219,0.19343856735458087
126,838746.539071653,822155.264187894,0.09368443059667211
127,840868.540657157,822894.678007029,0.0
128,840771.356222418,823173.604680594,0.0
129,838222.458184499,822221.155334296,0.09283071933429167
130,839741.658080115,823248.98832525,0.0015778087694758567
131,840487.762044,822025.57705883,0.005226037193050045
132,840791.248155998,824129.474515413,0.0
133,840601.162360323,821971.290274924,0.0039037075255155406
134,839696.978611376,823014.165502198,0.018710125712839015
135,840872.044351486,822829.078768789,0.0
136,839307.450352072,823840.357275736,0.0
137,839220.481508377,822953.988473933,0.03788238913459843
138,837773.661539612,823267.908675159,0.016525543007498884
139,839958.165528771,822781.175091619,0.018822998423245547
140,838811.558949495,822130.045024598,0.09407967045668929
141,837510.89579751,822564.856618476,0.06805914061151964
