full_id,osm_id,osm_type,building,building:levels,name,name:en,name:zh,type,layer,addr:housenumber,addr:street,alt_name,old_name,old_name:en,old_name:zh,shop,wheelchair,addr:housename,addr:housename:en,addr:housename:zh,addr:street:en,addr:street:zh,addr:suburb,addr:suburb:en,addr:suburb:zh,building:levels:ref,building:levels:underground,building:levels:underground:ref,landuse,roof:levels,roof:shape,wikidata,wikipedia,source_ref:url,toilets:wheelchair,wheelchair:description,amenity,addr:city,leisure,opening_hours,information,tourism,fee,parking,isced:level,man_made,religion,description,description:en,description:zh,location,abutters,building:min_level,commercial,retail,public_transport,residential,changing_table,toilets:disposal,toilets:handwashing,unisex,emergency,pumping_station,substance,name:zh-Hans,name:zh-Hant,ref,mall,is_in,is_in:en,is_in:zh,alt_name:zh,denomination,website,office,short_name:en,short_name:zh,drinking_water,drinking_water:access,operator:type,ownership,service,usage,wheelchair:description:en,wheelchair:description:zh,power,height,capacity,supervised,operator,substation,addr:street:wikidata,government,social_facility,social_facility:for,access,salt,utility,frequency,power:separate,voltage,voltage:primary,healthcare,addr:district,addr:province,building:designation,building:designation:en,building:designation:zh,start_date,shelter_type,house,alt_addr:housenumber,alt_addr:street,access:conditional,train,pipeline,railway,ventilation,classrooms,service_times,tower:type,construction,building:function
w264462786,"264462786",way,yes,"2",東華三院黃大仙簽品哲理中心 TWGHs Wong Tai Sin Fortune-Telling and Oblation Arcade,TWGHs Wong Tai Sin Fortune-Telling and Oblation Arcade,東華三院黃大仙簽品哲理中心,,"1",,,,,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462790,"264462790",way,yes,"1",三聖堂 Three Saints Hall,Three Saints Hall,三聖堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462800,"264462800",way,yes,"1",環鳳街變電站 Wan Fung Street Substation,Wan Fung Street Substation,環鳳街變電站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,substation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462813,"264462813",way,yes,"1",盂香亭 Yue Heung Shrine,Yue Heung Shrine,盂香亭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462817,"264462817",way,apartments,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462819,"264462819",way,yes,"6",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462821,"264462821",way,yes,"7",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462823,"264462823",way,yes,"6",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462825,"264462825",way,yes,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462827,"264462827",way,yes,"6",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462829,"264462829",way,apartments,"6",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462830,"264462830",way,yes,"28",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462832,"264462832",way,yes,"24",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462833,"264462833",way,apartments,"6",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462834,"264462834",way,yes,"7",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462835,"264462835",way,yes,"24",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
