l,T
0.001,0.04780861535351803
0.002,0.06761159223122379
0.003,0.08280695083181074
0.004,0.09561723070703607
0.005,0.10690331384060647
0.006,0.1171067129251088
0.007,0.12648970675175306
0.008,0.13522318446244758
0.009000000000000001,0.1434258460605541
0.010000000000000002,0.15118411629601305
0.011,0.1585632388740437
0.012,0.16561390166362147
0.013000000000000001,0.17237641406604423
0.014000000000000002,0.1788834587889248
0.015,0.18516197106941154
0.016,0.19123446141407213
0.017,0.19711997091708108
0.018000000000000002,0.20283477669367136
0.019000000000000003,0.2083929229565922
0.02,0.21380662768121295
0.021,0.21908659872852435
0.022000000000000002,0.22424228290947737
0.023,0.22928206459833425
0.024,0.2342134258502176
0.025,0.23904307676759015
0.026000000000000002,0.24377706260544008
0.027000000000000003,0.24842085249543222
0.028,0.2529794135035061
0.029,0.25745727287959563
0.030000000000000002,0.26185857072209645
0.031,0.266187104801566
0.032,0.27044636892489515
0.033,0.2746395859425242
0.034,0.27876973628552615
0.035,0.28283958275093396
0.036000000000000004,0.2868516921211082
0.037000000000000005,0.2908084540978197
0.038,0.29471209794778414
0.039,0.2985647071889191
0.04,0.3023682325920261
0.041,0.30612450372821554
0.042,0.30983523925607126
0.043000000000000003,0.3135020561126953
0.044000000000000004,0.3171264777480874
0.045,0.32070994152181936
0.046,0.3242538053638684
0.047,0.3277593537871499
0.048,0.33122780332724294
0.049,0.3346603074746263
0.05,0.3380579611561189
0.051000000000000004,0.3414218048148839
0.052000000000000005,0.34475282813208846
0.053000000000000005,0.3480519734279551
0.054,0.3513201387753263
0.055,0.35455818085489893
0.056,0.3577669175778496
0.057,0.36094713049860433
0.058,0.36409956703791496
0.059000000000000004,0.36722494253416094
0.060000000000000005,0.3703239421388231
0.061,0.3733972225703601
0.062,0.376445413739203
0.063,0.37946912025525914
0.064,0.38246892282814426
0.065,0.38544537956932573
0.066,0.3883990272044489
0.067,0.3913303822033026
0.068,0.39423994183416217
0.069,0.3971281851486044
0.07,0.3999955739023181
0.07100000000000001,0.4028425534169218
0.07200000000000001,0.40566955338734273
0.07300000000000001,0.4084769886389033
0.074,0.41126525983789025
0.075,0.41403475415905366
0.076,0.41678584591318435
0.077,0.419518897137649
0.078,0.4222342581525212
0.079,0.42493226808472734
0.08,0.4276132553624259
0.081,0.4302775381816623
0.082,0.4329254249471755
0.083,0.4355572146890844
0.084,0.4381731974570487
0.085,0.4407736546933748
0.08600000000000001,0.44335885958642474
0.08700000000000001,0.4459290774055844
0.08800000000000001,0.44848456581895474
0.089,0.45102557519484077
0.09,0.4535523488880392
0.091,0.4560651235118492
0.092,0.4585641291966685
0.093,0.46104958983597366
0.094,0.46352172332042885
0.095,0.4659807417608166
0.096,0.4684268517004352
0.097,0.4708602543175651
0.098,0.47328114561856655
0.099,0.4756897166221311
0.1,0.4780861535351803
0.101,0.4804706379208668
0.10200000000000001,0.48284334685910846
0.10300000000000001,0.48520445310005755
0.10400000000000001,0.48755412521088015
0.10500000000000001,0.48989252771619946
0.106,0.49221982123253416
0.107,0.49453616259704253
0.108,0.4968417049908644
0.109,0.4991365980573352
0.11,0.5014209880153306
0.111,0.5036950177679853
0.112,0.5059588270070122
0.113,0.5082125523128412
0.114,0.5104563272507776
0.115,0.5126902824633736
0.116,0.5149145457591913
0.117,0.5171292421981326
0.11800000000000001,0.5193344941734909
0.11900000000000001,0.5215304214908812
0.12000000000000001,0.5237171414441929
0.121,0.5258947688886983
0.122,0.5280634163114485
0.123,0.5302231938990776
0.124,0.532374209603132
0.125,0.5345165692030323
0.126,0.5366503763667745
0.127,0.5387757327094654
0.128,0.5408927378497903
0.129,0.5430014894644973
0.13,0.545102083340986
0.131,0.5471946134280782
0.132,0.5492791718850484
0.133,0.551355849128986
0.134,0.5534247338805575
0.135,0.5554859132082347
0.136,0.5575394725710523
0.137,0.5595854958599514
0.138,0.5616240654377698
0.139,0.5636552621779283
0.14,0.5656791655018679
0.14100000000000001,0.5676958534152864
0.14200000000000002,0.5697054025432188
0.14300000000000002,0.5717078881640095
0.14400000000000002,0.5737033842422165
0.14500000000000002,0.5756919634604889
0.146,0.5776736972504577
0.147,0.5796486558226751
0.148,0.5816169081956393
0.149,0.583578522223938
0.15,0.585533564625544
0.151,0.5874821010082917
0.152,0.5894241958955683
0.153,0.5913599127512431
0.154,0.5932893140038665
0.155,0.5952124610701621
0.156,0.5971294143778382
0.157,0.5990402333877421
0.158,0.6009449766153814
0.159,0.602843701651831
0.16,0.6047364651840522
0.161,0.6066233230146391
0.162,0.608504330081014
0.163,0.6103795404740926
0.164,0.6122490074564311
0.165,0.6141127834798799
0.166,0.615970920202753
0.167,0.6178234685065362
0.168,0.6196704785121425
0.169,0.6215119995957344
0.17,0.623348080404126
0.171,0.6251787688697765
0.17200000000000001,0.6270041122253907
0.17300000000000001,0.6288241570181372
0.17400000000000002,0.6306389491234993
0.17500000000000002,0.6324485337587653
0.17600000000000002,0.6342529554961748
0.177,0.6360522582757279
0.178,0.63784648541767
0.179,0.639635679634661
0.18,0.6414198830436387
0.181,0.6431991371773875
0.182,0.6449734829958178
0.183,0.6467429608969681
0.184,0.6485076107277368
0.185,0.6502674717943521
0.186,0.6520225828725866
0.187,0.6537729822177264
0.188,0.6555187075742998
0.189,0.6572597961855731
0.19,0.6589962848028218
0.191,0.6607282096943813
0.192,0.6624556066544859
0.193,0.6641785110118993
0.194,0.6658969576383452
0.195,0.6676109809567431
0.196,0.6693206149492525
0.197,0.6710258931651343
0.198,0.6727268487284321
0.199,0.6744235143454798
0.2,0.6761159223122378
0.201,0.6778041045214677
0.202,0.6794880924697425
0.203,0.6811679172643041
0.20400000000000001,0.6828436096297678
0.20500000000000002,0.6845151999146777
0.20600000000000002,0.6861827180979216
0.20700000000000002,0.6878461937950028
0.20800000000000002,0.6895056562641769
0.20900000000000002,0.6911611344124565
0.21,0.6928126568014865
0.211,0.6944602516532931
0.212,0.6961039468559101
0.213,0.6977437699688879
0.214,0.6993797482286837
0.215,0.7010119085539401
0.216,0.7026402775506526
0.217,0.7042648815172307
0.218,0.7058857464494517
0.219,0.7075028980453156
0.22,0.7091163617097979
0.221,0.710726162559506
0.222,0.7123323254272419
0.223,0.7139348748664704
0.224,0.7155338351556992
0.225,0.7171292303027705
0.226,0.7187210840490661
0.227,0.72030941987363
0.228,0.7218942609972087
0.229,0.7234756303862119
0.23,0.7250535507565957
0.231,0.7266280445776697
0.232,0.7281991340758299
0.233,0.7297668412382199
0.234,0.7313311878163201
0.23500000000000001,0.7328921953294703
0.23600000000000002,0.7344498850683219
0.23700000000000002,0.7360042780982267
0.23800000000000002,0.7375553952625609
0.23900000000000002,0.7391032571859856
0.24000000000000002,0.7406478842776462
0.241,0.7421892967343131
0.242,0.7437275145434616
0.243,0.7452625574862967
0.244,0.7467944451407202
0.245,0.7483231968842452
0.246,0.7498488318968547
0.247,0.7513713691638098
0.248,0.752890827478406
0.249,0.7544072254446794
0.25,0.7559205814800652
0.251,0.7574309138180068
0.252,0.7589382405105183
0.253,0.7604425794307037
0.254,0.7619439482752275
0.255,0.7634423645667453
0.256,0.7649378456562885
0.257,0.7664304087256093
0.258,0.7679200707894833
0.259,0.7694068486979732
0.26,0.7708907591386515
0.261,0.7723718186387869
0.262,0.773850043567491
0.263,0.7753254501378297
0.264,0.7767980544088978
0.265,0.778267872287858
0.266,0.7797349195319461
0.267,0.7811992117504414
0.268,0.7826607644066051
0.269,0.7841195928195853
0.27,0.7855757121662894
0.271,0.7870291374832279
0.272,0.7884798836683243
0.273,0.7899279654826982
0.274,0.7913733975524168
0.275,0.7928161943702184
0.276,0.7942563702972087
0.277,0.7956939395645272
0.278,0.7971289162749887
