,sqrt_l,0,pi/12,pi/6,pi/4,pi/3,5pi/12
0,0.0,,,,,,
1,0.0010006671114076052,,,,,,
2,0.0020013342228152103,0.02295976867808908,,,,,
3,0.0030020013342228155,0.009047532503379356,,,,,
4,0.004002668445630421,0.006035023973420894,,,,,
5,0.005003335557038026,0.007555765311895084,,,,,
6,0.006004002668445631,0.009072173989997729,,,,,
7,0.007004669779853236,0.010586864088967161,,,,,
8,0.008005336891260841,0.012101150181676254,,,,,
9,0.009006004002668447,0.013613759707058923,,,,,
10,0.010006671114076052,0.015127175738045041,,,,,
11,0.011007338225483656,0.0166399986666,,,,,
12,0.012008005336891262,0.018153634954474994,,,,,
13,0.013008672448298867,0.01966600793093842,,,,,
14,0.014009339559706471,0.021179213785715797,,,,,
15,0.015010006671114077,0.022692043693093748,,,,,
16,0.016010673782521682,0.024206058787787876,,,,,
17,0.017011340893929288,0.025717780734397545,,,,,
18,0.018012008005336894,0.027231920941203955,,,,,
19,0.0190126751167445,0.028743512103559063,,,,,
20,0.020013342228152105,0.030256444536946123,,,,,
21,0.021014009339559707,0.03176910437878582,,,,,
22,0.022014676450967312,0.03328213155232052,,,,,
23,0.023015343562374918,0.03479406081996945,,,,,
24,0.024016010673782524,0.036307826320277764,,,,,
25,0.02501667778519013,0.03781972779853414,,,,,
26,0.026017344896597735,0.039335300098338244,,,,,
27,0.02701801200800534,0.040846304610312495,,,,,
28,0.028018679119412943,0.04236092908679404,,,,,
29,0.029019346230820548,0.04387223766474667,,,,,
30,0.030020013342228154,0.04538495717496581,,,,,
31,0.03102068045363576,0.04689881552901175,,,,,
32,0.032021347565043365,0.048412614805497564,,,,,
33,0.03302201467645097,0.04992229561352755,,,,,
34,0.034022681787858576,0.051436680361149845,,,,,
35,0.03502334889926618,0.05294945598343748,,,,,
36,0.03602401601067379,0.054464471857472656,,,,,
37,0.03702468312208139,0.055974708847801945,,,,,
38,0.038025350233489,0.05748842355412569,,,,,
39,0.0390260173448966,0.05899998264008156,,,,,
40,0.04002668445630421,0.060510624315410294,,,,,
41,0.04102735156771181,0.062024908098987495,,,,,
42,0.042028018679119414,0.06353672316203669,,,,,
43,0.04302868579052702,0.06505227222145421,,,,,
44,0.044029352901934625,0.0665618565209197,,,,,
45,0.045030020013342234,0.06807874640307358,,,,,
46,0.046030687124749836,0.06958739545368875,,,,,
47,0.047031354236157445,0.07110355517775889,,,,,
48,0.04803202134756505,0.07261311970708025,,,,,
49,0.04903268845897265,0.0741305722002518,,,,,
50,0.05003335557038026,0.07563876292673949,,,,,
51,0.05103402268178786,0.07715502054172477,,,,,
52,0.05203468979319547,0.078664012251996,,,,,
53,0.05303535690460307,0.08018142842626003,,,,,
54,0.05403602401601068,0.08169132736472216,,,,,
55,0.05503669112741828,0.08320499706993718,,,,,
56,0.056037358238825885,0.08471912957349996,,,,,
57,0.057038025350233494,0.08623039847644558,,,,,
58,0.058038692461641096,0.08774332521935832,,,,,
59,0.059039359573048705,0.08926006838458515,,,,,
60,0.06004002668445631,0.0907670954323972,,,,,
61,0.061040693795863916,0.09228368395163944,,,,,
62,0.06204136090727152,0.09379242547033013,,,,,
63,0.06304202801867913,0.0953076499978845,,,,,
64,0.06404269513008673,0.09681947512009746,,,,,
65,0.06504336224149433,0.09833659999831675,,,,,
66,0.06604402935290193,0.09984418818930899,,,,,
67,0.06704469646430955,0.10136221096769123,,,,,
68,0.06804536357571715,0.10287042849551804,,,,,
69,0.06904603068712475,0.1043841665767499,,,,,
70,0.07004669779853236,0.10589834304549454,,,,,
71,0.07104736490993997,0.10741077594420263,,,,,
72,0.07204803202134757,0.10892302856901086,,,,,
73,0.07304869913275518,0.11043885527609716,,,,,
74,0.07404936624416278,0.11194910027987276,,,,,
75,0.07505003335557038,0.11346281599794276,,,,,
76,0.076050700466978,0.11497667906651146,,,,,
77,0.0770513675783856,0.11648817735004399,,,,,
78,0.0780520346897932,0.11799994761642846,,,,,
79,0.0790527018012008,0.11951199969637034,,,,,
80,0.08005336891260842,0.12102434390012184,,,,,
81,0.08105403602401602,0.12253699104708324,,,,,
82,0.08205470313542362,0.12404995249762489,,,,,
83,0.08305537024683123,0.12556324018732584,,,,,
84,0.08405603735823883,0.12707686666384602,,,,,
85,0.08505670446964644,0.12858435129548687,,,,,
86,0.08605737158105405,0.13010518946999983,,,,,
87,0.08705803869246165,0.1316132473290331,,,,,
88,0.08805870580386925,0.13312746174221465,,,,,
89,0.08905937291527685,0.13463938503047604,,,,,
90,0.09006004002668447,0.13615163516796527,,,,,
91,0.09106070713809207,0.13766660555249985,,,,,
92,0.09206137424949967,0.13918301548880263,,,,,
93,0.09306204136090727,0.14068788545810268,,,,,
94,0.09406270847231489,0.1422085492763847,,,,,
95,0.09506337558372249,0.14371733079407595,,,,,
96,0.0960640426951301,0.14523520293661743,,,,,
97,0.0970647098065377,0.1467406703668517,,,,,
98,0.0980653769179453,0.14825553307740577,,,,,
99,0.09906604402935291,0.1497650640107763,,,,,
100,0.10006671114076052,0.15128237327896932,,,,,
101,0.10106737825216812,0.1527905852656974,,,,,
102,0.10206804536357572,0.154312403120156,,,,,
103,0.10306871247498334,0.15581881456277538,,,,,
104,0.10406937958639094,0.15733326348857124,,,,,
105,0.10507004669779854,0.15884665201001985,,,,,
106,0.10607071380920614,0.16035761137650376,,,,,
107,0.10707138092061375,0.1618687491751637,,,,,
108,0.10807204803202136,0.1633883347059915,,,,,
109,0.10907271514342896,0.16489157791222897,,,,,
110,0.11007338225483657,0.16641168192863426,,,,,
