W9SE,3302716533T20050430,1103121249,Yu Chu Lam Building,庾柱林大廈,114.1454359,22.28766339,0,3.7,Estimation (e.g. by no. of storeys),40,Photogrammetry,36.3,x,
W9SW,3298216530T20161117,1810156458,AVA128,,114.1449924,22.28767006,0,3.7,Building Plan,98.800003,GPS Only,95.100003,,
W9NW,3298416570T20050430,1103121008,Lucky Commercial Centre,樂基商業中心,114.1449989,22.28802343,0,3.5,LiDAR,79,Photogrammetry,75.5,,
W10NE,3284216568T20050430,1103120999,Tak Tung House,德東樓,114.1436344,22.28804803,0,3.4,LiDAR,48.299999,Photogrammetry,44.899999,,
W10SE,3282716540T20050430,1103121193,Luen Tak Building,聯德大廈,114.1434996,22.28770472,0,3.6,LiDAR,45.599998,Photogrammetry,41.999998,,
W10SW,3278416542T20050430,1103121183,Wai Tak Building,惠德大廈,114.143099,22.28771939,0,3.7,LiDAR,55.400002,Photogrammetry,51.700002,,
W10NW,3279116569T20050430,1103120982,Wing Fat Mansion,永發樓,114.1431466,22.28806827,0,3.3,LiDAR,32.700001,Photogrammetry,29.400001,,
W11NE,3262316575T20050430,1103120926,Tak May House,德美樓,114.1415445,22.28813413,0,4.2,LiDAR,26,3D Project,21.8,,
W11SE,3263716542T20050430,1103121148,Tung Che Commercial Centre,東慈商業中心,114.1416548,22.28777143,0,13.7,Photogrammetry,92.599998,3D Project,78.899998,,
W11SW,3260316549T20050430,1103121139,Ching Tak Building,正德大廈,114.1413475,22.2877575,0,4.3,Ordinary Leveling,54.299999,Photogrammetry,49.999999,,
W11NW,3259716576T20050430,1103120932,Wah Lap House,華立大樓,114.1412874,22.28813422,0,4.3,LiDAR,24.1,3D Project,19.8,,
W12NE,3242116543T20050430,1103121082,Tin Hing Building,天興大廈,114.1395267,22.28784797,0,3.7,LiDAR,45.900002,Photogrammetry,42.200002,,
W12SE,3242416516T20050430,1103121348,,,114.1395915,22.28749744,0,4.3,LiDAR,24.799999,Trigonometrical Height or GPS,20.499999,,
W12SW,3239216498T20050430,1103121425,Liang Ga Building,良基大廈,114.1392865,22.28736465,0,12.4,Photogrammetry,86.300003,Photogrammetry,73.900003,,
W12NW,3237916537T20170223,1810159283,Bohemian House,,114.1391234,22.28772155,0,17.299999,Building Plan,100.5,Building Plan,83.200001,,
W13NE,3225316505T20050430,1103121272,Kwan Yick Building Phase II Block B,均益大廈第二期Ｂ座,114.1378749,22.28753766,0,9.8,Photogrammetry,80.199997,Trigonometrical Height or GPS,70.399997,,
W13SE,3223316459T20050430,1103121646,Chung Ah Building,中亞大樓,114.137775,22.28698982,0,4,LiDAR,51.900002,Photogrammetry,47.900002,,
W13SW,3220816451T20050430,1103121710,Lucky Building,幸運樓,114.1375293,22.28688732,0,4.1,LiDAR,33.599998,Photogrammetry,29.499998,,
W13NW,3217516509T20150615,1810143106,Upton,維港峰,114.1371694,22.28747235,0,16.799999,Building Plan,157.5,GPS Only,140.700001,,
W14NE,3209316457T20050430,1103121694,Lun Fung Court,龍豐閣,114.1362588,22.28694237,0,18.799999,Photogrammetry,111.099998,Photogrammetry,92.299999,,
W14SE,3207016411T20050430,1103121987,,,114.1361696,22.28651142,0,3.8,LiDAR,45.799999,Trigonometrical Height or GPS,41.999999,,
W14SW,3202116412T20050430,1103121900,Pacific Plaza,太平洋廣場,114.1356467,22.28659513,0,20.200001,Photogrammetry,92.900002,Photogrammetry,72.700001,,
W14NW,3204216477T20050430,1103121540,Hong Kong Plaza,香港商業中心,114.1359189,22.28710521,0,18.6,Photogrammetry,152,3D Project,133.4,,
W15SE,3183916450T20050430,1103121696,Mei Sun Lau Block A,美新樓Ａ座,114.1339054,22.28688304,0,12.6,Photogrammetry,75.400002,Photogrammetry,62.800002,,
W15SW,3179316460T20050430,1103121624,Hong Kong Industrial Building,香港工業大廈,114.1334574,22.28697415,0,19.700001,Photogrammetry,79.599998,3D Project,59.899997,,
W16NE,3171016430T20050430,1103121801,Wo Fat Building,和發大廈,114.1326744,22.28679344,0,10.6,Photogrammetry,66.199997,Photogrammetry,55.599997,,
W16SE,3168416404T20050430,1103121970,Sum Way Mansion,三匯大廈,114.1325156,22.28649699,0,3.9,LiDAR,79.900002,3D Project,76.000002,,
