buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"515","1108240333",T,7.7,"2","619",840808.506,818920.878
"516","1810184294",T,82.9,"27","71224",840343.738,819466.417
"517","1108246649",P,15.2,"5","4832",840464.844,819523.656
"518","1108239864",T,29.3,"9","12598",840962.691,819091.243
"519","1108237926",T,31.8,"10","7384",840461.264,819527.165
"520","1108240332",T,33.4,"11","21595",840870.897,818897.535
"521","1108240413",T,32.1,"10","5914",841054.194,818869.559
"522","1108238675",T,132.3,"44","80142",840919.598,819367.935
"523","1108238990",T,74.2,"24","12391",841152.428,819322.842
"524","1108240962",T,64.4,"21","45671",841037.078,818699.372
"525","1810074643",T,110.2,"36","20491",840614.478,819464.163
"526","1109609267",T,59.5,"19","6437",840823.051,819058.245
"527","1108240503",T,9.6,"3","237",840895.535,818838.934
"528","1108240485",T,9.5,"3","260",840890.425,818845.390
