origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"7","38",1.7180208,1404.2891718,0.1792728,1406.1864654
"7","39",1.7180208,1372.3210508,0.5458849,1374.5849565
"7","40",1.7180208,1363.2762385,0.6940843,1365.6883436
"7","41",1.7180208,1398.1600452,0.1241398,1400.0022058
"7","42",1.7180208,1357.1377242,0.7545976,1359.6103426
"7","43",1.7180208,1999.7466730,0.1588003,2001.6234941
"7","44",1.7180208,2060.6034340,3.8020801,2066.1235349
"7","45",1.7180208,2079.4228766,1.9766903,2083.1175877
"7","46",1.7180208,290.7338626,0.1941626,292.6460459
"7","47",1.7180208,371.3512397,2.4118715,375.4811320
"7","48",1.7180208,716.6684486,0.9248293,719.3112986
"7","49",1.7180208,1446.0436438,0.4510897,1448.2127542
"7","50",1.7180208,1377.8210842,1.1790701,1380.7181751
"7","51",1.7180208,1619.1061352,0.5528679,1621.3770239
"7","52",1.7180208,1291.3006769,0.2485793,1293.2672769
"7","53",1.7180208,1278.9467682,0.6557747,1281.3205637
"7","54",1.7180208,1251.9427619,0.4995255,1254.1603081
"7","55",1.7180208,1150.8411466,0.3998232,1152.9589905
"7","56",1.7180208,1088.5336808,2.2965769,1092.5482785
"7","57",1.7180208,1017.0884604,1.1393830,1019.9458642
"7","58",1.7180208,1258.0178095,0.2599727,1259.9958030
"7","59",1.7180208,1282.2664282,0.2276089,1284.2120578
"7","60",1.7180208,1318.6531518,0.0722521,1320.4434247
"7","61",1.7180208,1783.1638979,0.0977278,1784.9796465
"7","62",1.7180208,1402.0543660,0.3342354,1404.1066222
"7","63",1.7180208,1493.8901575,0.3448893,1495.9530676
"7","64",1.7180208,1581.6148200,0.3059679,1583.6388087
"7","65",1.7180208,913.0644256,0.2649683,915.0474147
"7","66",1.7180208,828.2971667,0.1235684,830.1387560
"7","67",1.7180208,787.0574550,0.0649489,788.8404247
"7","68",1.7180208,690.0769871,1.0569303,692.8519382
"7","69",1.7180208,967.4104702,10.7218796,979.8503706
"7","70",1.7180208,807.9194067,11.8663928,821.5038203
"8","0",1.8778622,1161.7722889,4.7471764,1168.3973275
"8","1",1.8778622,1059.9444290,0.0000000,1061.8222912
"8","2",1.8778622,829.2901818,0.0000000,831.1680440
"8","3",1.8778622,624.0033064,0.0000000,625.8811686
"8","4",1.8778622,561.9450994,0.0000000,563.8229616
"8","5",1.8778622,554.9619987,0.0000000,556.8398609
"8","6",1.8778622,320.3331092,0.0000000,322.2109714
"8","7",1.8778622,4.3463797,1.7180208,7.9422627
"8","8",0.0000000,0.0000000,0.0000000,0.0000000
"8","9",,,,
"8","10",1.8778622,652.3177646,1.8035773,655.9992041
"8","11",1.8778622,644.3291156,1.2020156,647.4089934
"8","12",1.8778622,699.0022543,1.2986645,702.1787810
"8","13",1.8778622,764.0908795,1.1028969,767.0716386
"8","14",1.8778622,832.7141486,0.9151507,835.5071614
"8","15",1.8778622,817.1807386,0.8182880,819.8768887
"8","16",1.8778622,1362.9400201,1.4445217,1366.2624041
"8","17",1.8778622,1215.8706861,1.6228738,1219.3714221
"8","18",1.8778622,1223.0119405,1.6199273,1226.5097299
"8","19",1.8778622,1242.1117034,1.4010424,1245.3906080
"8","20",1.8778622,1393.6768406,0.1292292,1395.6839320
"8","21",1.8778622,1749.2168083,0.8968344,1751.9915049
"8","22",1.8778622,1690.0417723,0.4529877,1692.3726222
"8","23",1.8778622,1646.0822203,0.3076314,1648.2677139
"8","24",1.8778622,1702.3114499,0.9857910,1705.1751032
"8","25",1.8778622,1568.2121898,0.0925177,1570.1825698
"8","26",1.8778622,1637.3556805,0.1756824,1639.4092251
"8","27",1.8778622,527.0802879,1.4749853,530.4331354
"8","28",1.8778622,502.4874887,1.2392569,505.6046078
"8","29",1.8778622,448.4047525,0.8054439,451.0880586
"8","30",1.8778622,535.6193147,1.1788190,538.6759959
"8","31",1.8778622,567.1473442,0.1033514,569.1285579
"8","32",1.8778622,1614.3905546,0.6362029,1616.9046197
"8","33",1.8778622,1594.3071889,0.5888800,1596.7739312
"8","34",1.8778622,1652.6511490,1.4175794,1655.9465906
"8","35",1.8778622,1673.3516075,1.4426232,1676.6720929
"8","36",1.8778622,757.6757527,0.4212628,759.9748778
"8","37",1.8778622,1518.9881793,0.5352641,1521.4013056
"8","38",1.8778622,1408.6355516,0.1792728,1410.6926866
"8","39",1.8778622,1376.6674306,0.5458849,1379.0911776
"8","40",1.8778622,1367.6226183,0.6940843,1370.1945648
"8","41",1.8778622,1402.5064250,0.1241398,1404.5084270
"8","42",1.8778622,1361.4841040,0.7545976,1364.1165638
"8","43",1.8778622,2004.0930528,0.1588003,2006.1297153
"8","44",1.8778622,2064.9498138,3.8020801,2070.6297561
"8","45",1.8778622,2083.7692564,1.9766903,2087.6238089
"8","46",1.8778622,295.0802423,0.1941626,297.1522671
"8","47",1.8778622,375.6976195,2.4118715,379.9873531
"8","48",1.8778622,721.0148283,0.9248293,723.8175198
"8","49",1.8778622,1450.3900235,0.4510897,1452.7189754
"8","50",1.8778622,1382.1674639,1.1790701,1385.2243962
"8","51",1.8778622,1623.4525149,0.5528679,1625.8832450
"8","52",1.8778622,1295.6470566,0.2485793,1297.7734981
"8","53",1.8778622,1283.2931480,0.6557747,1285.8267849
"8","54",1.8778622,1256.2891416,0.4995255,1258.6665293
"8","55",1.8778622,1155.1875263,0.3998232,1157.4652117
"8","56",1.8778622,1092.8800606,2.2965769,1097.0544997
"8","57",1.8778622,1021.4348402,1.1393830,1024.4520853
"8","58",1.8778622,1262.3641893,0.2599727,1264.5020242
"8","59",1.8778622,1286.6128079,0.2276089,1288.7182790
"8","60",1.8778622,1322.9995315,0.0722521,1324.9496459
"8","61",1.8778622,1787.5102777,0.0977278,1789.4858677
