sampleid,x,y
265,841058.190,818729.935
266,841061.732,818725.635
267,841073.832,818711.674
268,841065.178,818721.509
269,840544.381,819554.081
270,840511.029,819520.819
271,840538.190,819545.386
272,840517.536,819524.249
273,840529.169,819536.081
274,840523.961,819530.785
275,840547.389,819558.587
276,840541.170,819549.571
277,840533.380,819540.364
278,840878.512,818731.081
279,840863.531,818797.199
280,840858.660,818775.432
281,840870.824,818748.255
282,840865.259,818760.689
283,840886.994,818813.793
284,840874.503,818804.959
285,840867.581,818755.501
286,840882.494,818810.611
287,840873.583,818742.093
288,840895.533,818819.832
289,840855.870,818784.133
290,840905.697,818827.020
291,840861.680,818768.684
292,840856.443,818790.200
293,840867.740,818800.176
294,840880.754,818726.071
295,840901.123,818823.785
296,840876.344,818735.923
297,840891.135,818816.721
298,840859.421,818794.293
299,841169.215,818608.046
300,840431.740,819474.658
301,840452.241,819477.556
302,840420.044,819473.939
303,840436.982,819475.084
304,840414.986,819473.929
305,840445.586,819475.785
306,840458.373,819479.401
307,840404.841,819473.908
308,840425.339,819474.137
309,840409.947,819473.918
310,840698.641,819470.683
311,840702.720,819474.756
312,840706.760,819478.789
313,840974.456,818820.429
314,841012.010,818778.192
315,840988.455,818806.115
316,840978.706,818817.272
317,840983.106,818812.773
318,840994.112,818799.186
319,841021.800,818766.708
320,841017.569,818771.671
321,840969.480,818823.136
322,841008.190,818782.673
323,841001.249,818790.815
324,840997.954,818794.680
325,841004.637,818786.840
326,840921.513,818793.903
327,840928.155,818826.896
328,840926.557,818787.691
329,840917.037,818817.697
330,840932.980,818778.602
331,840946.754,818758.799
332,840922.912,818823.994
333,840918.615,818798.525
334,840938.395,818770.816
335,840914.944,818808.814
336,840929.850,818783.102
337,840942.156,818765.409
338,840935.172,818828.646
339,840916.162,818803.054
340,841040.028,818746.479
341,841024.088,818764.153
342,841028.005,818759.809
343,841032.561,818754.758
344,841036.535,818750.352
345,841043.578,818742.541
346,840957.189,818744.171
347,840952.446,818750.811
348,840948.857,818755.835
349,840963.067,818736.188
350,840735.007,818942.061
351,840739.581,818949.004
352,840737.954,818925.380
353,840749.241,818960.517
354,840745.384,818955.919
355,840734.832,818933.145
356,840739.908,818920.519
357,840922.744,818876.775
358,840909.290,818909.790
359,840901.707,818919.467
360,840914.364,818903.223
361,840920.664,818889.522
362,840880.065,818947.085
