id,name,address,number,lat,lon
1,Our Lady of Maryknoll Hospital,118 SHATIN PASS ROAD,236,22.34557,114.19696
2,The Hong Kong Buddhist Hospital,10 HENG LAM STREET,364,22.33511,114.18907
3,Tung Wah Group of Hospitals Wong Tai Sin Hospital,124 SHATIN PASS ROAD,531,22.34719,114.19627
