E11SE,3603015391T20050430,Hang Seng Wanchai Building
E11SW,3602415449T20050430,Tung Wah Mansion
E11NW,3606415453T20050430,Kwong Tak Mansion
W11NE,3262316575T20050430,Tak May House
W11SE,3263716542T20050430,Tung Che Commercial Centre
W11SW,3260316549T20050430,Ching Tak Building
W11NW,3259716576T20050430,Wah Lap House
N4NE,3577318200T20050430,A. Kun Lock Building
N4SE,3577418180T20050430,Good Results Building
N4SW,3572418091T20050430,Park Lane Shopper's Boulevard
N4NW,3567718189T20050430,Tsim Sha Tsui Police Station
E12NE,3626515418T20050430,Emperor Group Centre
E12SE,3620715435T20050430,Caltex House
E12SW,3621815471T20050430,Easey Commercial Building
E12NW,3627815479T20050430,Kwong Wah Mansion
W12NE,3242116543T20050430,Tin Hing Building
W12SE,3243716498T20050430,Siu Cheung Building
W12SW,3239216498T20050430,Liang Ga Building
W12NW,3237916537T20170223,Bohemian House
N5NE,3576018429T20050430,238 Nathan Road
N5SE,3576218372T20050430,Prudential Centre
N5SW,3571218360T20050430,Shamrock Hotel
N5NW,3570518390T20111115,Pearl Oriental Tower
E13NE,3647915504T20050430,Kuo Wah Building
E13SE,3641615485T20050430,W Square
E13SW,3642315523T20050430,Yick Wah Building
E13NW,3646715537T20050430,Luen Wo Building
W13NE,3225316505T20050430,Kwan Yick Building Phase II Block B
W13SE,3223316459T20050430,Chung Ah Building
W13SW,3220816451T20050430,Lucky Building
W13NW,3217516509T20150615,Upton
N6NE,3573818584T20050430,CHI Residences 314
N6SE,3574518563T20050430,May Ming Building
N6SW,3569118567T20050430,Hong Kiu Mansion
N6NW,3569018578T20050430,315 Nathan Road
E14NE,3668115577T20050430,Yau Kwong Building
E14SE,3662515555T20050430,Opulent Building
E14SW,3659915582T20050430,Henning House
E14NW,3665215605T20050430,BOC Wan Chai Commercial Centre
W14NE,3209316457T20050430,Lun Fung Court
W14SE,3207016411T20050430,
W14SW,3202116412T20050430,Pacific Plaza
W14NW,3204216477T20050430,Hong Kong Plaza
N7NE,3575318792T20080211,Eaton Hotel
N7SE,3567218718T20050430,Manulife Provident Funds Place
N7SW,3573518740T20050430,Nathan Hotel
N7NW,3567418777T20050430,Hang Shing Building
E15NE,3685815649T20050430,Thai Kong Building
E15SE,3681015630T20050430,Cameron Commercial Centre
E15SW,3680515665T20050430,459-465 Henessey Road
E15NW,3683815678T20050430,East South Building
W15NE,,
W15SE,3183916450T20050430,Mei Sun Lau Block A
W15SW,3179316460T20050430,Hong Kong Industrial Building
W15NW,,
N8NE,3571518994T20050430,Chak Fung House
N8SE,3571818980T20050430,Tang's Mansion
N8SW,3565918941T20050430,Kowloon Government Offices
N8NW,3563418972T20050430,Tin Hau Temple
E16NE,3702715678T20050430,The Goldmark
E16SE,3698415658T20120223,Hysan Place
E16SW,3697615717T20050430,Macau Yat Yuen Centre
E16NW,3705015716T20050430,East Point Centre (Old Wing)
W16NE,3171016430T20050430,Wo Fat Building
W16SE,3168416404T20050430,Sum Way Mansion
W16SW,,
W16NW,,
N9NE,3568219177T20050430,Bangkok Bank Building
N9SE,3568419165T20050430,Oxford Commercial Building
N9NW,3563319168T20080704,Casa Hotel
N9SW,3563719151T20130220,Casa Deluxe Hotel
E17NE,3722115622T20050430,60-62 Yee Wo Street
E17SE,3719315637T20050430,McDonald's Building
E17SW,3721615666T20050430,V Causeway Bay
E17NW,3725115668T20050430,Causeway Bay Commercial Building
N10NE,3564819370T20050430,Wing Kiu Building
N10SE,3565119360T20050430,Onward Building
N10SW,3560619306T20050430,Lai Kee Mansion
N10NW,3559619384T20050430,Bell House
E18NE,3745015639T20050430,Causeway Tower
E18SE,3742915620T20050430,Catic Plaza
E18SW,,Tai Hang Rd Flyover
E18NW,,Tai Hang Rd Flyover
N11NE,3560919575T20050430,Wofoo Commercial Building
N11SE,3561219563T20050430,Kelly Commercial Centre
N11SW,3556119552T20050430,Full Win Commercial Centre
N11NW,3556119570T20180817,Ladder Dundas
E19NE,,Causeway Bay Sports Ground
E19SE,3758615670T20050430,Hong Kong Central Library
E19SW,,Victoria Park
E19NW,,Victoria Park
N12NE,3557019827T20050430,Good Hope Building
N12SE,3558119770T20050430,Hollywood Plaza
N12SW,3552419750T20050430,Sun Hing Building
N12NW,3551319795T20050430,Fee Tat Commercial Centre
E20NE,,Open Area
E20SE,3775815848T20050430,Queen's College
E20SW,,Victoria Park
E20NW,3777515948T20050430,Park Towers Tower I
N13NE,3553219969T20050430,Rex Building
N13SE,3553219960T20050430,Toa Tak Building
N13SW,3548619945T20050430,Wu Sang House
N13NW,3547619988P20060311,HSBC Building Mongkok
E21NE,3791516043T20050601,L'hotel Causeway Bay Harbour View Hong Kong
E21SE,3791615984T20050430,Kiu Hing Mansion
E21SW,3781115982T20050430,Park Towers Tower II
E21NW,3784316037T20050430,Park View Mansion
N14NE,3550420171T20050430,T.O.P This is our place
N14SE,3552120107P20060311,Argyle Centre Phase 1
N14SW,3544720145T20131018,Le Diamant
N14NW,3544320159T20050430,Silvercorp Intl Tower
E22NE,3795916263T20050430,Belilios Public School
E22SE,3794616181T20050430,King Yu Court
E22SW,3788916197T20050430,Wilson Court
E22NW,3789816228T20050430,Sun Ying Mansion
N15NE,3545920417T20050430,Pioneer Centre
N15SE,3546120325T20050430,Mascot House
N15SW,3542220305T20050430,Kingland Apartments
N15NW,3539720348T20050430,Carprio Mansion
E23NE,,Comfort Terrace Rest Garden
E23SE,3794516399T20050430,Comfort Gardens
E23SW,3789916406T20050430,Kwai Hung Holdings Centre
E23NW,3789516432T20050430,Kin Ga Building
N16NE,3545020598T20050430,Mong Kok Police Station
N16SE,3536420523T20050430,Edward Mansion
N16SW,3543820538T20050430,Bijou Apartments
N16NW,3536820574T20050430,Kwan Ngan House
E24NE,3804616611T20050430,Fortress Metro Tower Block D
E24SE,3801716575T20050430,Fortress Metro Tower Block A
E24SW,3796816610T20050430,Ying Wong House
E24NW,3798516640T20050430,Chung Nam Mansion
N17NE,3538020752T20050430,Prosperity Commercial Building
N17SE,3538120743T20050430,Tai Sang Bank Building
N17SW,3533920737T20050430,Amber House
N17NW,3533220748T20050430,Lee Tat Building
