街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
21111,211/11,211/11,859,371,366
21112S,211/12-13,211/12-13,924,454,454
21114,211/14,211/14,876,318,324
21115S,211/15-16,211/15-16,482,217,217
21117S,211/17-18 and 211/34,211/17-18 及 211/34,2722,888,901
21119S,"211/19, 211/27 and 211/32-33","211/19, 211/27 及 211/32-33",868,289,296
21120S,211/20-21,211/20-21,725,251,271
21122,211/22,211/22,733,271,271
21123S,211/23-24 and 211/28-29,211/23-24 及 211/28-29,1203,448,455
21130,211/30,211/30,912,291,296
21131,211/31,211/31,459,156,156
21201,212/01,212/01,669,297,310
21202S,212/02-03,212/02-03,2632,910,937
21204,212/04,212/04,1326,442,447
21205,212/05,212/05,1023,332,350
21207,212/07,212/07,1003,358,358
21208S,"212/08, 212/22 and 212/24","212/08, 212/22 及 212/24",1234,516,531
21210,212/10,212/10,427,213,213
21211,212/11,212/11,559,221,226
21212,212/12,212/12,534,252,259
21213,212/13,212/13,621,352,352
21214S,212/14-15,212/14-15,737,269,275
21216S,212/16 and 212/18,212/16 及 212/18,680,222,222
21217,212/17,212/17,830,344,349
21219,212/19,212/19,807,417,417
21220,212/20,212/20,461,147,152
21221,212/21,212/21,2503,917,923
21223,212/23,212/23,1302,490,510
21303S,213/03 and 213/06,213/03 及 213/06,4745,1553,1553
21304S,213/04-05 and 213/10,213/04-05 及 213/10,8774,2309,2950
21401S,214/01-02 and 214/04,214/01-02 及 214/04,1328,494,512
21405S,214/05 and 214/09-11,214/05 及 214/09-11,1752,706,717
21406S,214/06-08,214/06-08,459,274,274
21413S,214/13-14,214/13-14,679,372,379
21501S,215/01-08 and 216/01-02,215/01-08 及 216/01-02,719,278,278
21701,217/01,217/01,1507,904,904
21702,217/02,217/02,2680,1503,1547
21703,217/03,217/03,2321,1205,1226
22025S,220/25-27,220/25-27,594,276,276
22028S,220/28-29,220/28-29,545,212,212
22101,221/01,221/01,1948,679,679
22102,221/02,221/02,816,301,301
22103,221/03,221/03,434,143,143
22104,221/04,221/04,1504,608,608
22105S,221/05 and 221/12,221/05 及 221/12,1643,678,678
22106,221/06,221/06,400,134,134
22107,221/07,221/07,901,320,320
22108S,221/08 and 221/94,221/08 及 221/94,8979,3339,3356
22109,221/09,221/09,1219,328,329
22110,221/10,221/10,1071,521,521
22111,221/11,221/11,1597,642,612
22113,221/13,221/13,705,309,283
22114S,"221/14, 221/24 and 221/34","221/14, 221/24 及 221/34",1223,442,442
22115S,221/15-16,221/15-16,1172,451,451
22117,221/17,221/17,1513,565,554
22118,221/18,221/18,607,249,249
22119,221/19,221/19,1449,587,587
22120,221/20,221/20,646,292,292
22121,221/21,221/21,492,208,208
22122S,"221/22-23, 221/27, 221/33 and 221/44-45","221/22-23, 221/27, 221/33 及 221/44-45",1514,610,600
22125,221/25,221/25,2411,882,882
22126,221/26,221/26,1523,621,621
22128,221/28,221/28,1015,354,363
22129,221/29,221/29,762,291,308
22130,221/30,221/30,839,295,295
22131,221/31,221/31,1197,494,494
22132,221/32,221/32,1461,595,595
22135,221/35,221/35,649,290,290
22136,221/36,221/36,816,294,294
22137,221/37,221/37,583,217,217
22138,221/38,221/38,697,253,253
22139S,221/39-40,221/39-40,610,305,305
22141,221/41,221/41,1963,461,476
22142,221/42,221/42,5255,2119,2111
22143S,"221/43, 221/47-48 and 221/63-65","221/43, 221/47-48 及 221/63-65",920,496,486
22146,221/46,221/46,652,252,252
22149S,221/49 and 221/66,221/49 及 221/66,1176,411,427
22150,221/50,221/50,2385,738,706
22151,221/51,221/51,1715,543,543
22152S,221/52 and 221/68,221/52 及 221/68,1901,793,802
22153S,221/53-54,221/53-54,776,310,310
22155,221/55,221/55,758,288,288
22158S,221/58 and 221/96,221/58 及 221/96,720,331,320
22160,221/60,221/60,721,298,298
22162,221/62,221/62,1159,435,436
22167,221/67,221/67,789,298,309
22169,221/69,221/69,711,232,232
22170S,221/70-71,221/70-71,681,234,234
22172,221/72,221/72,1668,689,689
22173,221/73,221/73,999,429,429
22177S,221/77-78,221/77-78,4443,1764,1758
22179S,221/79-80,221/79-80,1021,398,398
22181S,221/81 and 221/89,221/81 及 221/89,2948,1183,1195
22182S,221/82-83,221/82-83,859,377,377
22184S,221/84-85,221/84-85,652,275,275
22186,221/86,221/86,1312,527,537
22187,221/87,221/87,1079,313,315
22188,221/88,221/88,488,199,199
22190,221/90,221/90,1117,394,402
22191,221/91,221/91,460,209,209
22192,221/92,221/92,748,285,285
22193,221/93,221/93,841,339,339
22197,221/97,221/97,2354,886,886
22198S,221/98-99,221/98-99,1624,698,698
22201,222/01,222/01,872,332,332
22202,222/02,222/02,1172,358,388
22203,222/03,222/03,611,237,250
22204,222/04,222/04,906,333,333
22205S,"222/05, 222/10 and 222/31","222/05, 222/10 及 222/31",601,219,219
22206S,222/06-07,222/06-07,841,291,303
22208,222/08,222/08,492,216,216
22209,222/09,222/09,1207,418,418
22211,222/11,222/11,843,367,367
22212S,222/12-14,222/12-14,1663,650,650
22215,222/15,222/15,2062,735,750
22216S,222/16-18,222/16-18,1921,752,752
22219S,222/19 and 222/23,222/19 及 222/23,510,211,211
22220,222/20,222/20,1179,415,458
22221,222/21,222/21,1936,643,653
22222,222/22,222/22,2072,680,680
22224S,222/24 and 222/27-28,222/24 及 222/27-28,708,346,346
22225S,222/25 and 222/29,222/25 及 222/29,1370,698,698
22226,222/26,222/26,696,302,302
22230,222/30,222/30,1006,427,427
22506,225/06,225/06,1086,421,407
22507S,"225/07-08, 225/86 and 225/88","225/07-08, 225/86 及 225/88",651,239,246
22510S,225/10 and 225/18,225/10 及 225/18,536,212,212
22511S,225/11-12,225/11-12,728,274,274
22513,225/13,225/13,472,205,205
22519S,225/19-20,225/19-20,726,251,258
22521,225/21,225/21,401,169,169
22522S,225/22-24,225/22-24,737,290,290
22525S,"225/25, 225/28-29, 225/32-33 and 225/81-83","225/25, 225/28-29, 225/32-33 及 225/81-83",954,353,354
22534S,225/34-35,225/34-35,791,293,297
22536S,225/36-37,225/36-37,689,229,234
22538,225/38,225/38,829,279,279
22539,225/39,225/39,829,283,283
22540,225/40,225/40,519,199,204
22541S,225/41-42,225/41-42,624,271,267
22543,225/43,225/43,714,275,262
22544,225/44,225/44,644,241,236
22545S,225/45-47,225/45-47,883,332,337
22548,225/48,225/48,1330,470,470
22549,225/49,225/49,1504,489,489
22550,225/50,225/50,1364,437,442
22551,225/51,225/51,1734,606,623
22552,225/52,225/52,1663,530,530
22553,225/53,225/53,2033,784,784
22554,225/54,225/54,1258,432,426
22555,225/55,225/55,1296,490,484
22556,225/56,225/56,1496,554,554
22557,225/57,225/57,1870,629,641
22558S,225/58-59,225/58-59,653,261,258
22560,225/60,225/60,476,201,201
22561,225/61,225/61,406,144,144
22562,225/62,225/62,1120,422,422
22563S,225/63-64,225/63-64,951,325,325
22565,225/65,225/65,550,170,170
22566,225/66,225/66,509,176,179
22567,225/67,225/67,439,193,199
22568,225/68,225/68,770,222,222
22569,225/69,225/69,815,282,278
22570S,225/70-71,225/70-71,1247,436,436
22573,225/73,225/73,477,181,181
22574,225/74,225/74,1111,426,421
22575S,225/75-76,225/75-76,1061,389,385
22577,225/77,225/77,655,195,195
22578,225/78,225/78,820,332,332
22584,225/84,225/84,5049,1499,1514
22585,225/85,225/85,759,320,320
22587,225/87,225/87,2043,728,736
22601S,226/01-03 and 226/20,226/01-03 及 226/20,1012,420,420
22604,226/04,226/04,531,123,123
22605,226/05,226/05,457,185,185
22606S,226/06 and 226/09,226/06 及 226/09,434,153,153
22607,226/07,226/07,2606,645,645
22608S,226/08 and 226/21,226/08 及 226/21,2842,715,715
22610S,226/10-12 and 226/17,226/10-12 及 226/17,780,288,292
22613S,226/13 and 226/18-19,226/13 及 226/18-19,1900,796,801
22614S,226/14-15,226/14-15,1050,242,242
22701S,"227/01, 227/07 and 227/12","227/01, 227/07 及 227/12",590,289,301
22702,227/02,227/02,595,287,287
22703,227/03,227/03,1387,579,579
22704,227/04,227/04,438,149,149
22705,227/05,227/05,787,319,333
22706S,227/06 and 227/30,227/06 及 227/30,871,403,403
22708,227/08,227/08,644,292,292
22709,227/09,227/09,742,352,341
22710,227/10,227/10,519,265,265
22711,227/11,227/11,440,222,235
22713,227/13,227/13,789,379,365
22714,227/14,227/14,887,402,414
22715S,227/15-16 and 227/18,227/15-16 及 227/18,663,278,290
22717,227/17,227/17,912,346,346
22719S,227/19-20,227/19-20,717,242,242
22721,227/21,227/21,1705,721,710
22722,227/22,227/22,2129,838,862
22723,227/23,227/23,2273,784,784
22724,227/24,227/24,1558,520,524
22825,228/25,228/25,5758,1956,1972
22826,228/26,228/26,821,335,322
22827,228/27,228/27,641,239,239
22828,228/28,228/28,496,245,245
22829S,228/29 and 228/33,228/29 及 228/33,825,361,361
22830,228/30,228/30,583,227,227
22831,228/31,228/31,587,224,236
22832,228/32,228/32,473,175,175
22834,228/34,228/34,2676,1108,1089
22835,228/35,228/35,614,242,242
22836,228/36,228/36,457,185,185
22837,228/37,228/37,959,365,373
22838,228/38,228/38,848,319,319
22901S,229/01-03,229/01-03,1691,663,663
22904S,229/04 and 229/43-44,229/04 及 229/43-44,953,368,368
22907S,"229/07, 229/10-12 and 229/16","229/07, 229/10-12 及 229/16",1175,431,431
22908,229/08,229/08,2642,1033,1009
22909S,229/09 and 229/14,229/09 及 229/14,799,317,317
22913,229/13,229/13,3682,1372,1333
22915,229/15,229/15,746,252,252
22917,229/17,229/17,722,269,278
22918,229/18,229/18,2083,744,744
22919,229/19,229/19,975,340,340
22922S,229/22-24 and 229/41,229/22-24 及 229/41,817,351,351
22942,229/42,229/42,945,343,343
23101,231/01,231/01,432,123,123
23102,231/02,231/02,1681,451,451
23103,231/03,231/03,991,210,236
23104,231/04,231/04,659,168,182
23105S,231/05-07,231/05-07,772,193,193
23108,231/08,231/08,1719,496,496
23201S,232/01-02 and 232/04-06,232/01-02 及 232/04-06,1467,332,332
23207,232/07,232/07,634,147,147
23208S,232/08-10,232/08-10,2516,688,688
23301,233/01,233/01,1433,408,408
23302,233/02,233/02,558,191,191
23303S,"233/03, 233/07 and 233/11","233/03, 233/07 及 233/11",712,186,186
23310,233/10,233/10,646,181,181
23401,234/01,234/01,1113,276,276
23402S,234/02-03,234/02-03,1944,585,585
23412,234/12,234/12,1394,385,385
23413S,234/13-15,234/13-15,529,169,169
23416,234/16,234/16,1036,268,268
23421,234/21,234/21,3324,773,777
23422,234/22,234/22,2185,590,590
23423S,234/23-24,234/23-24,1248,370,370
23425S,234/25-26,234/25-26,1521,436,469
23501,235/01,235/01,2476,996,996
23502,235/02,235/02,1267,494,494
23503,235/03,235/03,532,143,143
23504,235/04,235/04,3214,971,965
23505,235/05,235/05,2722,1027,1045
23506,235/06,235/06,1162,334,343
23507,235/07,235/07,2966,868,894
23510,235/10,235/10,817,220,238
23512S,235/12-13,235/12-13,1911,505,505
23608,236/08,236/08,10084,3355,3375
23609,236/09,236/09,8361,2802,2802
23610S,"236/10-11, 236/15 and 236/19","236/10-11, 236/15 及 236/19",448,158,158
23620,236/20,236/20,571,253,253
23621S,236/21-22,236/21-22,443,144,229
23623,236/23,236/23,5025,1641,1665
23624,236/24,236/24,4018,1173,1191
23701S,237/01-02,237/01-02,2266,798,798
23703S,237/03-05,237/03-05,12897,4854,4898
24101,241/01,241/01,870,247,247
24102,241/02,241/02,957,328,335
24103,241/03,241/03,946,376,376
24104,241/04,241/04,1968,642,632
24105,241/05,241/05,1237,497,497
24106,241/06,241/06,1319,426,426
24107,241/07,241/07,1104,443,443
24108,241/08,241/08,3458,929,929
24109,241/09,241/09,1470,478,485
24110,241/10,241/10,984,408,408
24111,241/11,241/11,2926,865,865
24112,241/12,241/12,1076,355,355
24113,241/13,241/13,10299,3445,3435
24114,241/14,241/14,806,282,282
24115,241/15,241/15,4021,1345,1345
24116,241/16,241/16,1363,418,427
24117,241/17,241/17,1243,531,531
24118,241/18,241/18,1485,549,557
24119S,241/19-20 and 241/22,241/19-20 及 241/22,1123,399,400
24121,241/21,241/21,481,152,152
24123,241/23,241/23,1093,393,393
24124S,241/24-25,241/24-25,1031,371,371
24126S,241/26 and 241/33,241/26 及 241/33,2393,881,881
24128S,241/28-29,241/28-29,723,275,275
24131,241/31,241/31,541,222,222
24132,241/32,241/32,1178,566,566
24201,242/01,242/01,6312,2069,2069
24202S,242/02 and 242/06,242/02 及 242/06,632,191,205
24203,242/03,242/03,2430,934,934
24204,242/04,242/04,539,189,189
24205,242/05,242/05,702,254,254
24207,242/07,242/07,884,299,299
24208,242/08,242/08,761,332,332
24209,242/09,242/09,740,287,287
24210,242/10,242/10,714,243,243
24211,242/11,242/11,715,274,274
24212,242/12,242/12,699,253,253
24213,242/13,242/13,937,262,272
24214,242/14,242/14,670,240,240
24215S,242/15 and 242/18,242/15 及 242/18,560,222,214
24216,242/16,242/16,736,242,242
24228S,"242/28, 242/30, 242/32, 242/34, 242/37 and 242/53","242/28, 242/30, 242/32, 242/34, 242/37 及 242/53",7122,2579,2561
24238,242/38,242/38,947,384,327
24239,242/39,242/39,2255,794,775
24240,242/40,242/40,3153,822,833
24241,242/41,242/41,7952,2906,2915
24243,242/43,242/43,1266,462,462
24244S,242/44 and 242/49,242/44 及 242/49,1251,404,404
24245,242/45,242/45,1468,565,565
24246,242/46,242/46,7878,2858,2867
24248,242/48,242/48,575,156,165
24250,242/50,242/50,1902,742,742
24301,243/01,243/01,739,328,328
24302,243/02,243/02,1089,186,198
24303S,243/03 and 243/51,243/03 及 243/51,1101,545,545
24304S,"243/04, 243/09 and 243/13","243/04, 243/09 及 243/13",1713,633,652
24305S,243/05-06,243/05-06,861,289,302
24307,243/07,243/07,989,472,472
24308,243/08,243/08,798,314,314
24310S,"243/10-11, 243/15 and 243/23","243/10-11, 243/15 及 243/23",687,280,280
24314S,243/14 and 243/20-21,243/14 及 243/20-21,727,233,243
24319S,243/19 and 243/45,243/19 及 243/45,7087,2526,2526
24324,243/24,243/24,1114,449,450
24325,243/25,243/25,552,197,197
24326,243/26,243/26,573,206,207
24327S,243/27-28,243/27-28,959,368,368
24329,243/29,243/29,492,185,173
24330,243/30,243/30,2242,1088,1054
24331S,243/31-32 and 243/36,243/31-32 及 243/36,1023,391,391
24333S,"243/33-34, 243/38 and 243/40","243/33-34, 243/38 及 243/40",867,421,421
24335,243/35,243/35,965,318,318
24337S,243/37 and 243/39,243/37 及 243/39,640,320,292
24341S,243/41 and 243/43,243/41 及 243/43,709,319,336
24342,243/42,243/42,406,198,183
24344,243/44,243/44,1138,469,469
24346S,243/46-47 and 243/49-50,243/46-47 及 243/49-50,6964,2880,2880
24401,244/01,244/01,2473,841,825
24402,244/02,244/02,562,205,205
24403,244/03,244/03,1475,504,504
24404S,244/04-06,244/04-06,988,368,381
24407,244/07,244/07,1407,535,545
24408,244/08,244/08,514,169,169
24409,244/09,244/09,1164,471,481
24410S,244/10-12 and 244/15,244/10-12 及 244/15,802,267,267
24413S,244/13-14,244/13-14,625,277,277
24416S,244/16-17 and 244/20,244/16-17 及 244/20,1023,394,394
24418S,"244/18, 244/27 and 244/30","244/18, 244/27 及 244/30",13999,4242,4258
24419,244/19,244/19,473,170,170
24421S,244/21 and 244/23-24,244/21 及 244/23-24,1111,382,382
24428,244/28,244/28,3280,1077,1076
24429,244/29,244/29,1100,362,362
24501,245/01,245/01,505,194,194
24502S,245/02 and 245/04,245/02 及 245/04,696,318,318
24506,245/06,245/06,456,175,195
24507,245/07,245/07,3170,1308,1318
24508,245/08,245/08,2243,759,759
24509,245/09,245/09,4768,1744,1754
24510,245/10,245/10,4712,1460,1436
24511,245/11,245/11,3246,889,889
24512,245/12,245/12,4253,1442,1452
24513,245/13,245/13,4516,1875,1899
24514,245/14,245/14,2170,632,632
24515,245/15,245/15,3915,1157,1157
24516,245/16,245/16,3090,1010,1010
24517,245/17,245/17,1697,455,455
24518,245/18,245/18,5871,1589,1599
24519,245/19,245/19,1019,311,311
24520,245/20,245/20,1742,710,676
24601,246/01,246/01,694,209,209
24602,246/02,246/02,560,159,159
24603,246/03,246/03,584,148,148
24604S,246/04-09,246/04-09,2722,1124,1124
24610,246/10,246/10,1507,436,436
24611,246/11,246/11,5367,2011,2030
24612,246/12,246/12,1352,398,398
24613,246/13,246/13,1633,435,435
24614,246/14,246/14,1275,313,320
24615,246/15,246/15,1328,390,390
24701S,247/01-06,247/01-06,5188,1681,1681
24707,247/07,247/07,720,225,225
24708S,247/08-09,247/08-09,718,297,289
24710S,247/10-12,247/10-12,629,235,235
25101S,"251/01-02, 251/05, 251/07, 252/01-02, 252/10, 256/01-05 and 256/11-12","251/01-02, 251/05, 251/07, 252/01-02, 252/10, 256/01-05 及 256/11-12",17634,5512,5628
25103S,251/03-04 and 256/06-10,251/03-04 及 256/06-10,2679,990,990
25203S,252/03-09 and 252/11,252/03-09 及 252/11,1443,629,629
25301S,253/01-02,253/01-02,9612,2863,2863
25303S,253/03-04,253/03-04,2988,891,903
25305S,"253/05, 253/07-08 and 253/12-13","253/05, 253/07-08 及 253/12-13",10620,3325,3327
25306S,253/06 and 253/09-11,253/06 及 253/09-11,3727,1251,1251
25314,253/14,253/14,7713,2561,2561
25401S,254/01-08,254/01-08,1733,776,792
25409S,254/09-10,254/09-10,6063,2143,2164
25411S,254/11-12,254/11-12,6722,2225,2255
25413S,254/13-14,254/13-14,1870,518,518
25415S,254/15-16,254/15-16,3687,1337,1364
25501S,255/01-02,255/01-02,19781,6866,6916
25503S,255/03-05 and 255/08-10,255/03-05 及 255/08-10,4491,1534,1566
25506S,"255/06-07, 255/11-13 and 255/17-19","255/06-07, 255/11-13 及 255/17-19",18802,7350,7404
25514S,255/14-16 and 269/01-03,255/14-16 及 269/01-03,17191,4805,4805
26003S,260/03 and 260/10,260/03 及 260/10,10320,3376,3396
26004S,260/04 and 260/06,260/04 及 260/06,1431,109,120
26005,260/05,260/05,1944,677,677
26007S,260/07 and 260/14,260/07 及 260/14,21872,6873,6889
26008S,260/08-09 and 260/15,260/08-09 及 260/15,7110,2212,2223
26011S,260/11-13,260/11-13,2280,908,908
26101,261/01,261/01,540,118,122
26102S,"261/02-05, 261/26 and 261/28","261/02-05, 261/26 及 261/28",834,255,255
26106S,"261/06-15, 261/19-20 and 261/29-30","261/06-15, 261/19-20 及 261/29-30",546,195,195
26116,261/16,261/16,957,448,448
26117,261/17,261/17,1765,819,819
26118,261/18,261/18,484,197,197
26121S,261/21-22 and 261/27,261/21-22 及 261/27,846,362,356
26123,261/23,261/23,3543,1442,1420
26124,261/24,261/24,2226,329,359
26125,261/25,261/25,912,433,433
26202S,"262/02-05, 262/08 and 262/10","262/02-05, 262/08 及 262/10",13572,5117,5111
26206,262/06,262/06,994,391,391
26207S,262/07 and 262/09,262/07 及 262/09,2201,700,700
26302S,"263/02, 263/05 and 263/08-09","263/02, 263/05 及 263/08-09",3770,1715,1715
26304,263/04,263/04,405,-,17
26310S,263/10-11,263/10-11,6073,2482,2482
26312,263/12,263/12,4798,1985,1985
26313,263/13,263/13,6153,2429,2497
26314,263/14,263/14,4069,1563,1565
26315,263/15,263/15,2708,1061,1084
26316,263/16,263/16,1726,602,602
26317,263/17,263/17,1450,643,653
26318,263/18,263/18,11456,3966,3966
26319,263/19,263/19,10670,3490,3568
26320,263/20,263/20,2167,638,675
26321,263/21,263/21,2007,566,575
26401S,"264/01-05, 264/09-11, 264/13-15 and 264/68","264/01-05, 264/09-11, 264/13-15 及 264/68",527,295,297
26406,264/06,264/06,577,232,232
26407,264/07,264/07,1533,666,666
26408,264/08,264/08,1129,414,414
26417S,264/17-19,264/17-19,6969,2813,2813
26420S,"264/20, 264/27 and 264/65","264/20, 264/27 及 264/65",14856,6058,6147
26421,264/21,264/21,1722,631,641
26422,264/22,264/22,1594,667,667
26423,264/23,264/23,503,131,131
26424,264/24,264/24,995,432,432
26425,264/25,264/25,1215,640,640
26428,264/28,264/28,1364,541,541
26429,264/29,264/29,1091,491,491
26433S,264/33 and 264/62-64,264/33 及 264/62-64,1369,399,399
26434S,264/34-36,264/34-36,3531,1407,1409
26437,264/37,264/37,4084,1459,1459
26438S,264/38-39,264/38-39,706,290,290
26440,264/40,264/40,1595,651,651
26441,264/41,264/41,975,378,378
26442,264/42,264/42,1364,451,451
26443,264/43,264/43,1285,513,513
26444,264/44,264/44,926,372,372
26445,264/45,264/45,1596,715,715
26446,264/46,264/46,1471,537,537
26447,264/47,264/47,920,344,344
26448,264/48,264/48,1033,390,390
26449,264/49,264/49,1358,557,557
26450,264/50,264/50,1152,459,459
26451,264/51,264/51,1323,510,510
26452S,264/52-54,264/52-54,1508,629,645
26466,264/66,264/66,1509,604,604
26503S,265/03-06,265/03-06,481,196,196
26507,265/07,265/07,1262,615,615
26508,265/08,265/08,1548,667,667
26509,265/09,265/09,413,179,179
26511,265/11,265/11,1361,473,473
26518S,265/18-19,265/18-19,1890,649,649
26520,265/20,265/20,6523,2693,2753
26521,265/21,265/21,4985,1962,1972
26522,265/22,265/22,702,283,283
26523S,265/23-24,265/23-24,1539,562,562
26601,266/01,266/01,466,191,191
26602,266/02,266/02,1533,602,603
26603,266/03,266/03,1953,657,657
26604,266/04,266/04,1440,533,533
26605,266/05,266/05,1565,646,658
26606,266/06,266/06,1939,719,731
26607,266/07,266/07,1591,604,605
26608,266/08,266/08,1476,639,628
26609,266/09,266/09,1494,590,590
26610,266/10,266/10,1347,511,511
26611,266/11,266/11,1773,728,698
26612,266/12,266/12,2537,671,664
26614S,266/14 and 266/27,266/14 及 266/27,858,320,329
26615,266/15,266/15,1313,557,557
26616,266/16,266/16,861,381,390
26617S,266/17-18,266/17-18,1896,723,723
26619,266/19,266/19,1302,578,590
26620,266/20,266/20,1039,487,471
26621,266/21,266/21,1324,567,553
26622,266/22,266/22,1185,533,488
26623,266/23,266/23,2001,707,707
26624,266/24,266/24,1757,614,598
26625,266/25,266/25,1493,629,629
26626,266/26,266/26,968,388,380
26628,266/28,266/28,1117,427,427
26629,266/29,266/29,2087,546,555
26630,266/30,266/30,1536,692,693
26631,266/31,266/31,2224,825,837
26632,266/32,266/32,1522,577,578
26633,266/33,266/33,946,384,384
26634,266/34,266/34,1704,758,758
26635,266/35,266/35,1653,657,657
26636,266/36,266/36,2691,717,751
26637,266/37,266/37,1694,657,657
26638,266/38,266/38,1115,398,390
26639,266/39,266/39,1660,680,680
26640S,266/40-42,266/40-42,5101,2098,2116
26703,267/03,267/03,1640,603,603
26704,267/04,267/04,958,392,392
26705,267/05,267/05,764,309,309
26706,267/06,267/06,849,370,370
26707,267/07,267/07,1296,502,502
26708,267/08,267/08,1299,526,526
26709,267/09,267/09,1499,520,520
26710,267/10,267/10,1276,494,494
26711,267/11,267/11,1889,636,636
26712S,267/12-14,267/12-14,825,349,349
26715,267/15,267/15,1068,426,426
26716,267/16,267/16,1306,474,474
26717,267/17,267/17,1114,431,420
26718,267/18,267/18,1039,406,417
26719,267/19,267/19,1147,468,468
26720,267/20,267/20,1188,406,416
26721,267/21,267/21,1561,556,556
26722,267/22,267/22,1716,589,589
26723,267/23,267/23,1196,481,481
26724,267/24,267/24,2673,1048,1048
26725S,267/25-26,267/25-26,748,291,291
26727,267/27,267/27,938,409,409
26728S,267/28 and 267/33,267/28 及 267/33,1267,488,488
26729,267/29,267/29,1708,604,604
26730,267/30,267/30,1373,585,598
26731,267/31,267/31,1065,369,359
26732,267/32,267/32,502,208,208
26734,267/34,267/34,1052,491,491
26735,267/35,267/35,1852,764,764
26736,267/36,267/36,1018,78,90
26737,267/37,267/37,1909,669,691
26738,267/38,267/38,678,333,333
26739S,267/39-40,267/39-40,1359,538,538
26743,267/43,267/43,716,320,320
26802,268/02,268/02,1238,253,540
26807,268/07,268/07,2574,948,959
26808S,268/08-09 and 268/15-16,268/08-09 及 268/15-16,467,98,108
26812S,268/12-13,268/12-13,440,159,159
26814S,268/14 and 268/37-38,268/14 及 268/37-38,2056,1019,1019
26817,268/17,268/17,429,111,111
26818,268/18,268/18,527,153,153
26819S,268/19-20,268/19-20,775,178,187
26821,268/21,268/21,588,156,156
26822,268/22,268/22,425,141,141
26823S,"268/23, 268/26-28 and 268/36","268/23, 268/26-28 及 268/36",929,293,293
26830,268/30,268/30,462,111,167
26831,268/31,268/31,418,100,100
26832,268/32,268/32,4703,1369,1379
26833,268/33,268/33,6719,2721,2748
26834,268/34,268/34,1916,583,592
26835,268/35,268/35,2009,496,496
27101S,271/01 and 271/03,271/01 及 271/03,2025,543,543
27102,271/02,271/02,1461,377,377
27104,271/04,271/04,2447,562,573
27105,271/05,271/05,1526,395,395
27106,271/06,271/06,468,119,119
27107S,271/07-13 and 271/15-17,271/07-13 及 271/15-17,434,84,96
27118S,271/18-19 and 271/22-31,271/18-19 及 271/22-31,920,269,269
27120S,271/20-21,271/20-21,610,103,103
27132S,"271/32-36, 271/42-44 and 271/47","271/32-36, 271/42-44 及 271/47",1049,263,263
27137,271/37,271/37,630,176,176
27138S,271/38-39,271/38-39,929,245,245
27140S,271/40-41,271/40-41,1020,259,272
27145,271/45,271/45,2232,495,495
27146,271/46,271/46,1193,343,343
27148S,271/48 and 271/50-51,271/48 及 271/50-51,800,182,193
27152,271/52,271/52,1666,452,452
27201,272/01,272/01,895,265,276
27202,272/02,272/02,847,257,257
27203,272/03,272/03,1845,446,446
27204,272/04,272/04,1907,484,484
27205S,272/05-06,272/05-06,1581,458,458
27207,272/07,272/07,2065,593,593
27208S,272/08-09,272/08-09,484,123,123
27210S,272/10-18,272/10-18,1600,214,423
28002S,280/02-04 and 280/06,280/02-04 及 280/06,9118,4059,4089
28009,280/09,280/09,1828,613,613
28010S,280/10-15,280/10-15,15468,5630,5634
28017S,280/17-34 and 280/39-41,280/17-34 及 280/39-41,13061,4409,4437
28102S,281/02 and 281/38,281/02 及 281/38,3273,1288,1288
28103S,281/03 and 281/07-08,281/03 及 281/07-08,32490,9934,9962
28105S,281/05-06,281/05-06,11122,3408,3420
28109,281/09,281/09,9528,2858,2886
28110,281/10,281/10,1427,421,432
28111,281/11,281/11,15339,3881,3881
28112S,281/12 and 281/15,281/12 及 281/15,613,220,225
28113,281/13,281/13,7147,2658,2632
28116S,281/16-17,281/16-17,12054,4672,4715
28119,281/19,281/19,1577,616,616
28120,281/20,281/20,1132,333,337
28121,281/21,281/21,1149,443,443
28122,281/22,281/22,3633,1308,1328
28123S,"281/23, 281/25 and 281/27","281/23, 281/25 及 281/27",5167,1412,1417
28128S,281/28 and 281/42,281/28 及 281/42,9675,2980,2980
28129S,281/29 and 281/33-34,281/29 及 281/33-34,7523,2337,2390
28130,281/30,281/30,17073,6342,6327
28131,281/31,281/31,9189,3505,3515
28132,281/32,281/32,7543,2415,2415
28135,281/35,281/35,15396,5887,5909
28136,281/36,281/36,2494,816,816
28137,281/37,281/37,20385,6859,6894
28139S,281/39-40,281/39-40,3705,1439,1440
28141,281/41,281/41,4586,1311,1407
28143,281/43,281/43,2877,953,953
28207,282/07,282/07,2872,956,956
28209,282/09,282/09,3103,1119,1131
28210,282/10,282/10,4308,1558,1561
28213S,282/13-14,282/13-14,10505,3412,3412
28215S,282/15-17,282/15-17,8267,3229,3217
28218S,282/18-19,282/18-19,10041,3480,3480
28220,282/20,282/20,1633,610,610
28221,282/21,282/21,3847,1329,1329
28222,282/22,282/22,4376,1345,1345
28223S,282/23 and 282/25,282/23 及 282/25,6398,2201,2201
28302S,283/02 and 283/24,283/02 及 283/24,7836,2539,2549
