街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
13147,131/47,131/47,994,406,395
13148S,131/48-50,131/48-50,421,171,171
13151S,131/51 and 131/74,131/51 及 131/74,870,306,318
13153,131/53,131/53,1678,602,602
13156S,"131/56, 131/71 and 131/75","131/56, 131/71 及 131/75",1067,535,559
13159S,131/59 and 131/61,131/59 及 131/61,436,164,164
13160,131/60,131/60,1245,347,347
13162,131/62,131/62,407,164,164
13163S,131/63-64,131/63-64,505,207,217
13165S,131/65-70,131/65-70,1164,382,384
13201S,132/01 and 132/03-04,132/01 及 132/03-04,753,353,353
13202,132/02,132/02,737,287,277
13205S,132/05-06,132/05-06,428,196,196
13207,132/07,132/07,1148,447,447
13208,132/08,132/08,641,239,239
13209,132/09,132/09,833,278,278
13210S,"132/10, 132/30-32 and 132/35","132/10, 132/30-32 及 132/35",823,363,375
13211S,132/11 and 132/21-22,132/11 及 132/21-22,465,217,229
13212S,132/12-13,132/12-13,812,313,313
13214S,132/14-15,132/14-15,699,346,370
13217S,132/17-19 and 132/29,132/17-19 及 132/29,1144,417,431
13220,132/20,132/20,789,390,379
13223S,132/23-26,132/23-26,1851,363,384
13228S,132/28 and 132/34,132/28 及 132/34,856,287,299
13233,132/33,132/33,1945,1009,995
13236,132/36,132/36,1665,682,683
13237S,132/37-38,132/37-38,715,361,361
13239S,132/39-42,132/39-42,774,259,259
13243S,132/43-44,132/43-44,403,107,107
13301S,133/01-03,133/01-03,1158,439,452
13304,133/04,133/04,524,293,293
13305,133/05,133/05,1095,421,421
13306S,133/06-07,133/06-07,1064,520,532
13308,133/08,133/08,1068,564,564
13309,133/09,133/09,518,246,246
13310,133/10,133/10,1340,470,482
13311,133/11,133/11,723,314,314
13312,133/12,133/12,1209,494,507
13313,133/13,133/13,968,380,380
13314,133/14,133/14,1435,605,605
13402S,134/02-03 and 134/06,134/02-03 及 134/06,1200,565,565
13501S,135/01-06,135/01-06,1076,636,664
14001S,140/01 and 140/04,140/01 及 140/04,2166,627,639
14002,140/02,140/02,4207,1242,1250
14003S,140/03 and 140/05,140/03 及 140/05,995,304,304
14101S,141/01-03,141/01-03,521,103,169
14104S,"141/04-05, 141/08 and 141/16","141/04-05, 141/08 及 141/16",1002,177,365
14106,141/06,141/06,693,137,146
14107,141/07,141/07,1774,557,547
14109,141/09,141/09,2501,705,705
14110S,141/10 and 141/13,141/10 及 141/13,1155,274,274
14111,141/11,141/11,4507,1630,1638
14112,141/12,141/12,1435,486,486
14114,141/14,141/14,907,268,268
14115,141/15,141/15,1811,509,517
14117,141/17,141/17,1751,494,494
14118,141/18,141/18,597,135,135
14119S,141/19-21,141/19-21,456,134,134
14122,141/22,141/22,540,146,146
14201,142/01,142/01,1617,534,534
14202,142/02,142/02,2342,660,660
14203,142/03,142/03,1384,514,522
14204S,142/04 and 142/11,142/04 及 142/11,3511,968,968
14205,142/05,142/05,5349,1708,1717
14206,142/06,142/06,4316,1257,1266
14207,142/07,142/07,2766,1127,1136
14208,142/08,142/08,1004,430,439
14209,142/09,142/09,1449,619,644
14210,142/10,142/10,4304,1406,1433
14212,142/12,142/12,2627,825,852
14213,142/13,142/13,1539,360,360
14214S,142/14 and 142/18,142/14 及 142/18,1765,489,489
14215S,142/15-17,142/15-17,686,159,169
14219S,142/19-20,142/19-20,2776,644,644
14221,142/21,142/21,2383,781,781
14301,143/01,143/01,839,263,276
14302,143/02,143/02,1238,356,356
14303S,143/03 and 143/05-07,143/03 及 143/05-07,2965,835,895
14304,143/04,143/04,1524,425,425
14308S,143/08-09,143/08-09,861,204,204
14310,143/10,143/10,846,235,243
14311,143/11,143/11,770,207,207
14312,143/12,143/12,740,148,148
14313,143/13,143/13,954,292,299
14401S,144/01 and 144/04,144/01 及 144/04,4142,1308,1308
14402S,"144/02-03, 144/08-09, 144/11-12 and 144/20-22","144/02-03, 144/08-09, 144/11-12 及 144/20-22",1134,587,587
14406S,144/06-07 and 144/66,144/06-07 及 144/66,3967,1038,1038
14413,144/13,144/13,873,253,253
14415S,144/15 and 144/65,144/15 及 144/65,2841,769,769
14416,144/16,144/16,2201,581,581
14418,144/18,144/18,1963,701,701
14423,144/23,144/23,468,255,255
14424S,144/24-25,144/24-25,582,259,259
14426S,144/26 and 144/54,144/26 及 144/54,722,184,184
14428S,144/28 and 144/55,144/28 及 144/55,887,222,229
14430,144/30,144/30,552,185,185
14431,144/31,144/31,599,250,250
14432S,144/32-33,144/32-33,1227,523,523
14434S,144/34 and 144/64,144/34 及 144/64,1160,398,398
14435,144/35,144/35,465,210,210
14436,144/36,144/36,1444,570,570
14437S,144/37-38,144/37-38,461,188,188
14439S,144/39-40,144/39-40,753,322,322
14442S,144/42-43,144/42-43,781,324,324
14444,144/44,144/44,769,311,311
14445,144/45,144/45,1335,438,438
14446S,144/46-47,144/46-47,619,328,334
14448S,144/48 and 144/50,144/48 及 144/50,531,241,241
14451,144/51,144/51,567,209,209
14452S,144/52-53,144/52-53,615,159,159
14456,144/56,144/56,847,222,222
14457S,"144/57, 144/59-62 and 144/67-70","144/57, 144/59-62 及 144/67-70",720,188,188
14458,144/58,144/58,1034,286,286
14501S,145/01-03 and 145/07-13,145/01-03 及 145/07-13,487,209,209
14504S,"145/04-05, 145/35-36 and 145/40","145/04-05, 145/35-36 及 145/40",1183,300,300
14514S,145/14-20 and 145/24,145/14-20 及 145/24,672,259,259
14521S,145/21-23,145/21-23,846,327,338
14525S,145/25-29,145/25-29,999,342,342
14530,145/30,145/30,2186,640,651
14531,145/31,145/31,800,231,231
14532S,145/32-33,145/32-33,713,183,183
14534S,145/34 and 145/39,145/34 及 145/39,920,256,256
14537,145/37,145/37,1182,427,427
