distance,kmb1,mtr1,hr,income
0.000000000000000,5.299460887908936,9.284482002258301,,36430.000
1.000000000000000,5.328659057617188,9.309774398803709,,36430.000
2.000000000000000,5.328659057617188,9.337350845336914,,36430.000
3.000000000000000,5.357537269592286,9.389908790588377,,36430.000
4.000000000000000,5.369599342346192,9.417317390441895,,36430.000
5.000000000000000,5.397669792175294,9.469450950622559,,36430.000
6.000000000000000,5.408902645111084,9.496677398681641,,36430.000
7.000000000000000,5.436113834381104,9.548372268676758,,36430.000
8.000000000000000,5.446497917175294,9.548372268676758,,36430.000
9.000000000000000,5.462906837463380,9.599726676940918,,36430.000
10.000000000000000,5.472803592681886,9.626643180847168,,36430.000
11.000000000000000,5.498658180236816,9.677533149719238,,36430.000
12.000000000000000,5.524039745330812,9.704235076904297,,36430.000
13.000000000000000,5.532554626464844,9.754642486572266,,36430.000
14.000000000000000,5.556930065155030,9.754642486572266,,36430.000
15.000000000000000,5.564546108245850,9.804680824279785,,36430.000
16.000000000000000,5.580781459808350,9.854348182678223,,36430.000
17.000000000000000,5.587878227233888,9.880559921264648,,36430.000
18.000000000000000,5.610664844512940,9.929711341857910,,36430.000
19.000000000000000,5.616847515106202,9.955677986145020,,36430.000
20.000000000000000,5.638536453247070,10.004294395446777,,36430.000
21.000000000000000,5.643803119659424,10.004294395446777,,36430.000
22.000000000000000,5.664369106292726,10.052514076232910,,36430.000
23.000000000000000,5.664369106292726,10.078072547912598,,36430.000
24.000000000000000,5.684331417083740,10.125737190246582,,36430.000
25.000000000000000,5.688137531280518,10.151023864746094,,36430.000
26.000000000000000,5.706938743591310,10.198115348815918,,36430.000
27.000000000000000,5.709820747375488,10.223119735717773,,36430.000
28.000000000000000,5.727445602416992,10.244785308837891,,36430.000
29.000000000000000,5.729410171508790,10.269627571105959,,36430.000
30.000000000000000,5.744421958923340,10.315703392028809,,36430.000
31.000000000000000,5.745843887329102,10.340245246887209,,39145.000
32.000000000000000,5.761620521545410,10.385714530944824,,39145.000
33.000000000000000,5.762130260467530,10.409951210021973,,39145.000
34.000000000000000,5.776699066162110,10.454799652099609,,39145.000
35.000000000000000,5.776309013366700,10.454799652099609,,39145.000
36.000000000000000,5.789667129516602,10.499197959899902,,39145.000
37.000000000000000,5.789667129516602,10.522933006286623,,39145.000
38.000000000000000,5.802346229553224,10.566688537597656,,39145.000
39.000000000000000,5.814366817474366,10.590094566345215,,39145.000
40.000000000000000,5.812040328979492,10.633194923400877,,39145.000
41.000000000000000,5.823082923889160,10.656261444091797,,39145.000
42.000000000000000,5.819923877716064,10.675824165344238,,39145.000
43.000000000000000,5.830173015594482,10.717980384826660,,39145.000
44.000000000000000,5.830173015594482,10.740651130676270,,31000.000
45.000000000000000,5.840190887451172,10.782124519348145,,31000.000
46.000000000000000,5.835653305053712,10.804438591003418,,31000.000
47.000000000000000,5.844618797302246,10.845219612121582,,31000.000
48.000000000000000,5.838946342468262,10.867168426513672,,31000.000
49.000000000000000,5.846854686737062,10.885503768920898,,31000.000
50.000000000000000,5.840082168579102,10.907243728637695,,31000.000
51.000000000000000,5.854740619659424,10.946817398071291,,31000.000
52.000000000000000,5.847328186035156,10.968178749084473,,31000.000
53.000000000000000,5.854725837707520,11.007031440734863,,31000.000
54.000000000000000,5.846279621124268,11.028008460998535,,31000.000
55.000000000000000,5.853352546691896,11.066126823425291,,31000.000
56.000000000000000,5.843892097473146,11.066126823425291,,31000.000
57.000000000000000,5.850794315338136,11.103727340698242,,31000.000
58.000000000000000,5.850794315338136,11.124085426330566,,31000.000
59.000000000000000,5.858072280883790,11.160936355590820,,31000.000
60.000000000000000,5.846986770629884,11.180892944335938,,31000.000
61.000000000000000,5.853976726531982,11.216984748840332,,31000.000
62.000000000000000,5.841865062713624,11.236530303955078,,31000.000
63.000000000000000,5.848509788513184,11.252542495727541,,31000.000
64.000000000000000,5.835460662841798,11.271852493286133,,31000.000
65.000000000000000,5.855387210845948,11.306637763977051,,31000.000
66.000000000000000,5.841709136962892,11.325526237487791,,31000.000
67.000000000000000,5.848404407501222,11.359526634216309,,31000.000
68.000000000000000,5.855880260467530,11.377990722656250,,31000.000
69.000000000000000,5.841494560241700,11.411198616027832,,31000.000
70.000000000000000,5.849562168121338,11.411198616027832,,31000.000
71.000000000000000,5.834919929504396,11.443852424621582,,31000.000
72.000000000000000,5.858378410339356,11.475951194763184,,31000.000
73.000000000000000,5.843489646911622,11.493484497070312,,31000.000
74.000000000000000,5.852768898010254,11.524771690368652,,31000.000
75.000000000000000,5.837753295898438,11.541857719421387,,31000.000
76.000000000000000,5.847882270812988,11.572326660156250,,31000.000
77.000000000000000,5.832955360412598,11.572326660156250,,31000.000
78.000000000000000,5.843908309936524,11.602229118347168,,31000.000
79.000000000000000,5.843908309936524,11.618607521057127,,31000.000
80.000000000000000,5.855689525604248,11.647676467895508,,31000.000
81.000000000000000,5.840731143951416,11.663595199584959,,31000.000
82.000000000000000,5.853189945220948,11.691829681396484,,31000.000
83.000000000000000,5.838253498077394,11.707283020019531,,31000.000
84.000000000000000,5.851502418518066,11.719484329223633,,31000.000
85.000000000000000,5.851502418518066,11.734671592712402,,31000.000
86.000000000000000,5.865686416625978,11.761479377746582,,31000.000
87.000000000000000,5.851139545440674,11.776196479797363,,31000.000
88.000000000000000,5.865912437438966,11.802148818969727,,31000.000
89.000000000000000,5.850998401641846,11.816388130187988,,31000.000
90.000000000000000,5.865906238555908,11.841479301452637,,31000.000
91.000000000000000,5.850530624389648,11.841479301452637,,31000.000
