Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Pre-fieldwork Notes,NOBUILDING,ISERROR,NONAME,,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address
N29SW,29,SW,7600,3380722302T20050511,1108222149,Federal Mansion Block A,聯邦閣Ａ座,114.1530379,22.33972013,6,l,43.5,e,37.5,Manually edited due to API failing to attribute tower to podium as a child attribute.,FALSE,FALSE,FALSE,,12,0,32,1981,Google Earth+BMIS,467 CASTLE PEAK ROAD
N29NW,29,NW,7600,3376122297T20050430,1108222206,473 Castle Peak Road,,114.1525137,22.33972609,6.1,o,32.6,p,26.5,,FALSE,FALSE,TRUE,,9,0,52,1959,BMIS_auto,473 CASTLE PEAK ROAD
N30NE,30,NE,7800,3357322267T20050430,1108222285,Peninsula Tower,半島大廈,114.1507259,22.33953921,19.9,l,123,e,103.1,,FALSE,FALSE,FALSE,,26,0,100,1998,BMIS_auto,538 CASTLE PEAK ROAD
N30SE,30,SE,7800,3360322301T20050430,1108222155,V GA Building,偉基大廈,114.1510496,22.33964642,5.7,l,71.9,p,66.2,,FALSE,FALSE,FALSE,,20,0,68,1994,Google Earth+BMIS,532 CASTLE PEAK ROAD
N30SW,30,SW,7800,3362922228T20050430,1108222376,Lai Cheong Factory Building,麗昌工廠大廈,114.151262,22.33911472,5.1,p,37,p,31.9,,FALSE,FALSE,FALSE,,8,0,8,1961,BMIS_auto,479 CASTLE PEAK ROAD
N30NW,30,NW,7800,3357022211T20050430,1108222452,Hong Kong Spinners Industrial Building Phase VI,香港紗廠工業大廈第六期,114.150607,22.33892109,19.6,p,45.2,p,25.6,,FALSE,FALSE,FALSE,,10,0,17,1980,BMIS_auto,481 CASTLE PEAK ROAD
N31NE,31,NE,8000,3336622184T20050430,1108222607,Fung Wah Factorial Building,豐華工業大廈,114.1486998,22.33871245,5.6,p,33.3,p,27.7,,FALSE,FALSE,FALSE,,7,0,28,1960,BMIS,646-648 CASTLE PEAK ROAD
N31SE,31,SE,8000,3341422216T20050430,1108222447,Wing Kut Industrial Building,榮吉工業大廈,114.1491667,22.33900247,19.6,p,45.3,p,25.7,,FALSE,FALSE,FALSE,,12,0,72,1983,BMIS_auto,608 CASTLE PEAK ROAD
N31SW,31,SW,8000,3343922161T20050430,1108222674,Kowloon Plaza,九龍廣場,114.1494156,22.33851061,19.4,p,69.7,p,50.3,,FALSE,FALSE,FALSE,,17,0,18,1990,BMIS_auto,485 CASTLE PEAK ROAD
N31NW,31,NW,8000,3337522084T20050430,1108222796,Hong Kong Spinners Industrial Building Phase I And II,香港紗廠工業大廈第一及二期,114.1486966,22.33806508,5.1,p,45.5,p,40.4,,FALSE,FALSE,FALSE,,10,0,40,1972,BMIS_auto,800 CHEUNG SHA WAN ROAD
N32NE,32,NE,8200,3314922112T20050430,1108222836,Ka Ming Court,嘉名工廠大廈,114.1465847,22.33810889,5.4,p,45.3,3,39.9,,FALSE,FALSE,FALSE,,12,0,88,1969,BMIS_auto,688 CASTLE PEAK ROAD
N32SE,32,SE,8200,3319422119T20050430,1108222878,Trendy Centre,潮流工貿中心,114.1470007,22.33825197,19.8,p,123.9,3,104.1,,FALSE,FALSE,FALSE,,34,0,363,1998,BMIS_auto,682 CASTLE PEAK ROAD
N32SW,32,SW,8200,3316422025T20050430,1108223122,Hong Kong Industrial Centre Block A,香港工業中心Ａ座,114.146736,22.3373997,5.1,p,45.3,p,40.2,,FALSE,FALSE,FALSE,,12,1,144,1982,BMIS_auto,489-491 CASTLE PEAK ROAD
N32NW,32,NW,8200,3319422052T20050430,1108223015,Hong Kong Industrial Centre Block B,香港工業中心Ｂ座,114.1472246,22.33768955,19.3,p,45.3,p,26,,FALSE,FALSE,FALSE,,12,1,191,1982,BMIS_auto,489-491 CASTLE PEAK ROAD
N33NE,33,NE,8400,3302022071T20050430,1108223041,Hop Hing Industrial Building,合興工業大廈,114.1453029,22.33766721,5.2,p,44.7,p,39.5,,FALSE,FALSE,FALSE,,13,0,96,1980,BMIS_auto,704 CASTLE PEAK ROAD
N33SE,33,SE,8400,3304322004T20050430,1108223284,International Industrial Building,國際工業大廈,114.1455451,22.3371807,19.9,p,45.5,3,25.6,,FALSE,FALSE,FALSE,,12,,25,1976,BMIS,501 CASTLE PEAK ROAD
N33SW,33,SW,8400,3305522081T20050430,1108223054,Charm Centre,時運中心,114.1456905,22.33780246,21.1,p,75.8,p,54.7,,FALSE,FALSE,FALSE,,16,0,34,1992,BMIS,702-704 CASTLE PEAK ROAD
N33NW,33,NW,8400,3300922004T20050430,1108223340,Tong Yuen Factory Building,通源工業大廈,114.1452799,22.33707755,5,p,43.7,p,38.7,,FALSE,FALSE,FALSE,,12,0,25,1970,BMIS_auto,505 CASTLE PEAK ROAD
