#,distance,rawMean,rawStDev,noErrMean,noErrSD,excludedMean,excludedSD,xRank,yRank,d^2
0,200,26.3,26.3,49,1.4,49,1.4,1,5,16
1,400,34.3,7.3,34,8.9,34,8.9,2,3,1
2,600,22.8,15.5,30.3,3.8,30.3,3.8,3,2,1
3,800,33.5,30.3,43.7,27.6,43.7,27.6,4,4,0
4,1000,46.8,33,58.5,16.3,58.5,16.3,5,6,1
5,1200,8.8,8.9,22,,22,,6,1,25
