16th 200m 1st point_3681715671T20050430_Kin Tak Fung Commercial Building,3681715671T20050430,Kin Tak Fung Commercial Building,建德豐商業大廈,3.5,LiDAR,67.0,Photogrammetry,63.5,x
16th 200m 2nd point _3682615634T20050430_Kam Cheung Building,3682615634T20050430,Kam Cheung Building,錦祥樓,4.1,LiDAR,26.0,3D Project,21.9,x
16th 200m 4th point_3685815649T20050430_Thai Kong Building,3685815649T20050430,Thai Kong Building,泰港大廈,3.8,LiDAR,67.300003,3D Project,63.50000300000001,x
17th 200m 1st point_3705015716T20050430_East Point Centre (New Wing),3705015716T20050430,East Point Centre (New Wing),東角中心（新翼）,19.0,Building Plan,86.900002,Building Plan,67.900002,x
17th 200m 2nd point_3702715678T20050430_The Goldmark,3702715678T20050430,The Goldmark,黃金廣場,3.9,LiDAR,88.900002,Photogrammetry,85.000002,x
18th 200m 1st point _3721615666T20050430_V Causeway Bay,3721615666T20050430,V Causeway Bay,,4.0,LiDAR,63.0,Photogrammetry,59.0,x
18th 200m 2nd point _3719315637T20050430_McDonald's Building,3719315637T20050430,McDonald's Building,麥當勞大廈,4.2,LiDAR,82.5,3D Project,78.3,x
18th 200m 3rd point_3721215628T20050430_San Kei Tower,3721215628T20050430,San Kei Tower,新基商業中心,4.3,LiDAR,88.800003,3D Project,84.500003,x
18th 200m 4th point _3722115622T20050430_,3722115622T20050430,,,4.2,LiDAR,49.700001,3D Project,45.500001,x
19th 200m 1st point _3742915620T20050430_Catic Plaza,3742915620T20050430,Catic Plaza,航空大廈,18.700001,Photogrammetry,101.699997,Photogrammetry,82.999996,x
19th 200m 2nd point_3745015639T20050430_Causeway Tower,3745015639T20050430,Causeway Tower,高威樓,4.5,LiDAR,76.5,Photogrammetry,72.0,x
21st 200m 2nd point __,,,,0,No data,0,No data,0,x
22nd 200m 1st point_3784216061T20050430_Grand Seaview Heights,3784216061T20050430,Grand Seaview Heights,海景軒,17.700001,External Sources,100.099998,External Sources,82.399997,x
22nd 200m 2nd point _3784316037T20050430_Park View Mansion,3784316037T20050430,Park View Mansion,雅景樓,13.8,Photogrammetry,77.5,3D Project,63.7,x
22nd 200m 3rd point_3791616069P20060312_,3791616069P20060312,,,5.9,LiDAR,14.2,Photogrammetry,8.299999999999999,x
23rd 200m 1st point_3789516257T20050430_,3789516257T20050430,,,8.5,Photogrammetry,45.5,3D Project,37.0,x
23rd 200m 2nd point_3789516244T20050430_,3789516244T20050430,,,8.5,Photogrammetry,49.5,Photogrammetry,41.0,x
23rd 200m 3rd point_3789816228T20050430_Sun Ying Mansion,3789816228T20050430,Sun Ying Mansion,新英大廈,8.5,Photogrammetry,71.199997,3D Project,62.699996999999996,x
23rd 200m 4th point_3795916263T20050430_Belilios Public School,3795916263T20050430,Belilios Public School,庇理羅士女子中學,8.2,Estimation (e.g. by no. of storeys),50.0,3D Project,41.8,x
24th 200m 1st point _3788616461T20100624_101 King's Road,3788616461T20100624,101 King's Road,,19.5,Estimation (e.g. by no. of storeys),94.900002,Photogrammetry,75.400002,x
24th 200m 2nd point_3789416433P20060312_,3789416433P20060312,,,5.8,LiDAR,10.5,Photogrammetry,4.7,x
24th 200m 3rd point_3789816421T20140717_KP Tower,3789816421T20140717,KP Tower,錦平中心,6.5,Estimation (e.g. by no. of storeys),93.199997,Building Plan,86.699997,x
25th 200m 1st point _3798516640T20050430_Chung Nam Mansion,3798516640T20050430,Chung Nam Mansion,中南大廈,5.2,Photogrammetry,61.5,3D Project,56.3,x
25th 200m 2nd point_3797816633T20050430_King's Lodge,3797816633T20050430,King's Lodge,京都大廈,5.2,Photogrammetry,52.400002,Photogrammetry,47.200002,x
25th 200m 3rd point _3804616611T20050430_Fortress Metro Tower Block D,3804616611T20050430,Fortress Metro Tower Block D,康澤花園Ｄ座,6.7,Estimation (e.g. by no. of storeys),126.800003,3D Project,120.100003,x
26th 200m 1st point_3811216787T20050430_Southern Building,3811216787T20050430,Southern Building,南方大廈,5.8,Photogrammetry,66.400002,Photogrammetry,60.600002,x
