,frame,length,turning_smoothed,turning
0,0,,-0.1324078195643876,-0.1376998074784614
1,1,,-0.20479384425308425,-0.1905929436950719
2,2,,-0.27401133075924394,-0.2795491377384735
3,3,,-0.33975682630444043,-0.348771003583907
4,4,,-0.4017335973000412,-0.4005971314863908
5,5,,-0.4596531344644644,-0.4712180080779402
6,6,,-0.5132366579404364,-0.4890771997427334
7,7,,-0.5622166224122487,-0.5585993153435624
8,8,,-0.606338222223015,-0.6104108052442696
9,9,,-0.6453608964919286,-0.6459581063061106
10,10,,-0.6790598342315202,-0.6806775479424769
11,11,,-0.7072274794649129,-0.7158331766725524
12,12,,-0.7296750363430823,-0.7329889946667385
13,13,,-0.7462339742621114,-0.7504015170402929
14,14,,-0.7567575329804487,-0.7505917690029436
15,15,,-0.7611222277361658,-0.767996974864283
16,16,,-0.7597898962563809,-0.7506449253703538
17,17,,-0.7531838741661702,-0.7504237174458166
18,18,,-0.7383300130690137,-0.733000676447249
19,19,,-0.7163486309641007,-0.714959856646954
20,20,,-0.6880502234405897,-0.6803790782573687
21,21,,-0.6520347832535806,-0.6460199951536613
22,22,,-0.6122608921705898,-0.628074562651684
23,23,,-0.5652409969176352,-0.5581025443958528
24,24,,-0.5123712482687449,-0.5230676627712829
25,25,,-0.4544068391849021,-0.4881658555797571
26,26,,-0.39087536696625286,-0.4021866531180401
27,27,,-0.3252686620244326,-0.2982109131609637
28,28,,-0.25536872170563646,-0.2437839205650999
29,29,,-0.18183676361302548,-0.1746721990082397
30,30,,-0.10727103898471436,-0.1006205798571256
31,31,,-0.030673860459041358,-0.033967512678423
32,32,,0.04534731150744131,0.0374156854735509
33,33,,0.12034299800380438,0.1206236685801027
34,34,,0.19337810248763443,0.1925016348099795
35,35,,0.2635299560555585,0.2634950651948732
36,36,,0.3299029564824831,0.3295023371088491
37,37,,0.39230362437068994,0.3853439344000914
38,38,,0.45207285026479516,0.4534344079522797
39,39,,0.5052422156162216,0.505973223546972
40,40,,0.5535068738606354,0.5579065068081561
41,41,,0.599692964321187,0.628426873798325
42,42,,0.6404003268946868,0.627752346394172
43,43,,0.6724575791327053,0.6638943793722469
44,44,,0.6999405502362733,0.6980933060397416
45,45,,0.7212445928793676,0.7154807699108852
46,46,,0.7368799733904561,0.7328807918606419
47,47,,0.7456975322680193,0.7504124445689225
48,48,,0.7494891857000957,0.7504015170402929
49,49,,0.7467704595908344,0.7504015170402929
50,50,,0.7375895306757,0.7332715143518022
51,51,,0.7218838187775177,0.7150916992788239
52,52,,0.7000424465385986,0.6981540078703168
53,53,,0.6725575490772647,0.6798016277657559
54,54,,0.6375618069982928,0.6456122949599921
55,55,,0.5973600972414331,0.5934128302912817
56,56,,0.5524739814987288,0.5577588028287376
57,57,,0.5000931928054446,0.5082149907166608
58,58,,0.4444281754160769,0.4351465568089936
59,59,,0.38469690167263226,0.383899069778045
60,60,,0.32046119654929656,0.3149939004608569
61,61,,0.25278089342176757,0.2602640967670121
62,62,,0.18205568708452805,0.172190814522939
63,63,,0.10924793928906432,0.1075380796985887
64,64,,0.035264999443825676,0.0380251406611746
65,65,,-0.03961448637747833,-0.0356991126793239
66,66,,-0.11306810759472714,-0.1088575830447403
67,67,,-0.18474341014587303,-0.1751769945231617
68,68,,-0.25382046024011,-0.2412795431311813
69,69,,-0.3208576326476285,-0.3305803469922492
70,70,,-0.38520492231860176,-0.4006778728158388
71,71,,-0.4439425761214804,-0.4533106540161472
72,72,,-0.4997009010378812,-0.5061149787689693
73,73,,-0.5518029153226085,-0.5572955351175055
74,74,,-0.5994029388774407,-0.5931923071988642
75,75,,-0.6398966242820859,-0.6287024953821307
76,76,,-0.6730520292807505,-0.6632029927060933
77,77,,-0.7005919079318718,-0.6981721075334482
78,78,,-0.7192425155319777,-0.7155909318982588
79,79,,-0.7314965252758064,-0.7331307184910879
80,80,,-0.7392741249318435,-0.7504778667600365
81,81,,-0.7429627986717839,-0.7504778667600365
82,82,,-0.7388976842476946,-0.7502726522358069
83,83,,-0.7301411424306434,-0.7330622441972919
84,84,,-0.7168665787467583,-0.7156484814042586
85,85,,-0.6961327579635027,-0.698240888843165
86,86,,-0.6700778199850898,-0.646063016083317
87,87,,-0.638171926905967,-0.6111823769545042
88,88,,-0.5995853834195608,-0.5762527391171192
89,89,,-0.5553662309495744,-0.5757379828139233
90,90,,-0.5059777785948766,-0.5234638767060856
91,91,,-0.4515581800378416,-0.4705096347934857
92,92,,-0.3923124338822986,-0.4195303802079759
93,93,,-0.32896993854055473,-0.3326857199660251
94,94,,-0.26229920766595566,-0.2428188392714577
95,95,,-0.1931588114446198,-0.1777167509076472
96,96,,-0.12033002447616235,-0.138128228227362
97,97,,-0.046154215452498065,-0.0379564451883143
98,98,,0.02863841250679365,0.0333209958782471
99,99,,0.10326410978095532,0.1028961829731843
100,100,,0.17724528336755963,0.1929193140080478
101,101,,0.2496266898531862,0.2475626367040197
102,102,,0.3183542146680339,0.3099400799423271
103,103,,0.3812067829145415,0.3842579226637105
104,104,,0.43896885468912594,0.4368401523555814
105,105,,0.4935305929456927,0.4892361725325895
106,106,,0.5431411131426354,0.5410005577298854
107,107,,0.587446678465507,0.5933237239832364
108,108,,0.6274225270126647,0.6282972844608427
109,109,,0.6617883515917272,0.6632687713608248
110,110,,0.6883562582456225,0.6809137033283337
111,111,,0.7091703867772733,0.7159448374021262
112,112,,0.7254965774376383,0.7330800199868128
113,113,,0.7348911244506221,0.7328151017865066
114,114,,0.7381958435299861,0.7335287849197323
115,115,,0.7358239672385734,0.7329871892052174
116,116,,0.7257572854458154,0.7157829489005676
117,117,,0.7096303024561669,0.715566540324548
118,118,,0.6876705844601206,0.6802418690547775
119,119,,0.6581277878979244,0.6630881557750409
120,120,,0.6234680344707717,0.6280051473399849
121,121,,0.5844022715431104,0.5932768162455788
122,122,,0.5401840829376557,0.543256372092952
123,123,,0.4895070769808889,0.4850868187527231
124,124,,0.4343511268749066,0.4366271598135413
125,125,,0.3753405353860755,0.368348921408963
126,126,,0.3132209880933059,0.316052610363663
127,127,,0.2466572335031623,0.2399661737786461
128,128,,0.17716384474548705,0.1743480499110028
129,129,,0.10511382971230378,0.1036732077437632
130,130,,0.03214653341454647,0.036825449728832
131,131,,-0.04073324718048167,-0.0320745577773008
132,132,,-0.11252550041801124,-0.1055663560632693
133,133,,-0.18431589784092897,-0.1746721990082397
134,134,,-0.2536402745315621,-0.2622183343213938
135,135,,-0.3202333846017829,-0.3324740039292554
136,136,,-0.3835299642739214,-0.3845251096639674
137,137,,-0.44283259049782475,-0.4371637364030755
138,138,,-0.49784281794919494,-0.5054687037399314
139,139,,-0.5478018768495729,-0.5585993153435624
140,140,,-0.5931697883983765,-0.5934207692880304
141,141,,-0.6325456951139993,-0.6277188792407404
142,142,,-0.6647710200003517,-0.6632725434084432
143,143,,-0.6913034480543784,-0.6814195432859921
144,144,,-0.7119335465618866,-0.7152076224907686
145,145,,-0.72659160146522,-0.7332067978103445
146,146,,-0.7363266116180913,-0.7333963618930974
147,147,,-0.7403670368263374,-0.7331202589329697
148,148,,-0.7367988016342188,-0.7329871892052174
149,149,,-0.7295626210169501,-0.7336210657465905
150,150,,-0.7153356803440359,-0.714825902498808
151,151,,-0.6940536240015772,-0.6983422059654121
152,152,,-0.6667359924974905,-0.6625729993757344
153,153,,-0.6339282410710576,-0.6285299984756947
154,154,,-0.5951983643700574,-0.5934447266917621
155,155,,-0.5494864958699693,-0.5575266832081951
156,156,,-0.49882931412339304,-0.5227222330128138
157,157,,-0.4434196294887446,-0.4370757914568387
