BUILDINGID,BASELEVEL,ROOFLEVEL,gfa,height,x,y
"1108225180",61.000000000000000,71.900001525878906,1939.447,10.900,840378.767,821605.546
"1108247512",25.000000000000000,137.899993896484375,33356.409,112.900,837389.006,821561.698
"1108221709",32.799999237060547,46.000000000000000,1337.485,13.200,839211.208,822445.769
"1108221866",190.300003051757812,199.199996948242188,166.520,8.900,840210.056,822402.482
"1108221698",34.500000000000000,42.799999237060547,326.461,8.300,839180.867,822453.269
"1108221808",27.299999237060547,42.299999237060547,2016.646,15.000,839195.014,822417.748
"1108222196",8.800000190734863,13.399999618530273,197.168,4.600,838269.822,822285.180
"1108222045",28.200000762939453,55.200000762939453,6095.298,27.000,839505.606,822338.247
"1108221903",23.600000381469727,40.700000762939453,144.410,17.100,839663.957,822392.588
"1108223705",20.000000000000000,24.399999618530273,80.762,4.400,837684.620,821917.330
"1108222552",16.600000381469727,84.800003051757812,20904.163,68.200,838597.541,822190.700
"1108220959",29.000000000000000,58.599998474121094,693.359,29.600,837836.692,822770.076
"1108221949",28.200000762939453,38.299999237060547,3245.362,10.100,839252.388,822363.618
"1108220823",44.900001525878906,50.000000000000000,104.188,5.100,838007.885,822829.315
"1108223260",27.299999237060547,102.199996948242188,12204.306,74.900,838114.094,822026.264
"1108222983",18.700000762939453,23.600000381469727,124.962,4.900,837640.558,822102.611
"1108223010",19.500000000000000,110.300003051757812,16567.543,90.800,838427.708,822089.681
"1108223569",25.600000381469727,67.699996948242188,25774.913,42.100,838130.295,821918.400
"1108221535",32.700000762939453,44.700000762939453,987.412,12.000,839053.609,822509.269
"1108220301",84.699996948242188,91.599998474121094,728.194,6.900,838258.967,823207.173
"1108221125",23.000000000000000,45.299999237060547,489.450,22.300,837856.586,822700.048
"1108222553",16.399999618530273,21.100000381469727,111.825,4.700,837850.882,822202.871
"1108222458",10.899999618530273,85.099998474121094,20031.540,74.200,838079.345,822203.610
"1108222465",16.399999618530273,92.400001525878906,25554.607,76.000,837806.312,822212.610
"1108222650",16.399999618530273,89.300003051757812,25356.130,72.900,837876.066,822165.047
"1108222588",11.000000000000000,34.599998474121094,6283.206,23.600,837993.940,822181.233
"1108222633",8.699999809265138,83.300003051757812,20097.372,74.600,838127.999,822169.576
"1108222582",10.899999618530273,14.899999618530273,148.814,4.000,838041.103,822195.614
"1108222737",7.900000095367432,83.199996948242188,20391.927,75.300,838175.286,822138.122
"1108222741",8.800000190734863,83.599998474121094,19454.113,74.800,838028.141,822137.683
"1108222885",19.799999237060547,118.900001525878906,16836.803,99.100,838082.060,822119.464
"1108222872",8.300000190734863,13.699999809265137,97.379,5.400,838135.778,822129.444
"1108223076",19.700000762939453,124.000000000000000,17369.551,104.300,838147.533,822074.786
"1108223161",19.700000762939453,123.800003051757812,17392.738,104.100,838130.827,822050.515
"1108223088",19.799999237060547,102.800003051757812,13702.717,83.000,838049.361,822072.054
"1108223187",16.700000762939453,24.100000381469727,3017.227,7.400,837616.292,822022.830
"1108223242",8.399999618530273,26.899999618530273,7090.902,18.500,838028.626,822022.824
"1108223269",16.700000762939453,136.199996948242188,45643.530,119.500,837575.508,822014.173
"1108223358",7.400000095367432,29.000000000000000,6833.748,21.600,838082.180,821992.294
"1108223560",6.900000095367432,30.200000762939453,5286.960,23.300,838268.233,821936.916
"1108223604",8.100000381469728,88.900001525878906,31546.263,80.800,837850.007,821922.325
"1108223612",9.000000000000000,78.000000000000000,18347.062,69.000,837913.894,821923.908
"1108223680",8.199999809265138,82.400001525878906,19800.025,74.200,837982.460,821908.174
"1108223727",8.199999809265138,76.699996948242188,17294.584,68.500,838019.064,821896.694
"1108223939",10.600000381469727,47.799999237060547,9541.590,37.200,837826.125,821860.090
"1108223873",7.599999904632568,89.300003051757812,32600.113,81.700,837909.667,821859.542
"1108223965",8.199999809265138,76.900001525878906,17865.106,68.700,837983.817,821842.810
"1108223903",22.200000762939453,50.599998474121094,17682.423,28.400,837494.304,821852.567
"1108224210",10.600000381469727,47.099998474121094,9741.604,36.500,837823.988,821806.112
"1108224171",8.399999618530273,17.100000381469727,4410.720,8.700,837903.334,821802.599
