sample_id,x,y,routeid,distance,accessibility
0,841139.037,818630.274,0,0,0.08282691541048076
1,841135.796,818634.081,0,5,0.08328371751018447
2,841132.687,818637.997,0,10,0.08373955649581351
3,841129.593,818641.924,0,15,0.08419442635946178
4,841126.499,818645.852,0,20,0.08464832138407985
5,841123.423,818649.794,0,25,0.08510123595510201
6,841120.355,818653.742,0,30,0.08555573663453861
7,841117.307,818657.706,0,35,0.08601103085709243
8,841114.268,818661.676,0,40,0.08646532757154997
9,841111.219,818665.639,0,45,0.08691862104160351
10,841108.094,818669.542,0,50,0.08737090541184567
11,841104.969,818673.445,0,55,0.08782217521901038
12,841101.844,818677.348,0,60,0.08827242480206196
13,841098.719,818681.251,0,65,0.08872164850371315
14,841095.598,818685.158,0,70,0.08916984068104965
15,841092.487,818689.072,0,75,0.08961699571528456
16,841089.376,818692.987,0,80,0.09006310793808038
17,841231.463,819088.08,1,0,0.1251213220521983
18,841227.618,819084.884,1,5,0.09774260686948491
19,841223.772,819081.688,1,10,0.09814418184622012
20,841219.927,819078.492,1,15,0.09854459393249025
21,841216.082,819075.297,1,20,0.09894383804827263
22,841212.236,819072.101,1,25,0.09934190913057356
23,841208.391,819068.905,1,30,0.09973880211844464
24,841204.546,819065.709,1,35,0.10013711879467124
25,841200.7,819062.513,1,40,0.1005359979984897
26,841196.855,819059.318,1,45,0.1009336839319913
27,841193.009,819056.122,1,50,0.10133017153529526
28,841189.164,819052.926,1,55,0.10164537155485105
29,841185.319,819049.73,1,60,0.10204033890067572
30,841181.473,819046.534,1,65,0.10243409395794688
31,841177.628,819043.339,1,70,0.10282663169962637
32,841173.783,819040.143,1,75,0.1032179471130519
33,841169.937,819036.947,1,80,0.10360803519252164
34,841166.092,819033.751,1,85,0.10399689094845752
35,841162.246,819030.555,1,90,0.104384509403441
36,841158.401,819027.36,1,95,0.10477088558637856
37,841157.089,819026.269,2,0,0.10490242378485287
38,841153.209,819023.115,2,5,0.09485369971040264
39,841149.329,819019.962,2,10,0.09526562426239164
40,841145.449,819016.808,2,15,0.09567642533593576
41,841141.57,819013.654,2,20,0.09608609773880174
42,841137.69,819010.5,2,25,0.0964946362917104
43,841133.81,819007.346,2,30,0.09652146498618962
44,841129.93,819004.192,2,35,0.09689405688648198
45,841126.05,819001.039,2,40,0.09730262855316194
46,841122.17,818997.885,2,45,0.09771005157646391
47,841118.29,818994.731,2,50,0.09811632077387794
48,841114.41,818991.577,2,55,0.09852143097290188
49,841110.531,818988.423,2,60,0.0989283610868572
50,841106.651,818985.27,2,65,0.0993354953574438
51,841102.771,818982.116,2,70,0.09974145511082586
52,841098.891,818978.962,2,75,0.10014623517780871
53,841095.011,818975.808,2,80,0.10054983039214989
54,841091.131,818972.654,2,85,0.10095223561218906
55,841087.251,818969.501,2,90,0.10135344568732661
56,841083.371,818966.347,2,95,0.10115554434959582
57,841079.492,818963.193,2,100,0.10155930138927834
58,841075.612,818960.039,2,105,0.10196185636196091
59,841071.732,818956.885,2,110,0.10236320409578867
60,841067.852,818953.731,2,115,0.10276333944181655
61,841063.972,818950.578,2,120,0.10316225726060092
62,841060.092,818947.424,2,125,0.10355995241739196
63,841056.212,818944.27,2,130,0.10395641979801186
64,841052.332,818941.116,2,135,0.104351654295736
65,841089.925,818702.056,3,0,0.09699194487369339
66,841093.135,818698.223,3,5,0.09740645917923248
67,841096.345,818694.389,3,10,0.09782061110021041
68,841099.555,818690.555,3,15,0.09823397256219299
69,841102.765,818686.722,3,20,0.0986461725998132
70,841105.975,818682.888,3,25,0.09905720596749434
71,841109.185,818679.055,3,30,0.09946706743035662
72,841112.379,818675.208,3,35,0.09987575179927484
73,841115.574,818671.362,3,40,0.10028325382808771
74,841118.977,818667.699,3,45,0.10068956776365073
75,841122.38,818664.036,3,50,0.10109468895995609
76,841125.673,818660.276,3,55,0.1014986125237395
77,840752.49,819508.34,4,0,0.08502150522230546
78,840747.628,819509.506,4,5,0.08540417668680247
79,840742.766,819510.673,4,10,0.08578843437253054
80,840737.904,819511.84,4,15,0.08617193464240121
