ROOFLEVEL,SAMPLE_1,y
,463.000000000000000,814873.051
,463.000000000000000,814873.698
,463.000000000000000,814874.346
,463.000000000000000,814874.994
,463.000000000000000,814875.641
,467.000000000000000,814876.289
,467.000000000000000,814876.937
,471.000000000000000,814877.584
,471.000000000000000,814878.232
,471.000000000000000,814878.879
,471.000000000000000,814879.527
,471.000000000000000,814880.175
,473.000000000000000,814880.822
,473.000000000000000,814881.470
,473.000000000000000,814882.118
,477.000000000000000,814882.765
,477.000000000000000,814883.413
,477.000000000000000,814884.060
,477.000000000000000,814884.708
,481.000000000000000,814885.356
,481.000000000000000,814886.003
,481.000000000000000,814886.651
,481.000000000000000,814887.298
,485.000000000000000,814887.946
,485.000000000000000,814888.594
,492.000000000000000,814889.241
,492.000000000000000,814889.889
,492.000000000000000,814890.537
,492.000000000000000,814891.184
,492.000000000000000,814891.832
,492.000000000000000,814892.479
,495.000000000000000,814893.127
,500.000000000000000,814893.775
,500.000000000000000,814894.422
,500.000000000000000,814895.070
,500.000000000000000,814895.717
,500.000000000000000,814896.365
,500.000000000000000,814897.013
,507.000000000000000,814897.660
,507.000000000000000,814898.308
,507.000000000000000,814898.956
,507.000000000000000,814899.603
,507.000000000000000,814900.251
,507.000000000000000,814900.898
,507.000000000000000,814901.546
,511.000000000000000,814902.194
,514.000000000000000,814902.841
,514.000000000000000,814903.489
,514.000000000000000,814904.137
,514.000000000000000,814904.784
,514.000000000000000,814905.432
,518.000000000000000,814906.079
,518.000000000000000,814906.727
,518.000000000000000,814907.375
,521.000000000000000,814908.022
,521.000000000000000,814908.670
,521.000000000000000,814909.317
,521.000000000000000,814909.965
,524.000000000000000,814910.613
,524.000000000000000,814911.260
,524.000000000000000,814911.908
,527.000000000000000,814912.556
,527.000000000000000,814913.203
,527.000000000000000,814913.851
,527.000000000000000,814914.498
,528.000000000000000,814915.146
,528.000000000000000,814915.794
,528.000000000000000,814916.441
,528.000000000000000,814917.089
,531.000000000000000,814917.736
,531.000000000000000,814918.384
,530.000000000000000,814919.032
,530.000000000000000,814919.679
,530.000000000000000,814920.327
,530.000000000000000,814920.975
,530.000000000000000,814921.622
,530.000000000000000,814922.270
,533.000000000000000,814922.917
,532.000000000000000,814923.565
,532.000000000000000,814924.213
,532.000000000000000,814924.860
,532.000000000000000,814925.508
,532.000000000000000,814926.155
,532.000000000000000,814926.803
,530.000000000000000,814927.451
,533.000000000000000,814928.098
,533.000000000000000,814928.746
,533.000000000000000,814929.394
,533.000000000000000,814930.041
,533.000000000000000,814930.689
,533.000000000000000,814931.336
,531.000000000000000,814931.984
,534.000000000000000,814932.632
,534.000000000000000,814933.279
,534.000000000000000,814933.927
,534.000000000000000,814934.575
,534.000000000000000,814935.222
,533.000000000000000,814935.870
,533.000000000000000,814936.517
,533.000000000000000,814937.165
,535.000000000000000,814937.813
,535.000000000000000,814938.460
,535.000000000000000,814939.108
,535.000000000000000,814939.755
,533.000000000000000,814940.403
,533.000000000000000,814941.051
,533.000000000000000,814941.698
,533.000000000000000,814942.346
,533.000000000000000,814942.994
,533.000000000000000,814943.641
,532.000000000000000,814944.289
,532.000000000000000,814944.936
,532.000000000000000,814945.584
,532.000000000000000,814946.232
,532.000000000000000,814946.879
,531.000000000000000,814947.527
,531.000000000000000,814948.174
,530.000000000000000,814948.822
,530.000000000000000,814949.470
,530.000000000000000,814950.117
,530.000000000000000,814950.765
,530.000000000000000,814951.413
,530.000000000000000,814952.060
,527.000000000000000,814952.708
,525.000000000000000,814953.355
,525.000000000000000,814954.003
,525.000000000000000,814954.651
,525.000000000000000,814955.298
,525.000000000000000,814955.946
,525.000000000000000,814956.594
,523.000000000000000,814957.241
,521.000000000000000,814957.889
,521.000000000000000,814958.536
,521.000000000000000,814959.184
,521.000000000000000,814959.832
,521.000000000000000,814960.479
,521.000000000000000,814961.127
,520.000000000000000,814961.774
,520.000000000000000,814962.422
,518.000000000000000,814963.070
,518.000000000000000,814963.717
,518.000000000000000,814964.365
,518.000000000000000,814965.013
,517.000000000000000,814965.660
,517.000000000000000,814966.308
,517.000000000000000,814966.955
,514.000000000000000,814967.603
,514.000000000000000,814968.251
,514.000000000000000,814968.898
,514.000000000000000,814969.546
,513.000000000000000,814970.193
,513.000000000000000,814970.841
,513.000000000000000,814971.489
,513.000000000000000,814972.136
,510.000000000000000,814972.784
,510.000000000000000,814973.432
,509.000000000000000,814974.079
,509.000000000000000,814974.727
,509.000000000000000,814975.374
,509.000000000000000,814976.022
,509.000000000000000,814976.670
,509.000000000000000,814977.317
,506.000000000000000,814977.965
,505.000000000000000,814978.613
,505.000000000000000,814979.260
,505.000000000000000,814979.908
,505.000000000000000,814980.555
,505.000000000000000,814981.203
,505.000000000000000,814981.851
,504.000000000000000,814982.498
,501.000000000000000,814983.146
,501.000000000000000,814983.793
,501.000000000000000,814984.441
,501.000000000000000,814985.089
,501.000000000000000,814985.736
,501.000000000000000,814986.384
,500.000000000000000,814987.032
,497.000000000000000,814987.679
,497.000000000000000,814988.327
,497.000000000000000,814988.974
,497.000000000000000,814989.622
,497.000000000000000,814990.270
,497.000000000000000,814990.917
,497.000000000000000,814991.565
,497.000000000000000,814992.212
,496.000000000000000,814992.860
,496.000000000000000,814993.508
,496.000000000000000,814994.155
,496.000000000000000,814994.803
,496.000000000000000,814995.451
,496.000000000000000,814996.098
,496.000000000000000,814996.746
,496.000000000000000,814997.393
,497.000000000000000,814998.041
,497.000000000000000,814998.689
,497.000000000000000,814999.336
,496.000000000000000,814999.984
,496.000000000000000,815000.632
,496.000000000000000,815001.279
,496.000000000000000,815001.927
