Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Pre-fieldwork Notes,NOBUILDING,ISERROR,NONAME,ISOUTLIER,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address
E7SW,7,SW,1600,,,Flyover,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E7NW,7,NW,1600,3529215500T20050430,1103128050,Arsenal House (West Wing),警政大樓西翼,114.167421,22.2783826,4,l,129.9,t,125.9,government building (Police HQ),FALSE,TRUE,FALSE,#VALUE!,35,,,1996,https://www.skyscrapercenter.com/building/arsenal-house-west-wing/21314,1 ARSENAL STREET
E8NE,8,NE,1800,3545215413T20050430,1103128761,OZO Wesley,遨舍衛蘭軒,114.1689259,22.27747922,19.5,p,75.7,p,56.2,,FALSE,FALSE,FALSE,FALSE,21,,251,2013,https://www.meetings-conventions.com/Meeting-Event-Venues/Hong-Kong-Hong-Kong/Convention-Hotel/OZO-Wesley-Hong-Kong-p6701817,22 HENNESSY ROAD
E8SE,8,SE,1800,3542315414T20050430,1103128744,Effectual Building,宜發大廈,114.1686577,22.27757928,8.8,p,114.2,p,105.4,,FALSE,FALSE,FALSE,FALSE,25,0,254,1996,BMIS_auto,16 HENNESSY ROAD
E8SW,8,SW,1800,3544515469T20190110,1810183790,One Hennessy,,114.1688911,22.27808157,18.9,b,152.8,b,133.9,,FALSE,FALSE,FALSE,FALSE,22,1,0,1972,BMIS_auto,1 HENNESSY ROAD
E8NW,8,NW,1800,3549215457T20050430,1103128356,Lockhart Exchange Building,,114.169337,22.27803261,19.1,p,81.9,p,62.8,,FALSE,FALSE,FALSE,FALSE,19,,,,Google Earth,3 HENNESSY ROAD
E9NE,9,NE,2000,3568815384T20050430,1103128895,Sun Hey Mansion,新禧大樓,114.1711951,22.27735975,3.5,l,54.4,p,50.9,,FALSE,FALSE,FALSE,FALSE,17,0,102,1965,BMIS_auto,68 HENNESSY ROAD
E9SE,9,SE,2000,3564415394T20050430,1103128896,Shanghai Industrial Investment Building,上海實業大廈,114.1708586,22.2773646,18.7,p,88.1,p,69.4,,FALSE,FALSE,FALSE,FALSE,28,0,56,1977,BMIS_auto,60 HENNESSY ROAD
E9SW,9,SW,2000,3565715434T20050430,1103128580,Sze Bo Building,四寶大廈,114.1709477,22.27780483,3.3,l,52.3,p,49,,FALSE,FALSE,FALSE,FALSE,16,0,64,1966,BMIS,59 HENNESSY ROAD
E9NW,9,NW,2000,3568715435T20050430,1103128583,Hay Wah Building Block A,熙華大廈Ａ座,114.1712295,22.27778877,16.8,p,76.9,3,60.1,,FALSE,FALSE,FALSE,FALSE,22,0,280,1979,BMIS_auto,71-85 HENNESSY ROAD
E10NE,10,NE,2200,3588715374T20050430,1103128909,Southorn Garden,修頓花園,114.1731,22.27723659,17.1,p,128.2,p,111.1,,FALSE,FALSE,FALSE,FALSE,40,0,480,1988,BMIS_auto,2 O'BRIEN ROAD
E10SE,10,SE,2200,3583415391T20050430,1103128900,Southorn Centre,修頓中心,114.1728015,22.27716394,3.8,l,118.9,p,115.1,,FALSE,FALSE,FALSE,FALSE,32,2,32,1988,BMIS_auto,130 HENNESSY ROAD
