0,Edward Wong Tower,114.14641038961305,22.337048458781673,4.7,66.400002,61.700002,ok
0,CRE Centre,114.14710482606043,22.33655714684813,4.6,44.700001,40.100001,ok
0,Wah Shing Industrial Building,114.14683686855656,22.336459373312483,4.4,48.400002,44.000002,ok
0,Premier Centre,114.14656171128456,22.33635988820733,4.4,45.799999,41.399999,ok
0,Hong Kong Industrial Centre Block A,114.14673602433471,22.337399698376156,5.1,45.299999,40.199999,ok
1,Manley Tower,114.14815922816793,22.33759969640428,5.1,45.5,40.4,ok
1,Cheung Sha Wan Plaza ( Tower 1 ),114.14871486133313,22.337106152919365,4.3,45.599998,41.299998,ok
1,Cheung Sha Wan Plaza ( Tower 2 ),114.14871486050274,22.337106152420898,4.3,45.599998,41.299998,ok
1,Hong Kong Spinners Industrial Building Phase I And II,114.14869662863421,22.338065080412594,5.1,45.5,40.4,ok
2,Clifford Centre,114.15019744653952,22.33840156190536,5.1,45.400002,40.300002,ok
2,Tin On Industrial Building,114.15047951754102,22.337714252929675,5.0,45.799999,40.799999,ok
2,Gee Hing Chang Industrial Building,114.15015332534513,22.337614687055,5.0,45.700001,40.700001,ok
2,Hong Kong Spinners Industrial Building Phase V,114.1505653174094,22.338526949436577,5.1,45.400002,40.300002,ok
2,Laws Commercial Plaza,114.14981676147569,22.338272822848506,5.0,33.0,28.0,ok
3,Cst,114.15239697106067,22.338853886623767,5.8,100.099998,94.299998,ok
3,Charming Garden,114.15259074517502,22.338543778437852,5.5,102.0,96.5,ok
3,Hung Cheong Factory Building,114.15145691356739,22.33881519165655,5.4,44.099998,38.699998,ok
4,Cheung Sha Wan Sports Centre,114.15346952510899,22.33799280642329,5.6,13.9,8.3,ok
4,Un Hong House,114.15428078205795,22.33733170408118,4.6,45.400002,40.800002,ok
4,Trade Square,114.15369021014186,22.336829444920884,4.8,45.099998,40.299998,ok
5,Cheung Sha Wan Fire Station,114.15512191779847,22.33595700217545,4.9,36.900002,32.000002,ok
5,Un Lok House,114.15566496354396,22.336629571263998,5.7,118.5,112.8,ok
6,Un Yat House,114.15687093329582,22.335462553785916,5.0,84.0,79.0,ok
6,Cheung Sha Wan Estate Ancillary Facilities Block,114.15656520631254,22.33479020346938,4.7,25.9,21.2,ok
6,UN CHAU ESTATE Ancillary Facilities Block,114.15726682585816,22.335260040608865,5.1,16.9,11.799999999999999,ok
7,S.K.H. St. Thomas' Primary School,114.15856057497366,22.33453358712232,5.3,31.5,26.2,ok
7,Kowloon Technical School,114.15880947508556,22.334072608467224,5.1,28.9,23.799999999999997,ok
7,Yee Lok House,114.15798658316778,22.333444408144832,5.0,40.900002,35.900002,ok
7,Lai Kok Shopping Centre Substation,114.15753338894137,22.334136954480545,4.9,9.9,5.0,ok
7,Lai Ho House,114.15708985774543,22.33325761163582,4.8,40.900002,36.100002,ok
8,CLP Power Hong Kong Ltd Sham Shui Po Centre,114.15988279456916,22.33305611071462,4.9,44.900002,40.000002,ok
8,Yee Ching Court Block C,114.15975104812405,22.332171966918906,5.1,47.5,42.4,ok
8,Ning Ching House,114.15933129250236,22.332496709444634,5.3,47.400002,42.100002,ok
8,South Ocean Building,114.16039530756318,22.332502864967115,4.9,44.200001,39.300001,ok
9,Mill Reef House,114.16127824957917,22.331834042309787,4.9,24.4,19.5,ok
9,Chow Har Building,114.16136878358502,22.331763008190162,4.8,45.200001,40.400001,ok
9,Asian Building,114.16138738644753,22.331748626790922,4.8,45.200001,40.400001,ok
9,Wing On Building,114.16147669901825,22.33166958663053,4.7,45.099998,40.399998,ok
9,Hung Yick Building,114.16118937277996,22.331319273764183,4.7,44.700001,40.000001,ok
9,Sui Cheong House,114.16106972533572,22.331398632405048,4.6,44.900002,40.300002,ok
9,Yau Hing Building,114.16160798878505,22.331561024786513,4.8,43.900002,39.100002,ok
9,Lan Fong Building,114.16130105891948,22.331220938590008,4.5,44.900002,40.400002,ok
9,Prosperity Court,114.16089449407626,22.331325334166202,4.7,50.799999,46.099999,ok
9,Kam Fai Building,114.16100589115152,22.332040976376614,4.9,35.099998,30.199998,ok
10,Sin Hua Bank Building,114.16272107746725,22.330717851274443,4.7,45.5,40.8,ok
10,Fu On Commercial Building,114.16301400117538,22.330491379981623,4.8,44.599998,39.799998,ok
10,Cheong Lok Building,114.16277548316093,22.330083966422357,4.7,45.400002,40.700002,ok
10,Cheung Lee Building,114.16219213345329,22.330532418229527,4.7,27.0,22.3,ok
10,Happy Centre,114.16318668272638,22.330344791405565,4.9,45.5,40.6,ok
10,New Pei Ho Building,114.16261095331882,22.32994840059742,4.4,41.0,36.6,ok
10,Shui Sing Building,114.16253424972295,22.330862077504605,4.8,45.799999,40.999999,ok
11,Iskra Building,114.1642989266886,22.329494309320975,4.8,24.1,19.3,ok
11,Cheung Sha Mansion,114.16453686072997,22.329305942550562,4.9,44.900002,40.000002,ok
11,Lin Cheong Building,114.16418152652413,22.32899368985226,4.8,24.5,19.7,ok
11,Cheung Lee Building,114.16399307245113,22.32913591887719,4.8,44.5,39.7,ok
11,Dah Sing Building,114.16416218591776,22.32959559864051,4.8,26.700001,21.900001,ok
11,Joy Wise Mansion,114.16425391954806,22.32893386368967,5.0,50.799999,45.799999,ok
12,Charming Building,114.16572903948517,22.328376922032867,5.3,45.400002,40.100002,ok
12,Celebrity Court,114.16584710766193,22.328285257882737,5.1,42.599998,37.499998,ok
12,Cheung Ming Building,114.16563941444004,22.32845916627697,5.2,45.700001,40.500001,ok
12,Kwong Hing Building,114.16627254282062,22.327955745096986,5.2,51.299999,46.099999,ok
