buildingid,gfa,height,x,y,buildingnameid,lastupdated,buildingname
1108220939,12832.414,60.2,837275.542,822768.828,1109616201,01/07/2014,Wang Mei House
1108221045,25281.82,100.5,837364.895,822712.694,1109616402,01/07/2014,Chun On House
1108221032,24569.698,100.8,837198.851,822718.143,1109616040,01/07/2014,Chun Wai House
1108221102,25234.63,102.3,837254.06,822691.331,1109616157,01/07/2014,Chun Fei House
1108221131,26059.212,102.6,837155.614,822678.243,1109615971,01/07/2014,Chun Sing House
1108221139,25658.745,101,837409.794,822675.35,1109616483,01/07/2014,Chun Hong House
1108221114,79.263,5.3,837295.19,822702.172,,,
1108221704,971.175,6.5,839253.474,822444.975,1109617889,01/07/2014,Chi Lin Nunnery Domintary
1108221427,15403.969,31,837484.069,822537.281,1109616646,01/07/2014,Church of Christ in China Rotory Secondary School
1108221438,82.761,5.6,837435.862,822561.169,1109616532,01/07/2014,Wang Tau Hom North Substation
1108221542,11675.021,18.2,837121.776,822499.109,1109615921,01/07/2014,Lok Sin Tong Yu Kan Hing Secondary School
1108221490,6661.436,17.7,837417.277,822525.173,,,
1108221804,2771.841,12.7,839229.999,822412.41,1109617872,01/07/2014,Chi Lin Nunnery Domintary
1108221606,1520.122,18.8,837155.271,822479.458,1109615970,01/07/2014,Lok Sin Tong Yu Kan Hing School
1108221572,22146.923,102,837071.593,822489.493,1109615885,01/07/2014,Ka Ying House
1108221699,14216.32,68,837032.864,822443.717,1109615853,01/07/2014,Ka Wui House
1108221926,13612.244,65.2,837040.099,822373.648,1109615860,01/07/2014,Fu Hong House
1108221928,15349.51,73.1,837123.488,822372.89,1109615918,01/07/2014,Fu Wo House
1108220437,2373.914,12.8,839290.743,823082.505,,,
1108220427,7838.604,23.6,839139.337,823070.501,1109617837,01/07/2014,The Church of Christ in China Hong Kong Heep Woh College
1108220410,36321.917,98.5,838718.473,823083.139,1109617721,01/07/2014,Lok Moon House
1108220432,1513.937,11.4,839108.306,823091.752,,,
1108220429,6451.055,15.6,839226.057,823091.596,1109617873,01/07/2014,The Salvation Army William Booth Secondary School-Christian Centre
1108220407,2275.598,23.8,838830.554,823098.916,1109617755,01/07/2014,Yuk Wah Mansion
1108220458,3255.994,23.7,839106.646,823071.913,,,
1108220403,36324.514,98.6,838645.636,823088.256,1109617694,01/07/2014,Lok Hop House
1108220512,14089.682,62.8,838717.429,823025.471,1109617717,01/07/2014,Lok Foon House
1108222044,15319.513,73,837149.279,822331.615,1109615956,01/07/2014,Fu Yat House
1108221997,17351.123,61,837494.771,822358.084,1109616652,01/07/2014,Wang Yip House
1108222004,13667.976,65.7,836998.963,822350.795,1109615835,01/07/2014,Fu Ling House
1108222151,17349.588,61.8,837492.761,822300.711,1109616651,01/07/2014,Wang Kei House
1108222177,15330.479,72.7,837115.243,822289.266,1109615910,01/07/2014,Fu Keung Court Block F
1108222311,20610.937,98.7,837216.464,822254.33,1109616080,01/07/2014,Tak Yin House
1108222309,21878.966,58.5,837399.86,822262.923,1109616445,01/07/2014,Wang Yuk House
1108221657,325.893,5.3,839605.77,822465.202,1810009684,01/07/2014,King Shan Court Pump House Substation
1108220492,115.218,4.9,838616.102,823051.323,,,
1108220479,10617.965,20.1,839246.329,823036.573,1109617875,01/07/2014,Po Leung Kuk C F A No.1 College
1108220499,18418.063,27.5,839308.523,823014.802,1109617909,01/07/2014,Hammer Hill Substation
1108220578,14587.97,28.2,839089.13,822964.727,1109617831,01/07/2014,Tsz Wan Shan Catholic Primary School
1108222403,2024.718,7.9,837141.475,822226.932,1109615946,01/07/2014,Wang Tau Hom Jockey Club Clinic
1108222483,21270.846,99.1,837215.063,822209.106,1109616076,01/07/2014,Tak Wa House
1108224440,213.293,3.6,837810.97,821766.118,1109617143,01/07/2014,Tung Tau(II) Estate Property Services Management Office
1108220574,4544.257,16.7,839199.8,822975.173,1109617861,01/07/2014,
1108220716,17790.862,27.7,839052.512,822844.342,1109617823,01/07/2014,Po Leung Kuk Celine Ho Yam Tong College
1108220674,52106.142,97.5,838774.771,822865.619,1109617737,01/07/2014,Pik Fung House
1108221004,52421.961,97.7,838885.169,822719.153,1109617776,01/07/2014,Toi Fung House
1108220741,39435.112,97.6,838645.606,822829.729,1109617697,01/07/2014,Suet Fung House
1108220708,14590.583,28,839187.449,822851.577,1109617855,01/07/2014,Po Leung Kuk Grandmont Primary School
1108220809,11331.403,23.3,839120.084,822811.831,1109617835,01/07/2014,St. Patrick's Catholic Primary School (Po Kong Village Road)
1108220940,52525.345,97.6,838810.132,822752.639,1109617746,01/07/2014,Tsz Fung House
1108220988,72.701,5.8,839532.908,822757.548,,,
1108221005,23560.987,62.5,838714.928,822719.559,1109617724,01/07/2014,Ngan Fung House
1108221158,203.398,5.8,839559.004,822676.157,,,
1108221009,554.77,6.7,839535.046,822735.615,1109617998,01/07/2014,Hong Kong Sea Cadet Corps
1108221166,650.159,4.8,839534.142,822663.598,,,
1108221092,23672.68,62.5,838648.893,822698.366,1109617696,01/07/2014,Ban Fung House
1108221192,32105.288,61.5,839590.45,822624.207,1109618017,01/07/2014,Fu Shun House
1108221179,29672.351,55.3,839505.157,822629.514,1109617985,01/07/2014,Fu Yan House
1108221331,27240.383,110,838724.937,822589.797,1109617725,01/07/2014,Lung Wu House
1108221324,27076.067,110.6,838669.312,822596.506,1109617705,01/07/2014,Lung Chu House
1108221360,26619.128,108.9,838773.503,822575.037,1109617736,01/07/2014,Lung San House
1108221310,26989.814,110.1,838608.315,822602.047,1109617685,01/07/2014,Lung Kei House
1108221468,22376.477,133.7,838834.73,822537.521,1109617757,01/07/2014,Bel Air Heights Block 2
1108221376,7970.699,21.6,839542.995,822573.788,1109617999,01/07/2014,Fu Lai House
1108221463,23141.361,133.8,838868.655,822540.416,1109617770,01/07/2014,Bel Air Heights Block 1
1108221450,23750.853,109.7,839437.061,822543.272,1109617964,01/07/2014,Grand View Garden Tower 1
1108221545,23828.185,109.1,839450.674,822505.293,1109617968,01/07/2014,Grand View Garden Tower 2
1810044605,19357.262,108.3,840096.974,822196.098,1810008287,01/07/2014,Aria Tower 6
1810044562,21655.422,107.5,840028.907,822296.695,1810008264,01/07/2014,Aria Tower 1
1810044582,19312.465,107.5,840047.07,822272.626,1810008284,01/07/2014,Aria Tower 2
1810044603,18258.761,107.5,840064.321,822246.743,1810008285,01/07/2014,Aria Tower 3
1108221640,22939,109.4,839466.236,822466.059,1109617974,01/07/2014,Grand View Garden Tower 3
1108221573,1024.23,13.1,838867.872,822494.847,1109617769,01/07/2014,Bel Air Heights Block 3
1108221634,1028.676,13.6,838899.505,822474.61,1109617780,01/07/2014,Bel Air Heights Block 4
1108221681,21936.56,110.2,839430.14,822450.359,1109617958,01/07/2014,Grand View Garden Tower 4
1108221713,23839.362,109.2,839391.716,822439.543,1109617943,01/07/2014,Grand View Garden Tower 5
1108221747,15539.331,79.8,839353.682,822430.531,1109617927,01/07/2014,Grand View Garden Tower 6
1810045882,313.934,10.9,838708.119,822534.851,1810008324,01/07/2014,Lung Poon Crt Complex Substation
1108221878,9049.69,13.3,839383.793,822366.752,1109617944,01/07/2014,Chun Tok School
1108221836,17944.195,100.8,839447.965,822402.635,1109617967,01/07/2014,Regent On the Hill
1108221841,8075.761,75.8,839601.836,822407.271,1109618022,01/07/2014,Sun Lai Garden Block B
1108221800,8067.127,76.6,839568.408,822421.478,1109618006,01/07/2014,Sun Lai Garden Block C
1108221951,79.154,5.9,839631.225,822379.364,,,
1108221884,250.59,5.7,839362.77,822394.258,,,
1108221882,8175.934,76.2,839638.266,822391.866,1109618033,01/07/2014,Sun Lai Garden Block A
1108222065,718.595,13.1,839338.015,822333.969,,,
1108222117,2920.509,19.9,839358.737,822312.569,,,
1108222139,1023.427,7,839445.579,822299.598,1109617965,01/07/2014,East Kowloon Chest Clinic
1108222451,3411.649,14.7,839476.536,822217.209,1109617976,01/07/2014,East Kowloon Psychiatric Centre
1108224865,2778.597,19.2,838165.648,821673.805,1109617390,01/07/2014,"The Standard Chartered Bank Building, San Po Kong"
1109609274,29727.935,145,837879.063,821318.303,1810015847,01/07/2014,BILLIONNAIRE ROYALE
1108220864,1038.687,10.5,838173.786,822798.557,1109617392,01/07/2014,Our Lady's Kindergarten
1108220870,238.826,7.5,838181.477,822813.552,1109617398,01/07/2014,Our Lady's Kindergarten
1108220975,29017.858,105.5,837815.982,822745.234,1109617151,01/07/2014,Wing Sin House
1108221176,11622.426,18.5,837630.375,822634.82,1810017174,01/07/2014,Lung Cheung Government Secondary School
1108221474,23052.425,45.4,837841.454,822541.52,1109617185,01/07/2014,Lung Cheung Office Block
1108221609,24612.114,58.3,838115.912,822473.449,1109617372,01/07/2014,Lung Fai House
1108221745,3991.247,17.1,838061.354,822433.623,1109617349,01/07/2014,Home Affairs Department Wong Tai Sin Community Centre
1108221741,4886.473,16.5,837975.393,822428.851,1109617322,01/07/2014,Wong Tai Sin Government Primary School
1109609190,25095.857,58,837989.274,822471.866,1109617325,01/07/2014,Lung Kwong House
1108219866,108.48,4,840315.662,824196.315,,,
1108219864,259,4.2,840192.335,824194.795,,,
1108220669,12556.761,27.2,838869.955,822875.144,1810006124,01/07/2014,St. Bonaventure Catholic Primary School
1810035302,236.288,6.1,839254.315,822836.105,,,
1108220859,1053.228,3.6,837245.983,822797.134,1810017190,01/07/2014,Grace Methodist Church Kindergarten
1108224261,12713.853,83.3,838234.786,821790.951,1109617418,01/07/2014,San Po Kong Plaza Block 1
1108224429,7428.758,74.5,838277.156,821757.333,1109617443,01/07/2014,Hong Keung Mansion Block B
1108224392,12681.119,83.3,838216.728,821764.823,1109617414,01/07/2014,San Po Kong Plaza Block 2
1108224560,7396.581,74.5,838263.335,821737.353,1109617438,01/07/2014,Hong Keung Mansion Block A
1108219959,25136.44,115.3,838594.454,823624.548,1109617678,01/07/2014,Oi Wing House
1108219951,25794.69,117.3,838553.708,823640.314,1109617667,01/07/2014,Oi Wah House
1108219858,111.849,4.8,840417.793,824238.694,1109618463,01/07/2014,Tate's Cairn Police Post
1108220553,1590.297,20.8,838519.967,822998.459,1109617650,01/07/2014,Choi Wan Building
1108220510,511.085,12.5,838613.492,823032.04,,,
1108220498,11915.905,66.4,837476.83,823038.031,1109616606,01/07/2014,Tsui Chuk Garden Block 2
1108220256,44970.362,107.9,838572.54,823224.237,1109617673,01/07/2014,Lok Yan House
1108220349,25346.791,114.3,838845.292,823172.039,1109617761,01/07/2014,Hong Kin House
1108220363,25347.341,114.4,839035.708,823158.805,1109617820,01/07/2014,Hong Tim House
1108220315,42195.067,107.7,838464.632,823183.834,1109617601,01/07/2014,Lok Shing House
1108220663,3874.995,21.7,838678.611,822895.621,,,
1108220612,543.638,24.4,838435.68,822961.671,1109617565,01/07/2014,
1108220597,75.993,5.5,838302.935,822975.151,,,
1108220606,439.329,23,838436.59,822967.782,1109617569,01/07/2014,
1108220649,1617.991,22.2,838666.74,822920.719,,,
1108220648,2602.812,11.4,838263.449,822922.559,,,
1108219982,27437.383,74.3,838666.617,823573.305,1109617702,01/07/2014,Ching Tak House
1108219974,25159.53,115.1,838538.909,823599.669,1109617661,01/07/2014,Oi Hong House
1108219996,30252.161,58.9,838752.248,823554.113,1109617733,01/07/2014,Ching Wo House
1108220480,51044.908,98.6,837838.48,823026.885,1109617183,01/07/2014,Pak Yuen House
