id,name,address,number,lat,lon
51,"LEUNG, CHI YIN","Rhythm Garden, 242 Choi Hung Road, Wong Tai Sin, Kowloon",,22.3371,114.20235
52,"LEUNG, WAI KAY","Ground Floor, 86 Shung Ling Street, San Po Kong, Kowloon",,22.33506,114.19588
53,"LI, CHUNG PUN","Lok Fu Plaza, 198 Junction Road, Wong Tai Sin, Kowloon",,22.33847,114.18751
54,"LI, HOI YU","2nd Floor, 33 Fung Tak Road, Wong Tai Sin, Kowloon",,22.34301,114.19692
55,"LI, SHUN CHEONG","Kam Pik House, Choi Hung Estate, Choi Hung, Kowloon",,22.33509,114.20537
56,"LING, MUN WAI","Tsz Wan Shan (South) Estate Community Centre, 45 Wan Wah Street, Tsz Wan Shan, Kowloon",,22.34617,114.19942
57,"LIU, YUET SIN","Ground Floor, 9B Yuk Wak Cresent, Tsz Wan Shan, Kowloon",,22.34986,114.20261
58,"LO, SAU FAI","30 Shung Wah Street, Fung Wong New Village, Wong Tai Sin, Kowloon",,22.34301,114.19692
59,"LOO, ANNE","Ngan Fung House, Fung Tak Estate, Diamond Hill, Kowloon",,22.34356,114.20062
60,"MAK, TAK WAH","Winning Centre, 29 Tai Yau Street, San Po Kong, Kowloon",,22.33715,114.19822
61,"NG, HAK LAN","Hang On Building, 51 Po Kong Village Road, Tsz Wan Shan, Kowloon",,22.34386,114.19862
62,"NGAI, MAN CHIU","Fung Wong Chuen Building, 1 Ngan Fung Street, Tsz Wan Shan, Kowloon",,22.34417,114.19785
63,"NGAN, PANG","1 Kam Fung Street, Fung Wong New Village, Tsz Wan Shan, Kowloon",,22.34541,114.19829
64,"PANG, NAOMI MARIAN HAI-SHR","Lions Rise, 8 Muk Lun Street, Wong Tai Sin, Kowloon",,22.34068,114.19728
65,"SHUM, NAM CHU","5 Chi Lin Drive, Diamond Hill, Kowloon",,22.34076,114.20605
66,"SUNG, WAI WA","Kam Pik House, Choi Hung Estate, Choi Hung, Kowloon",,22.33509,114.20537
67,"SZE, TIN KAP","Grandview Garden Shopping Centre, 185 Hammer Hill Road, Diamond Hill, Kowloon",,22.34197,114.20763
68,"TAM, CHI WAI","Kai Tak Garden Shopping Arcade, 121 Choi Hung Road, Wong Tai Sin, Kowloon",,22.33802,114.19417
69,"TAM, CHI WAI","Maxgrand Plaza, 3 Tai Yau Street, San Po Kong, Kowloon",,22.33821,114.19916
