originid,destinationid,distance,duration
4,65,2490,487
4,66,13062,1124
4,67,2431,487
4,68,787,161
4,69,1358,286
4,70,2836,434
4,71,1895,401
4,72,2654,541
4,73,1536,393
4,74,2023,405
4,75,1895,401
4,76,1814,317
4,77,1261,276
4,78,1621,361
4,79,2582,536
4,80,1895,401
4,81,2613,511
4,82,936,190
4,83,2431,487
4,84,1536,393
4,86,2668,411
5,1,3625,450
5,2,736,154
5,3,1964,337
5,4,2015,403
5,6,2980,394
5,7,3307,415
5,8,2401,450
5,9,3578,538
5,10,2622,243
5,11,1854,468
5,12,255,48
5,13,1952,318
5,14,2401,450
5,15,2130,202
5,16,2622,243
5,17,1736,178
5,18,255,48
5,19,4334,406
5,20,1774,444
5,21,4451,643
5,22,2622,243
5,23,1422,278
5,24,3710,325
5,25,2561,532
5,26,1731,434
5,27,3747,531
5,28,1772,443
5,29,3626,559
5,30,2622,243
5,31,2524,292
5,32,2622,243
5,33,3301,358
5,34,3575,537
5,35,2375,445
5,36,4210,521
5,37,3420,373
5,38,2466,476
5,39,3626,559
5,40,2596,311
5,41,3420,373
5,42,2530,475
5,43,3780,426
5,44,2555,530
5,45,2622,243
5,46,255,48
5,47,3959,452
5,48,2622,243
5,49,255,48
5,51,3746,555
5,52,3029,514
5,53,255,48
5,54,2164,374
5,55,13744,1026
5,56,2864,366
5,57,3626,559
5,58,2891,373
5,59,2612,315
5,60,3190,392
5,61,2494,286
5,62,2555,530
5,63,2367,406
5,64,1731,434
5,65,3251,375
5,66,13744,1026
5,67,3550,388
5,68,2375,445
5,69,3023,360
5,70,2064,198
5,71,255,48
5,72,2285,409
5,73,1774,444
5,74,2830,331
5,75,255,48
5,76,2622,243
5,77,1689,420
5,78,3286,435
5,79,3487,516
5,80,255,48
5,81,3732,412
5,82,1910,422
5,83,3550,388
5,84,1774,444
5,86,3467,306
6,1,1887,384
6,2,2326,468
6,3,448,120
6,4,3101,609
6,5,3005,419
6,7,1466,369
6,8,465,148
6,9,1118,280
6,10,1009,223
6,11,2057,416
6,12,1839,389
6,13,1071,234
6,14,465,148
6,15,2244,333
6,16,1009,223
6,17,1850,310
6,18,1839,389
6,19,2730,417
6,20,1977,392
6,21,3024,616
6,22,1009,223
6,23,2791,548
6,24,2106,336
6,25,625,230
6,26,1602,415
6,27,1906,485
6,28,1975,391
6,29,1167,301
6,30,1009,223
6,31,603,179
6,32,1009,223
6,33,1460,312
6,34,1115,279
6,35,2429,540
6,36,2432,497
6,37,1579,327
6,38,2520,571
6,39,1167,301
6,40,675,195
6,41,1579,327
6,42,1675,401
6,43,2001,401
6,44,618,228
6,45,1009,223
6,46,1839,389
6,47,1476,271
6,48,1009,223
6,49,1839,389
6,51,1905,509
6,52,1966,513
6,53,1839,389
6,54,2190,448
6,55,12256,1030
6,56,405,108
6,57,1167,301
6,58,78,21
6,59,691,199
6,60,1349,346
6,61,573,173
6,62,618,228
6,63,174,40
6,64,1602,415
6,65,1473,351
6,66,12256,1030
6,67,1550,279
6,68,2429,540
6,69,1182,314
6,70,2178,330
6,71,1839,389
6,72,1430,335
6,73,1977,392
6,74,1039,305
6,75,1839,389
6,76,1009,223
6,77,1560,401
6,78,1445,389
6,79,1027,258
6,80,1839,389
6,81,1368,253
6,82,2577,570
6,83,1550,279
6,84,1977,392
6,86,1863,317
7,1,1728,406
7,2,2503,428
7,3,1845,459
7,4,2475,557
7,5,2723,381
7,6,1501,356
7,8,1684,439
7,9,2098,500
7,10,1239,258
7,11,1776,379
7,12,2016,349
7,13,1720,382
7,14,1684,439
7,15,2893,481
7,16,1239,258
7,17,2499,457
7,18,2016,349
7,19,2229,328
7,20,1696,354
7,21,1933,321
7,22,1239,258
7,23,2165,496
7,24,1604,247
7,25,1844,521
7,26,1122,281
7,27,361,109
7,28,1694,353
7,29,2146,520
7,30,1239,258
7,31,1044,254
7,32,1239,258
7,33,980,179
7,34,2095,499
7,35,961,291
7,36,432,100
7,37,1100,193
7,38,1052,321
7,39,2146,520
7,40,1116,273
7,41,1100,193
7,42,2324,549
7,43,1043,271
7,44,1837,519
7,45,1239,258
7,46,2016,349
7,47,2062,409
7,48,1239,258
7,49,2016,349
7,51,1303,339
7,52,421,137
7,53,2016,349
7,54,2838,595
7,55,13462,1020
7,56,1384,328
7,57,2147,520
7,58,1412,335
7,59,1132,277
7,60,117,23
7,61,1014,247
7,62,1837,519
7,63,1571,378
7,64,1122,281
7,65,1587,361
7,66,13462,1020
7,67,1653,344
7,68,961,291
7,69,284,59
7,70,2827,477
7,71,2016,349
7,72,2079,482
7,73,1696,354
7,74,1447,346
7,75,2016,349
7,76,1239,258
7,77,1081,268
7,78,593,129
7,79,2007,477
7,80,2016,349
7,81,1835,369
7,82,1110,321
7,83,1653,344
7,84,1696,354
7,86,1894,365
8,1,2001,488
8,2,2480,531
8,3,602,183
8,4,3255,672
8,5,3130,486
8,6,349,106
8,7,1591,437
8,9,1692,418
8,10,1134,291
8,11,2182,484
8,12,1993,452
8,13,1225,297
8,14,0,0
8,15,2398,396
8,16,1134,291
8,17,2004,373
8,18,1993,452
8,19,2855,485
8,20,2102,459
8,21,3149,684
8,22,1134,291
8,23,2945,611
8,24,2231,404
8,25,160,83
8,26,1727,482
8,27,2031,552
8,28,2100,459
8,29,1741,439
8,30,1134,291
8,31,757,242
8,32,1134,291
8,33,1585,380
8,34,1689,417
8,35,2554,608
8,36,2586,560
8,37,1704,394
8,38,2645,638
8,39,1741,439
8,40,829,258
