id,distance,rawMean,rawStDev,noErrMean,noErrSD,excludedMe,excludedSD,xRank,yRank,d^2,kmb1,mtr1
"0","1800",23.500000000000000,6.400000000000000,23.500000000000000,6.400000000000000,23.500000000000000,6.400000000000000,"1",32.000000000000000,961.000000000000000,6.54529905319214,12.3056592941284
"1","2000",22.300000000000001,6.100000000000000,22.300000000000001,6.100000000000000,19.300000000000001,2.100000000000000,"2",29.000000000000000,729.000000000000000,3.87450098991394,17.8765048980713
"2","2200",7.800000000000000,6.700000000000000,13.500000000000000,0.700000000000000,13.500000000000000,0.700000000000000,"3",13.000000000000000,100.000000000000000,6.41728973388672,10.0684995651245
"3","2400",9.500000000000000,9.800000000000001,18.000000000000000,0.000000000000000,18.000000000000000,0.000000000000000,"4",24.000000000000000,400.000000000000000,4.11084127426147,1.74211192131042
"4","2600",9.000000000000000,4.700000000000000,11.500000000000000,0.700000000000000,11.500000000000000,0.700000000000000,"5",8.000000000000000,9.000000000000000,3.33553075790405,2.67215991020203
"5","2800",17.800000000000001,5.400000000000000,17.800000000000001,5.400000000000000,17.800000000000001,5.400000000000000,"6",23.000000000000000,289.000000000000000,11.4928302764893,6.19202280044556
"6","3000",15.300000000000001,6.800000000000000,15.300000000000001,6.800000000000000,15.300000000000001,6.800000000000000,"7",19.000000000000000,144.000000000000000,9.78796863555908,4.74154806137085
"7","3200",15.000000000000000,3.500000000000000,15.000000000000000,3.500000000000000,15.000000000000000,3.500000000000000,"8",18.000000000000000,100.000000000000000,7.63628149032593,0.893377363681793
"8","3400",12.300000000000001,7.400000000000000,14.000000000000000,2.800000000000000,14.000000000000000,2.800000000000000,"9",15.000000000000000,36.000000000000000,11.2001619338989,0.540175259113312
"9","3600",19.300000000000001,5.500000000000000,19.300000000000001,5.500000000000000,19.300000000000001,5.500000000000000,"10",28.000000000000000,324.000000000000000,10.6010751724243,4.30280303955078
"10","3800",16.000000000000000,4.200000000000000,16.000000000000000,4.200000000000000,16.000000000000000,4.200000000000000,"11",20.500000000000000,90.250000000000000,9.4830207824707,6.44161987304688
"11","4000",22.300000000000001,2.400000000000000,22.300000000000001,2.400000000000000,22.300000000000001,2.400000000000000,"12",30.000000000000000,324.000000000000000,9.28103733062744,3.30324077606201
"12","4200",24.300000000000001,3.300000000000000,24.300000000000001,3.300000000000000,24.300000000000001,3.300000000000000,"13",33.000000000000000,400.000000000000000,13.0715436935425,3.43040156364441
"13","4400",18.800000000000001,4.900000000000000,18.800000000000001,4.900000000000000,18.800000000000001,4.900000000000000,"14",26.000000000000000,144.000000000000000,13.8489217758179,11.6077718734741
"14","4600",23.000000000000000,2.400000000000000,23.000000000000000,2.400000000000000,23.000000000000000,2.400000000000000,"15",31.000000000000000,256.000000000000000,13.2756395339966,12.132116317749
"15","4800",18.500000000000000,4.400000000000001,18.500000000000000,4.400000000000001,18.500000000000000,4.400000000000001,"16",25.000000000000000,81.000000000000000,8.27423667907715,6.18510007858276
"16","5000",16.800000000000001,7.800000000000000,19.000000000000000,7.800000000000000,19.000000000000000,7.800000000000000,"17",27.000000000000000,100.000000000000000,7.50704431533813,6.22559118270874
"17","5200",16.300000000000001,4.600000000000000,16.300000000000001,4.600000000000000,16.300000000000001,4.600000000000000,"18",22.000000000000000,16.000000000000000,9.62605857849121,5.13781690597534
"18","5400",19.000000000000000,10.100000000000000,19.000000000000000,10.100000000000000,14.000000000000000,2.000000000000000,"19",15.000000000000000,16.000000000000000,2.72472786903381,1.1702047586441
"19","5600",13.300000000000001,6.300000000000000,13.300000000000001,6.300000000000000,13.300000000000001,6.300000000000000,"20",11.500000000000000,72.250000000000000,5.45944261550903,0.093684621155262
"20","5800",10.000000000000000,2.900000000000000,10.000000000000000,2.900000000000000,10.000000000000000,2.900000000000000,"21",3.500000000000000,306.250000000000000,1.48266458511353,1.00184416770935
"21","6000",11.500000000000000,0.600000000000000,11.500000000000000,0.600000000000000,11.500000000000000,0.600000000000000,"22",8.000000000000000,196.000000000000000,4.39166498184204,2.30929780006409
"22","6200",5.500000000000000,6.400000000000000,11.000000000000000,1.400000000000000,11.000000000000000,1.400000000000000,"23",6.000000000000000,289.000000000000000,1.18779838085175,2.07763409614563
"23","6400",8.800000000000002,4.500000000000000,10.000000000000000,4.600000000000000,10.000000000000000,4.600000000000000,"24",3.500000000000000,420.250000000000000,5.9979944229126,0.254073768854141
"24","6600",8.000000000000000,4.200000000000000,8.000000000000000,4.200000000000000,8.000000000000000,4.200000000000000,"25",2.000000000000000,529.000000000000000,5.76457548141479,0.587981998920441
"25","6800",10.800000000000001,1.000000000000000,10.800000000000001,1.000000000000000,10.800000000000001,1.000000000000000,"26",5.000000000000000,441.000000000000000,7.46246242523193,1.86077225208282
"26","7000",5.300000000000000,0.500000000000000,5.300000000000000,0.500000000000000,5.300000000000000,0.500000000000000,"27",1.000000000000000,676.000000000000000,8.31096267700195,1.4774534702301
"27","7200",18.300000000000001,10.699999999999999,18.300000000000001,10.699999999999999,14.000000000000000,7.900000000000000,"28",15.000000000000000,169.000000000000000,4.564368724823,0.370938420295715
"28","7400",30.000000000000000,5.400000000000000,30.000000000000000,5.400000000000000,25.500000000000000,0.700000000000000,"29",34.000000000000000,25.000000000000000,3.44268155097961,
"29","7600",14.300000000000001,5.600000000000000,14.300000000000001,5.600000000000000,14.300000000000001,5.600000000000000,"30",17.000000000000000,169.000000000000000,2.55353379249573,
"30","7800",16.000000000000000,8.500000000000000,16.000000000000000,8.500000000000000,16.000000000000000,8.500000000000000,"31",20.500000000000000,110.250000000000000,8.62793636322021,0.866483211517334
"31","8000",11.500000000000000,4.200000000000000,11.500000000000000,4.200000000000000,11.500000000000000,4.200000000000000,"32",8.000000000000000,576.000000000000000,4.4696626663208,3.52221512794495
"32","8200",17.500000000000000,11.000000000000000,17.500000000000000,11.000000000000000,12.000000000000000,0.000000000000000,"33",10.000000000000000,529.000000000000000,6.56650400161743,3.84218645095825
"33","8400",13.300000000000001,1.900000000000000,13.300000000000001,1.900000000000000,13.300000000000001,1.900000000000000,"34",11.500000000000000,506.250000000000000,2.24878525733948,1.07870995998383
