sampleid,x,y,accessibility
0,840647.040574254,822070.621918181,0.015881476435288023
1,838709.281303406,823927.982919482,0.09533183310575216
2,837289.227778627,821871.069506068,1.5707223972346993
3,838836.665952276,823840.54642841,0.12788229232800183
4,836904.045078734,823366.900424576,0.0
5,840739.434198239,822723.252352053,0.0
6,840075.515896351,821710.856878393,0.5410716752426572
7,840374.344687395,824226.097089087,0.0
8,837313.930851482,822223.030632452,1.430619676690362
9,840069.365535435,822131.767622696,0.16181242748198027
10,840651.497320246,824112.05805965,0.0
11,840196.072603468,824171.524152945,0.0
12,838775.314481012,822641.660801486,2.0536717367716886
13,840074.191284032,823227.670441067,0.0
14,840255.565073598,822840.344862354,0.0
15,837118.46022204,822444.152249291,0.8228826794586102
16,839923.084083376,822616.645512385,0.3519605839580296
17,838274.545738497,822278.799292831,1.4879751995093253
18,840929.039630817,821757.859320951,0.0
19,839303.788500032,821821.84807224,0.6571705430914367
20,839344.500015914,821701.594459109,0.41164138446220777
21,838165.709038135,823083.673814845,2.0907700730666705
22,837914.265146511,821345.309759498,0.911197381144111
23,838031.427171947,821739.363976279,1.5181891559506964
24,837477.051979942,822056.197588114,1.6127203002182824
25,839212.563408842,822805.243883687,1.1621821357378364
26,839753.876001913,821824.911461004,0.5282436656699145
27,837867.495463226,823724.971441648,0.2918355435218381
28,840929.053158529,822644.576594036,0.0
29,840605.851441629,822293.158619716,0.0
30,839518.17842775,821772.573598454,0.49856489576937435
31,838065.791848762,822690.28612339,1.9703537795026156
32,840769.638346069,823065.959054911,0.0
33,840301.819994088,821692.044020217,0.4891450602101566
34,837735.28017981,822535.84884192,1.0753487859376767
35,836867.931637855,823171.612481309,0.0
36,838596.398004158,822011.961539859,0.6977798064849687
37,840697.254310951,823030.694928784,0.0
38,838757.435675716,823343.874753102,1.5899510255654838
39,837896.198009175,821569.783004081,1.41645720155319
40,837397.071430177,822744.453264015,0.41616901135450246
41,839652.397520032,823208.537609148,0.04260729255671819
42,838768.376370931,823180.635539467,2.0205829848824117
43,839737.176210414,822438.316799693,0.9997356690124746
44,840768.812662194,823799.574999705,0.0
45,840219.212458279,824206.025917565,0.0
46,838484.704821563,823631.626161857,0.740938496468677
47,838319.823326418,822542.676783846,2.1212661269694104
48,840122.405818941,822127.784625559,0.12167899530873509
49,840716.164436579,822397.0717302,0.0
50,840169.237557628,824187.637896905,0.0
51,839427.324265103,823878.551754697,0.0
52,837736.214566339,823365.81905901,0.5807632681298445
53,840043.327082409,823783.741195647,0.0
54,839255.878436361,821899.85209904,0.8495831574913879
55,837441.455421534,822394.290383214,1.127483755692773
56,837171.273896701,823466.540915647,0.0
57,839689.313340259,821870.004743843,0.5696719684830079
58,838961.404759528,822569.383382179,1.5800128729939324
59,837502.275541849,823212.277432313,0.37363535857032343
60,837344.436160833,821804.178622939,1.5424701350744927
61,837956.35579816,823483.905286227,0.6898783710539793
62,840088.817709123,821887.222119333,0.41961566436645925
63,839336.880490236,823838.9955613,0.0
64,837910.667785966,822247.637846727,1.3228355529592926
65,837263.222818509,823011.718529463,0.05953571711594353
66,837130.052533686,822905.781843576,0.02308081791710029
67,840834.708321424,821695.560901837,0.052563957132033524
68,840600.202220126,822911.422325585,0.0
69,838191.387275055,822601.129264865,2.0898960828374458
70,838549.442726428,822380.620717233,1.5453254453960554
71,839874.61744711,822630.555936018,0.4531493703169352
72,840458.629823153,823896.079173162,0.0
73,839668.762472247,823498.160419328,0.0
74,840931.899292962,821944.377009493,0.0
75,840713.013943748,822183.829380795,0.0
76,840631.035736166,823598.883590829,0.0
77,838798.395612603,823568.981235763,0.8350651166061582
78,840352.941666755,824099.395573976,0.0
79,837552.920708762,822125.038852173,1.5384533632859632
80,839156.894163592,821951.84170381,0.8956137785026236
81,839333.884422229,823326.109692421,0.1988623465732895
82,837919.064357856,821991.193581775,1.510675755920684
83,839182.439587055,822563.942149236,1.4069607955117114
84,839240.752678604,822724.483477736,1.2379734793900248
85,840285.457866749,821828.53661443,0.41969089114751856
86,839242.204594543,821943.540145521,0.9584489501366547
87,836997.237707373,823277.352002238,0.0
88,839050.8366433,823676.439856954,0.1690898202711206
89,837789.394871832,823332.593758299,0.6967796786251131
90,839896.00101622,823385.403431972,0.0
91,838870.42936457,822327.094710363,1.1479911883492147
92,838014.894535447,822321.135779926,1.4193450019794636
93,839996.496614863,822809.511080439,0.11585287104888158
94,840787.463366907,822742.144114143,0.0
95,838234.698624652,821521.941498008,1.059358349791239
96,840701.163815436,823935.527372046,0.0
97,838688.524851844,823368.483765283,1.6274834204837418
98,838708.713524804,823258.038273745,1.952124090572966
99,839314.075560783,823290.807319153,0.2481107242032547
100,840013.790305511,823533.169007091,0.0
101,839598.697709803,821846.670770804,0.599830374325758
102,837300.249271961,823050.4546198,0.07212413787180433
103,838345.540482516,821547.784089371,0.887003377027928
104,837494.315054674,821966.875542528,1.6514362306494412
105,840126.522230441,824192.985307222,0.0
106,840669.028085868,822379.810974189,0.0
107,837786.061575334,821962.175768319,1.582636559696316
108,838546.31606864,823099.082019024,2.595610386113096
109,839409.532994275,822151.004248849,1.4083483497290523
110,839740.108843275,822970.514720029,0.17967052757730784
111,837323.206620458,822772.761828055,0.24659738038925128
112,840530.498628219,821794.017773626,0.3200961282181236
113,838354.514607109,823181.068466964,2.273329902951299
114,838593.247248108,822655.081489355,2.431585975181922
115,840559.914294559,822191.380141106,0.0
116,839643.160569857,822646.552164999,0.965763714552115
117,840711.006596163,822721.174128431,0.0
118,837840.266176334,822862.606638355,1.3270742526201322
119,839485.551131547,822577.143301704,1.276696003945772
120,839639.499207486,822890.763061242,0.37490724067067394
121,837398.383544294,822987.103225799,0.26245498659071537
122,838004.055430158,822629.628172008,1.7488235456888672
123,838962.147575797,821844.479485734,0.3388399894468077
124,840168.696425468,823073.798955494,0.0
125,838280.181050851,822717.423655219,2.4602376464314473
126,838746.539071653,822155.264187894,0.7274552153807183
127,840868.540657157,822894.678007029,0.0
128,840771.356222418,823173.604680594,0.0
129,838222.458184499,822221.155334296,1.4116873601912059
130,839741.658080115,823248.98832525,0.012165011287034087
131,840487.762044,822025.57705883,0.1666390162585349
132,840791.248155998,824129.474515413,0.0
133,840601.162360323,821971.290274924,0.13875947717783427
134,839696.978611376,823014.165502198,0.15955408386000594
135,840872.044351486,822829.078768789,0.0
136,839307.450352072,823840.357275736,0.0012143533333515344
137,839220.481508377,822953.988473933,0.8290067182709911
138,837773.661539612,823267.908675159,0.7657458326463584
139,839958.165528771,822781.175091619,0.1600919132135604
140,838811.558949495,822130.045024598,0.6991836719685567
141,837510.89579751,822564.856618476,0.87297292346286
142,838086.793098356,823708.177136878,0.4522184476136295
143,840100.915452735,822231.80253274,0.04380241111557304
144,840399.564231283,821859.187902569,0.3579000610908425
145,840694.428198239,824052.951811277,0.0
146,839335.824275356,821626.750915679,0.2955943271679358
147,840669.706547966,822784.329181164,0.0
148,840745.266432608,824038.615959855,0.0
149,840236.841868322,823400.51876481,0.0
150,837224.811847438,822447.346875559,0.9154246135058873
151,840899.690838614,821750.27756323,0.0
152,840519.05627799,821959.093510059,0.20898688782321329
153,837534.632570726,822940.601128293,0.5155659583297431
