typeCode,estateName,phaseName,address,nUnitPrice,postMinNUnitPrice,postMaxNUnitPrice,unitPrice,postMinUnitPrice,postMaxUnitPrice,minOpDate,maxOpDate,phaseCount,buildingCount,unitCount,blgHeight,lat,lng
1-UFRRQRQXRV,啟德道23號,,啟德道23號,5977,,,5977,,,1964-04-25T00:00:00,1964-04-25T00:00:00,0,1,7,7,22.32908921,114.1919488
1-UFRRURVSRV,龍崗道52號,,龍崗道52號,10880,,,10880,,,1958-05-13T00:00:00,1958-05-13T00:00:00,0,1,7,7,22.33036265,114.1905997
1-UFRUFRQHRS,景福街79號,,景福街79號,3469,,,3469,,,1963-09-03T00:00:00,1963-09-03T00:00:00,0,1,7,7,22.33450696,114.1973853
1-UFSQURUSRS,康強街19號,,康強街19號,5056,,,5056,,,1963-09-02T00:00:00,1963-09-02T00:00:00,0,1,7,7,22.33466049,114.1973756
1-UFVDURUXRS,康強街23號,,康強街23號,8723,,,8723,,,1963-09-02T00:00:00,1963-09-02T00:00:00,0,1,7,7,22.33462438,114.1972785
1-UFVFQRUSRS,康強街33號,,康強街33號,4740,,,4740,,,1963-09-02T00:00:00,1963-09-02T00:00:00,0,1,7,7,22.33449797,114.1970844
1-UFVQFRQARS,景福街81號,,景福街81號,7038,,,7038,,,1963-09-03T00:00:00,1963-09-03T00:00:00,0,1,7,7,22.3344889,114.1974532
1-UFVVQRURRS,康強街29號,,康強街29號,7843,,,7843,,,1963-09-02T00:00:00,1963-09-02T00:00:00,0,1,7,7,22.33457021,114.1971523
1-UOOQUROARU,金馬倫道17號,,金馬倫道17號,12204,,,12204,,,1956-04-04T00:00:00,1956-04-04T00:00:00,0,1,7,7,22.29917152,114.1739242
1-UOQVQRORRU,金馬倫道29號,,金馬倫道29號,19276,,,19276,,,1955-08-31T00:00:00,1955-08-31T00:00:00,0,1,7,7,22.29936117,114.1745841
1-UORQFRJXRO,上海街13號,,上海街13號,1053,,,1053,,,1966-10-29T00:00:00,1966-10-29T00:00:00,0,1,7,7,22.30349702,114.1690328
