typeCode,estateName,phaseName,address,nUnitPrice,postMinNUnitPrice,postMaxNUnitPrice,unitPrice,postMinUnitPrice,postMaxUnitPrice,minOpDate,maxOpDate,phaseCount,buildingCount,unitCount,blgHeight,lat,lng
3-YAPPWPPJPW,日出康城,,康城路1號,14623,11443,27463,14623,9245,20705,2008-12-01T00:00:00,2022-04-30T00:00:00,16,66,19267,54,22.29596486,114.2719867
3-VOOFFRFARR,嘉湖山莊,,天湖路1號,10533,9221,26304,10533,7030,19863,1991-12-19T00:00:00,1997-12-22T00:00:00,6,58,15842,35,22.45297382,114.0007762
3-UDDCFRDSRR,美孚新邨,,百老匯街22-24號,13335,7475,33006,13335,8162,13455,1968-10-09T00:00:00,1978-05-16T00:00:00,8,99,13115,20,22.33685208,114.1402104
3-OVDUURFSRJ,太古城,,太古灣道,18764,14605,56797,18764,12593,47561,1976-12-08T00:00:00,1987-05-13T00:00:00,9,61,12696,24,22.28617121,114.2181635
3-XSHNIHSXHT,沙田第一城,,得利街4號,16790,11489,21408,16790,9627,17671,1980-10-01T00:00:00,1987-10-28T00:00:00,7,52,10642,33,22.38679293,114.2036078
3-MZDIIHHAHN,黃埔花園,,必嘉街121號,15862,13974,21609,15862,12814,19251,1985-12-05T00:00:00,1991-01-09T00:00:00,10,88,10285,0,22.30438166,114.1901119
3-SDDSGPWAPK,海怡半島,,海怡路6號,16290,14358,51630,16290,11258,41215,1991-11-22T00:00:00,1995-03-28T00:00:00,4,34,9812,35,22.24351319,114.1485094
2-KEPPWPPRPA,山景邨,,鳴琴路1號,4416,10453,11173,4416,,,1983-03-01T00:00:00,1986-03-01T00:00:00,0,9,8645,3,22.39668062,113.9652747
3-LIDHTHXXHT,愉景灣,,大嶼山,10242,8535,26266,10242,7299,21352,1982-06-26T00:00:00,2021-07-31T00:00:00,18,647,8521,6,22.29585993,114.0170634
2-BESPWPPXPD,朗屏邨,,朗屏路1號,5164,5577,10874,5164,,,1986-07-01T00:00:00,1989-05-01T00:00:00,0,15,8491,0,22.44926712,114.0231544
3-EWAPBPKEPP,麗港城,,麗港街1號,14062,13342,23211,14062,10651,18634,1990-12-21T00:00:00,1994-12-09T00:00:00,4,38,8069,25,22.30683969,114.2273506
2-ABPPWPPJPS,長安邨,,擔杆山路1號,6321,,,6321,,,1987-12-01T00:00:00,1989-03-01T00:00:00,0,10,7338,0,22.36140154,114.1009121
2-SDPPWPPAPK,利東邨,,利東邨道5號,8051,,,8051,,,1987-01-01T00:00:00,1988-07-01T00:00:00,0,8,7268,0,22.24157254,114.1545824
2-DEPPWPPHPG,太和邨,,大埔太和路12號,8329,,,8329,,,,,0,9,6913,0,22.45100123,114.1622435
2-KEPPWPPSPA,良景邨,,田景路31號,4814,5381,10620,4814,,,1988-02-01T00:00:00,1990-08-01T00:00:00,0,8,6852,3,22.40712616,113.9632194
3-YAPPWPPEPG,新都城,,貿業路8號,16336,14286,23292,16336,10177,16593,1996-12-23T00:00:00,2000-04-01T00:00:00,3,21,6768,38,22.32226109,114.2568823
2-EYPPWPPRPS,竹園北邨,,穎竹街8號,5773,14447,14447,5773,,,1987-10-01T00:00:00,1989-09-01T00:00:00,0,8,6736,0,22.34603041,114.1936009
2-EYPPWPPEPA,東頭(二)邨,,東頭村道183號,9126,,,9126,,,1982-01-01T00:00:00,1993-03-01T00:00:00,0,20,6613,12,22.33495911,114.1917456
2-SBYYBPEVPG,康怡花園,,康愉街31-45號,17472,13556,45510,17472,11058,35968,1985-12-19T00:00:00,1987-06-23T00:00:00,0,32,6612,0,22.28193641,114.2158625
2-BSPPBPSEPP,天盛苑,,天靖街3號,7987,9593,12711,7987,9397,9483,1999-12-28T00:00:00,2000-02-24T00:00:00,0,17,6580,0,22.44812651,114.0026378
2-EWPPWPPEPK,翠屏(北)邨,,翠屏道19號,5598,10158,13718,5598,,,,1994-10-01T00:00:00,0,13,6460,26,22.31483996,114.2300031
2-SGKEPPGYPE,杏花邨,,盛泰道100號,16531,14286,20000,16531,12257,17056,1986-09-08T00:00:00,1989-11-10T00:00:00,0,48,6323,21,22.27612227,114.2396041
2-BSPPGPSEPP,天頌苑,,天榮路3號,7115,7844,11730,7115,6152,8772,1999-12-16T00:00:00,2001-04-23T00:00:00,0,15,6080,0,22.4607401,114.0008927
3-AEESBPPSPA,麗城花園,,青山公路荃灣段530-625號,11967,10755,16484,11967,8906,14184,1987-07-14T00:00:00,1991-04-09T00:00:00,3,19,6016,0,22.37180488,114.1012463
2-DBSPWPPHPD,恆安邨,,恆錦街1號,6117,11287,12147,6117,,,,,0,7,5936,4,22.41727385,114.228556
2-UFURFRFJRR,麗晶花園,,宏光道80號,13025,12723,15971,13025,10920,13830,1985-04-17T00:00:00,1985-04-17T00:00:00,0,22,5904,32,22.33000828,114.2067516
2-DBPPWPPYPW,顯徑邨,,車公廟路69號,8095,9867,12598,8095,,,,,0,8,5876,34,22.36526633,114.1739325
2-DEPPWPPYPE,富亨邨,,頌雅路6號,6292,,,6292,,,,,0,8,5792,3,22.45902082,114.1712005
3-YAPPWPPEPA,維景灣畔,,澳景路88號,16228,15863,39679,16228,11367,29118,2000-12-01T00:00:00,2003-07-01T00:00:00,3,15,5726,48,22.30213346,114.2536488
2-GEPPWPPYPK,天平邨,,天平路48號,6785,9070,11286,6785,,,1986-09-01T00:00:00,1990-01-01T00:00:00,0,7,5700,0,22.50343565,114.1333149
2-AEWPPPSOPW,海濱花園,,怡樂街2-12號,13117,11857,16222,13117,10012,12989,1988-08-16T00:00:00,1989-12-14T00:00:00,0,20,5636,30,22.36205711,114.1133683
2-GYGGGPGXPB,錦豐苑,,西沙路638號,9457,10592,15429,9457,7701,11214,1996-11-25T00:00:00,1997-04-08T00:00:00,0,9,5540,38,22.4239212,114.2256056
2-DEPPWPPJPG,富善邨,,安埔路12號,6638,12245,12937,6638,,,,,0,6,5508,0,22.45326852,114.1749022
2-DBPPWPPJPB,博康邨,,沙角街6號,8899,13648,13648,8899,,,,,0,8,5474,3,22.37492818,114.193449
2-EYPPWPPYPS,鳳德邨,,鳳德道111號,17805,,,17805,,,1991-01-01T00:00:00,1992-02-01T00:00:00,0,7,5342,0,22.34487361,114.2006486
2-GEPPWPPJPY,華明邨,,華明路21號,9594,5418,13939,9594,,,1990-05-01T00:00:00,1990-07-01T00:00:00,0,7,5340,0,22.48337184,114.1403371
3-WBPPWPPEPP,映灣園,,健東路,11266,10106,24457,11266,7680,18000,2002-12-01T00:00:00,2011-05-01T00:00:00,5,69,5326,50,22.29314476,113.9511756
3-WDPPWPPEPB,珀麗灣,,珀麗路8號,11642,10338,27478,11642,8112,21497,2002-08-01T00:00:00,2009-06-01T00:00:00,5,31,5290,17,22.35202246,114.0612689
2-YAPPWPPHPG,寶林村,,寶琳北路18號,9559,,,9559,,,,,0,7,5276,3,22.32589243,114.2547489
2-YAPPWPPJPG,景林邨,,寶琳路38號,11570,11029,18780,11570,,,,,0,7,5267,38,22.32117561,114.2604826
2-EWPPWPPJPD,德田邨,,碧雲道223號,8337,,,8337,,,1991-04-01T00:00:00,1992-04-01T00:00:00,0,7,5159,0,22.30966241,114.2385321
2-GESPWPPXPB,祥華邨,,新運路38號,9278,5910,12202,9278,,,1984-03-01T00:00:00,1986-02-01T00:00:00,0,10,5122,0,22.49369377,114.1411216
2-NTHHIHZEHH,天富苑,,天秀路15號,7333,9229,10476,7333,7238,7982,2000-12-29T00:00:00,2001-06-26T00:00:00,0,16,5119,0,22.46299428,113.9977807
3-VCVJURFHRS,錦繡花園,,錦繡花園河北第十街,12369,11961,27123,12369,8846,27059,1977-01-01T00:00:00,1993-01-01T00:00:00,93,5018,5018,0,22.47936844,114.0470737
2-MSNSTHSXHH,德福花園,,偉業街33號,13219,12152,16357,13219,10124,14594,1980-05-23T00:00:00,1982-02-01T00:00:00,0,21,4991,26,22.32333347,114.2127001
2-YAPPWPPEPB,翠林邨,,翠琳路11號,5643,10888,12336,5643,,,,,0,8,4932,0,22.32240972,114.2480206
3-EWKSBPYOPS,淘大花園,,牛頭角道77號,15746,15000,20661,15746,12146,15702,1981-06-22T00:00:00,1987-06-29T00:00:00,4,19,4896,33,22.32447045,114.2164276
2-UCCOURCJRQ,曉麗苑,,曉光街21號,11991,12150,13187,11991,8834,9578,1997-02-05T00:00:00,1997-02-28T00:00:00,0,8,4864,38,22.32033983,114.2292578
2-EGPPWPPJPE,李鄭屋邨,,發祥街10號,6678,13357,13357,6678,,,1984-12-01T00:00:00,1990-03-01T00:00:00,0,10,4826,0,22.33919423,114.159673
2-DBSPWPPJPD,耀安邨,,恆康街2號,5671,,,5671,,,,,0,7,4798,12,22.41890769,114.2306157
3-XSHNIHZXHN,新港城,,鞍誠街18號,16701,13204,20178,16701,10777,15309,1993-02-10T00:00:00,1996-10-01T00:00:00,5,20,4759,0,22.42404568,114.2316667
2-EYPPWPPJPA,黃大仙下邨(一區),,大成街3號,7419,,,7419,,,1989-12-01T00:00:00,1991-10-01T00:00:00,0,9,4728,12,22.33978128,114.1933866
3-EKPPWPPEPK,海逸豪園,,海逸道8號,17916,17073,70588,17916,12803,52632,1998-03-06T00:00:00,2001-12-01T00:00:00,5,25,4721,32,22.30781308,114.1925094
2-VDORQRVYRU,兆康苑,,兆康路2-22號,10118,9317,11798,10118,7719,10211,1982-08-13T00:00:00,1984-12-12T00:00:00,0,20,4676,0,22.4120661,113.9775861
3-YAPPWPPEPY,將軍澳中心,,唐德街,16737,15510,22852,16737,11680,17218,2002-08-01T00:00:00,2005-02-01T00:00:00,3,12,4542,47,22.30705344,114.2571453
2-DMXSZHLXHD,荃灣中心,,荃景圍102號,12850,12174,17940,12850,9773,14564,1979-10-23T00:00:00,1982-08-17T00:00:00,0,19,4516,34,22.37851754,114.1079135
2-DBPPWPPJPG,廣源邨,,小瀝源路68號,11774,,,11774,,,,,0,6,4448,2,22.38120079,114.214822
2-SDDEPPPYSE,置富花園,,置富道9號,14877,14252,31463,14877,12075,26657,1978-08-31T00:00:00,1981-06-26T00:00:00,0,27,4328,0,22.25728317,114.1396199
3-DBPPWPPJPW,名城,,美田路1號,16629,14796,29014,16629,11262,22124,2010-02-01T00:00:00,2011-12-01T00:00:00,3,12,4264,2,22.37041376,114.1757481
2-GDYYWPDRPA,廣明苑,,寶康路108號,11386,12384,15023,11386,9714,9714,1998-03-24T00:00:00,1998-04-01T00:00:00,0,7,4256,38,22.3124165,114.259371
2-VDUOURJXRO,兆麟苑,,兆興里3號,8557,8032,16459,8557,6268,12840,1993-01-13T00:00:00,1994-07-11T00:00:00,0,12,4200,35,22.38418777,113.9765479
2-XSTMIHXYHN,富寶花園,,錦英路6號,11926,8370,14050,11926,7166,12014,1993-07-02T00:00:00,1993-07-02T00:00:00,0,12,4200,35,22.42458532,114.2377668
2-XSHMTHNOHT,愉翠苑,,牛皮沙街6號,10402,10814,14615,10402,7592,9091,2001-07-13T00:00:00,2001-08-29T00:00:00,0,16,4175,0,22.38169059,114.2041506
2-EWGYWPWXPD,匯景花園,,匯景道8號,15114,11838,25327,15114,9310,19745,1991-12-20T00:00:00,1992-04-15T00:00:00,0,17,4110,34,22.30687391,114.2331542
3-BEPPWPPAPK,YOHO TOWN,,元龍街8號,15782,11940,67720,15782,9158,52356,2004-04-01T00:00:00,2010-06-01T00:00:00,2,16,4090,1,22.44165777,114.0367144
3-GYWKPPKYPS,大埔中心,,安邦路9號,15272,12934,18027,15272,9601,12795,1985-05-05T00:00:00,1987-06-12T00:00:00,6,22,4080,0,22.45207639,114.170783
3-MSHTIHSHTT,慈愛苑,,慈雲山道120號,12062,,,12062,,,1997-02-05T00:00:00,2000-09-21T00:00:00,2,12,4020,0,22.35085201,114.1995041
2-AEBKPPSJPK,綠楊新邨,,蕙荃路22-66號,14535,13746,17079,14535,11923,14873,1983-01-01T00:00:00,1984-05-08T00:00:00,0,17,4000,0,22.37321231,114.120063
2-VOOFFRFADR,嘉湖山莊,7期 景湖居,天龍路2號,10449,9492,14073,10449,7374,11716,1994-12-12T00:00:00,1995-09-08T00:00:00,0,14,3966,0,22.45936461,114.0066363
2-XITHIHZJHD,富康花園,,唐明街1號,12047,12466,13514,12047,11561,11561,1998-01-06T00:00:00,1998-07-27T00:00:00,0,10,3966,40,22.31046464,114.2617962
2-GYSPBPEYPB,富安花園,,恆信街2號,10809,10387,12586,10809,9210,11179,1987-06-10T00:00:00,1988-09-08T00:00:00,0,17,3942,28,22.40390101,114.2242487
2-EEPEWPSXPW,富榮花園,,海庭道16號,13019,12669,18581,13019,10807,15850,1998-05-07T00:00:00,1998-05-07T00:00:00,0,18,3908,20,22.31405351,114.1644221
2-NXZLIHSYHT,悅湖山莊,,湖秀街2號,9942,9091,13689,9942,7560,11412,1993-12-15T00:00:00,1993-12-15T00:00:00,0,15,3890,22,22.37464094,113.9681335
2-BGYPBPAXPS,龍門居,,龍門路43號,7542,8817,11601,7542,7525,9901,1998-05-18T00:00:00,1998-08-03T00:00:00,0,16,3800,30,22.38487935,113.9664675
3-YAPPWPPJPA,都會駅,,景嶺路,16136,14785,58824,16136,11032,43887,2006-06-01T00:00:00,2007-10-01T00:00:00,2,9,3771,53,22.30468989,114.2520004
3-YAPPWPPAPY,天晉,,唐賢街9號,18601,17335,35800,18601,13565,24609,2011-08-01T00:00:00,2017-10-01T00:00:00,5,41,3726,28,22.30793732,114.2593877
2-SDPPWPPJPE,華貴邨,,華貴道3號,6710,,,6710,,,,1991-11-01T00:00:00,0,6,3716,0,22.25012185,114.139583
2-UFJDFRSYRO,龍蟠苑,,龍蟠街8號,14891,13767,17353,14891,10363,12771,1987-02-17T00:00:00,1992-11-12T00:00:00,0,7,3680,37,22.34176712,114.2005025
3-VCDOURFSRO,大興花園,,震寰路11號,11488,9191,14318,11488,7102,11000,1989-09-25T00:00:00,1994-01-17T00:00:00,2,15,3647,0,22.39989535,113.9722038
3-DBSPWWPXWD,迎海,,烏溪沙路8號,16006,14477,28958,16006,11401,14164,2013-04-01T00:00:00,2016-07-01T00:00:00,5,21,3535,0,22.43095877,114.243015
2-UFFSQRRHRU,翠竹花園,,翠竹街8號,11190,10288,13109,11190,9226,11771,1989-09-21T00:00:00,1991-07-09T00:00:00,0,14,3524,22,22.34614831,114.1877471
3-EEPPWPPEPS,港灣豪庭,,福利街8號,17984,16268,26371,17984,11314,18116,2003-05-23T00:00:00,2003-08-06T00:00:00,2,10,3520,44,22.32447447,114.1604804
2-GYSEBPYEPK,穗禾苑,,穗禾路10號,9276,9409,11873,9276,8269,10427,1980-06-18T00:00:00,1980-11-12T00:00:00,0,9,3501,37,22.39237512,114.1937327
2-BGSSBPAXPS,新屯門中心,,龍門路55-65號,10894,9213,18310,10894,7333,15081,1990-03-27T00:00:00,1990-09-24T00:00:00,0,10,3500,44,22.3811025,113.9648516
2-XSDHIHXVHN,錦英苑,,錦英路9號,11586,9612,14963,11586,7506,11673,1991-04-16T00:00:00,1991-11-27T00:00:00,0,10,3500,35,22.42204815,114.2367264
3-ABPPGPWXPP,盈翠半島,,青敬路33號,17432,9113,42487,17432,12652,33814,1999-01-08T00:00:00,1999-06-01T00:00:00,2,12,3500,38,22.3582798,114.1071953
2-VOOFFRFAOR,嘉湖山莊,1期 樂湖居,天湖路1號,10610,9321,23315,10610,7248,17927,1991-12-19T00:00:00,1992-08-04T00:00:00,0,14,3472,0,22.45223275,114.0002525
2-DFRVFROERV,錦泰苑,,寧泰路33號,9706,10062,11815,9706,,,2000-10-27T00:00:00,2000-12-12T00:00:00,0,12,3440,0,22.40933819,114.221366
2-QUVUQRCERQ,荃威花園,,荃景圍187-195號,10436,10507,13387,10436,9226,11950,1978-01-30T00:00:00,1981-06-18T00:00:00,0,16,3422,0,22.37814549,114.1038161
3-EESPWPPYPS,匯璽,,深旺道28號,24899,20472,37385,24899,,,2017-12-01T00:00:00,2019-06-01T00:00:00,3,18,3410,0,22.32689392,114.1543165
3-WBPPWPPHPP,藍天海岸,,海濱路12號,12977,12014,26157,12977,8936,15648,2002-09-01T00:00:00,2007-12-01T00:00:00,4,54,3362,1,22.29109664,113.9460454
3-DMHSZHHRHD,愉景新城,,青山公路荃灣段398號,14487,13770,17002,14487,11018,13614,1997-04-11T00:00:00,1998-03-27T00:00:00,3,12,3360,40,22.3760448,114.1118472
3-AAPPWPPEPB,碧堤半島,,青山公路深井段33號,12759,12476,29745,12759,9434,22926,2003-01-01T00:00:00,2006-03-01T00:00:00,3,8,3345,53,22.36670591,114.0609849
2-TXZHZHNYHN,富景花園,,小西灣道18號,7601,,,7601,,,1993-01-12T00:00:00,1993-01-12T00:00:00,0,11,3240,30,22.26258008,114.2519779
2-ABPPWPPRPP,青衣邨,,楓樹窩路10號,9945,11919,11919,9945,,,1986-06-01T00:00:00,1989-10-01T00:00:00,0,4,3217,3,22.35429545,114.102945
3-ABPAGPWXPP,翠怡花園,,楓樹窩路1號,13911,13276,17808,13911,10403,13485,1989-11-07T00:00:00,1990-04-20T00:00:00,3,11,3216,0,22.35233834,114.1087031
2-KEPPWPPVPA,田景邨,,田景路10號,5047,,,5047,,,1989-10-01T00:00:00,1990-07-01T00:00:00,0,4,3206,3,22.4063166,113.9656389
2-XINDIHZXHD,寶盈花園,,唐俊街11號,13461,13120,16009,13461,12148,12148,2001-01-29T00:00:00,2001-01-29T00:00:00,0,8,3200,0,22.30702384,114.2620658
2-SGPPWPPEPB,藍灣半島,,小西灣道28號,17016,16784,46875,17016,11418,33248,2001-04-01T00:00:00,2001-04-01T00:00:00,0,8,3098,35,22.26615677,114.250767
2-SDDSGPWAEK,海怡半島,2 期,海怡路15號,16869,15008,25492,16869,11905,20657,1992-10-30T00:00:00,1993-07-27T00:00:00,0,10,3074,0,22.24378357,114.1455215
2-BGYPBPAAPS,富健花園,,龍門路45號,7335,7601,10946,7335,6494,9351,1999-02-12T00:00:00,1999-02-12T00:00:00,0,12,3026,0,22.38333309,113.9648968
3-QUCOQRCSRQ,荃景花園,,荃景圍85號,13613,13725,16316,13613,10571,13333,1986-12-15T00:00:00,1988-06-21T00:00:00,2,12,3024,0,22.37792225,114.1096325
2-MSHLTHHAHT,采頤花園,,彩虹道242號,11693,14941,15411,11693,12735,13120,2000-09-28T00:00:00,2000-09-28T00:00:00,0,12,3000,0,22.33717923,114.2028217
2-ODRVFRSXRO,愛蝶灣,,愛禮街2號,11402,,,11402,,,2000-10-27T00:00:00,2000-10-27T00:00:00,0,10,2972,0,22.27987384,114.2286896
3-BEPPWPPEPG,峻巒,,青山公路潭尾段18號,12084,10224,22346,12084,,,2015-06-01T00:00:00,2017-07-01T00:00:00,6,52,2960,12,22.451136,114.054328
3-BSPPWPPJPP,栢慧豪園,,天恩路2號,12251,10684,14944,12251,8083,11407,2007-11-01T00:00:00,2010-07-01T00:00:00,2,8,2960,10,22.45955734,114.0010982
3-EEPPWPPEPW,柏景灣,,海庭道18號,20250,20430,34143,20250,14729,26383,2001-02-01T00:00:00,2001-12-01T00:00:00,2,9,2935,35,22.31603113,114.1633931
2-AEESBPPSEA,麗城花園,2期,青山公路荃灣段620號,11786,11078,14825,11786,9415,12695,1989-10-16T00:00:00,1989-10-16T00:00:00,0,9,2880,35,22.37137069,114.0997125
3-YAPPWPPJPY,將軍澳廣場,,唐德街1號,16952,15742,46440,16952,11602,34091,2003-05-01T00:00:00,2003-12-01T00:00:00,2,8,2880,47,22.30890198,114.2625037
2-VOOFFRFASR,嘉湖山莊,5期 麗湖居,天葵路3號,10162,9492,12332,10162,7374,15374,1996-02-07T00:00:00,1996-02-07T00:00:00,0,10,2863,0,22.46016508,114.0035943
3-QSROFRCXRR,豪景花園,,青山公路青龍頭段100號,10754,8454,17404,10754,5892,12746,1986-06-30T00:00:00,2008-06-01T00:00:00,3,28,2830,0,22.36202224,114.0417748
2-TNTLTHHXHX,南豐新邨,,基利坊15-27號,17062,15263,22506,17062,12572,18565,1977-08-26T00:00:00,1978-10-04T00:00:00,0,12,2826,31,22.28226193,114.2140869
3-ABBEGPWSPP,灝景灣,,牙鷹洲街8號,16194,15270,21550,16194,11761,17747,1998-01-27T00:00:00,2000-11-30T00:00:00,3,10,2824,0,22.36179243,114.1066013
2-EWAPBPKESP,麗港城,1期,麗港街1號,14152,13346,21390,14152,10719,17167,1990-12-21T00:00:00,1991-12-23T00:00:00,0,13,2800,0,22.30672219,114.2276805
2-EYPBBPPYPE,天馬苑,,竹園道55號,13486,13361,15670,13486,9798,11482,1986-06-24T00:00:00,1986-11-21T00:00:00,0,5,2800,37,22.34324956,114.1867664
2-NXTLIHSRHT,兆禧苑,,湖翠路201號,11155,8916,14270,11155,6526,10465,1985-11-15T00:00:00,1986-03-01T00:00:00,0,5,2800,37,22.37376368,113.9671251
2-TIXSIHNOHD,香港仔中心,,南寧街11號,14710,13839,19417,14710,11439,15301,1979-12-15T00:00:00,1982-01-07T00:00:00,0,20,2788,25,22.24867056,114.1538828
3-DFDJURSYRV,金獅花園,,翠田街5-7號,16046,14866,18877,16046,9349,11914,1986-12-17T00:00:00,1987-10-06T00:00:00,2,13,2768,0,22.36985372,114.1839526
3-SDPPWPPHPS,貝沙灣,,數碼港道,24787,24270,133136,24787,18922,95949,2004-06-01T00:00:00,2008-08-01T00:00:00,6,77,2747,1,22.25582742,114.1324023
2-EKGBPPBSPB,黃埔新邨,,民泰街39號,15200,14706,18692,15200,10484,13333,1976-08-11T00:00:00,1978-11-03T00:00:00,0,25,2730,15,22.30607956,114.1881516
3-EKGEPPGEPE,偉恒昌新邨,,美景街113號,14424,14777,35230,14424,11773,29279,1978-01-17T00:00:00,1979-03-16T00:00:00,3,30,2730,13,22.31773773,114.1922776
2-VJOVQRSERQ,花都廣場,,百和路88號,12800,9506,15676,12800,7082,11219,1995-11-21T00:00:00,1995-11-21T00:00:00,0,10,2710,34,22.48532265,114.1414153
2-BDAAGPYXPA,牽晴間,,一鳴路23號,13858,11204,15625,13858,8180,11446,1999-06-01T00:00:00,1999-06-01T00:00:00,0,12,2688,29,22.4869758,114.1441649
2-VCDOURFSUO,大興花園,2期,河興街1-11號,11401,9191,14318,11401,7102,10978,1994-01-17T00:00:00,1994-01-17T00:00:00,0,11,2687,0,22.3996778,113.9715535
2-DESSWPPSPA,運頭塘邨,,曉運路10號,7891,11236,13636,7891,,,,,0,3,2675,0,22.44248596,114.1686073
2-KEPPWPPYPA,建生邨,,良運街3號,6002,,,6002,,,1989-12-01T00:00:00,1989-12-01T00:00:00,0,4,2652,3,22.40619555,113.9697958
2-OVDUURFSVJ,太古城,高山台,太豐路7號,17392,14605,47218,17392,12593,40521,1977-05-11T00:00:00,1978-09-27T00:00:00,0,13,2652,0,22.28555681,114.2194054
3-YAPPWPPAPW,峻瀅,,石角路8號,14294,11879,33667,14294,9399,25532,2013-09-01T00:00:00,2016-07-01T00:00:00,2,9,2649,38,22.29757947,114.2751223
2-WBPPPPAYPP,裕東苑,,達東路33號,9721,8669,14620,9721,6512,10960,1997-07-10T00:00:00,1997-07-10T00:00:00,0,5,2640,28,22.28683881,113.9429473
2-BEPPWPPHPW,尚悅,,十八鄉路11號,13077,9287,22632,13077,6805,15602,2013-10-01T00:00:00,2013-10-01T00:00:00,0,12,2580,24,22.4379153,114.0323273
2-EGEPWPPYPK,麗翠苑,,荔枝角道608號,6034,,,6034,,,,,0,4,2545,0,22.33390173,114.1548395
2-ABPPWPPHPS,長發邨,,擔杆山路6號,7620,,,7620,,,1989-02-01T00:00:00,1989-09-01T00:00:00,0,4,2528,0,22.36251368,114.1039116
3-EGPPWPPEPK,泓景臺,,荔枝角道863號,17323,15264,27445,17323,10776,20259,2003-06-30T00:00:00,2004-07-01T00:00:00,3,7,2528,45,22.33432494,114.1471806
2-SDDSGPWABK,海怡半島,4 期 御庭園,怡南路28號,16045,15634,51630,16045,12470,41215,1994-12-19T00:00:00,1995-03-28T00:00:00,0,10,2520,0,22.24297158,114.1498191
3-GYPBBPWRPS,駿景園,,駿景路1號,13606,12008,18393,13606,10113,16081,1995-09-13T00:00:00,1996-12-23T00:00:00,2,10,2504,33,22.40046537,114.2021051
3-SSWDBPPYPG,均益大廈,,德輔道西,14914,13784,18717,14914,11133,14583,1974-02-12T00:00:00,1978-06-01T00:00:00,3,7,2504,22,22.2874633,114.1383601
2-XSHNIHSXTT,沙田第一城,1期,得利街4號,15374,11489,20795,15374,9627,17215,1980-10-01T00:00:00,1981-06-02T00:00:00,0,14,2502,0,22.38803019,114.2031322
3-GWSBPPDYPB,太湖花園,,大埔頭路18號,14136,12932,17415,14136,9760,12632,1992-03-12T00:00:00,1994-12-28T00:00:00,2,15,2476,21,22.45404434,114.1607567
2-ESPPWPPHPA,海濱南岸,,愛景街8號,17791,16020,25295,17791,12338,19481,2002-08-01T00:00:00,2002-08-01T00:00:00,0,7,2470,0,22.30300025,114.1862104
2-SDDSGPWAAK,海怡半島,3 期,海怡路22號,16230,14358,38726,16230,11258,30907,1993-12-20T00:00:00,1994-02-02T00:00:00,0,8,2468,0,22.24230304,114.1482865
2-ABYWPPPVPP,青華苑,,青芊街22號,11573,10388,14721,11573,8102,10923,1986-03-01T00:00:00,1987-05-27T00:00:00,0,6,2460,0,22.34869499,114.0996958
2-VJROQRFVRQ,欣盛苑,,華明路15號,9168,9567,11222,9168,7465,8755,1993-09-24T00:00:00,1993-09-24T00:00:00,0,7,2450,35,22.48673103,114.1397629
2-XITNZHZXHD,富寧花園,,寶寧路25號,10250,10811,13131,10250,9712,11797,1990-04-02T00:00:00,1990-04-02T00:00:00,0,6,2450,35,22.31932938,114.2678872
2-DFJJURSERV,豐盛苑,,豐石街2-6號,11851,11837,13386,11851,8369,9462,1985-04-15T00:00:00,1985-04-15T00:00:00,0,3,2448,34,22.37169569,114.18839
2-EWPPWPPEPD,興田邨,,連德道8號,7675,12415,12415,7675,,,1987-10-01T00:00:00,1988-01-01T00:00:00,0,3,2448,34,22.31321136,114.2387084
2-GWPPPPDRPB,寶雅苑,,大埔太和路2號,10396,11732,13292,10396,8918,10125,1989-07-31T00:00:00,1989-12-20T00:00:00,0,3,2448,34,22.45092869,114.1593581
2-EGPPWPPJPK,昇悅居,,荔枝角道833號,18398,15682,21693,18398,11901,15980,2003-08-01T00:00:00,2003-08-01T00:00:00,0,7,2435,45,22.3345781,114.1488405
2-BYPPGPYHPG,嘉盛苑,,百和路33號,6137,7426,10989,6137,5428,8021,1995-06-20T00:00:00,1995-06-20T00:00:00,0,4,2432,38,22.49357475,114.1344259
2-NIHHZHSHHD,景盛苑,,一鳴路8號,7319,8361,12283,7319,6098,8967,1995-11-08T00:00:00,1996-02-15T00:00:00,0,4,2432,38,22.48686689,114.1415704
2-SGEAWPWVPG,東熹苑,,耀興道38號,8979,12821,15625,8979,9321,11351,1995-12-11T00:00:00,1995-12-11T00:00:00,0,4,2432,38,22.2800121,114.2190059
2-EWAYWPWJPD,康柏苑,,碧雲道139號,12246,11155,14913,12246,8704,11634,1993-03-25T00:00:00,1993-04-14T00:00:00,0,7,2410,35,22.30270848,114.2394801
2-BSPPWPPYPS,屏欣苑,,屏夏路65號,9414,12281,15885,9414,,,,,0,3,2409,1,22.44575266,114.0037094
3-AESPWPPAPK,海之戀,,大河道100號,19531,18110,28399,19531,,,2018-07-01T00:00:00,2018-11-01T00:00:00,2,14,2406,0,22.36830481,114.1098313
2-BYPWGPAXPG,雍盛苑,,暉明道8號,8031,9689,10023,8031,7167,7433,2000-03-29T00:00:00,2000-03-29T00:00:00,0,3,2401,0,22.48299199,114.1378593
3-TNDTZHTRHT,城市花園,,電氣道233號,16011,14721,25926,16011,13234,22629,1982-12-31T00:00:00,1986-05-30T00:00:00,2,14,2393,27,22.29063669,114.1940116
