frame,length,angle
0,518.3454447,-0.523214051
1,955.9063762,-0.55782309
2,501.4538862,-0.592427353
3,532.0009398,-0.645380806
4,747.3426256,-0.663038237
5,1256.307287,-0.698611066
6,874.6862295,-0.715818608
7,1029.536789,-0.733176087
8,1044.33711,-0.750182376
9,668.3240232,-0.767410686
10,1337.342514,-0.767948851
11,1334.514518,-0.76791187
12,750.36058,-0.767492443
13,1332.275122,-0.750892481
14,631.8267168,-0.750697652
15,688.9876632,-0.715553113
16,1229.416122,-0.697862615
17,787.9505061,-0.663046728
18,634.8015438,-0.645706524
19,443.2617737,-0.626805909
39,707.0176801,0.575841571
40,669.4871171,0.627368657
41,755.9371667,0.662551463
42,797.1605861,0.663573695
43,973.2774527,0.714867136
44,935.3608929,0.750616432
45,803.2733034,0.785398163
46,1074.802307,0.785398163
47,1143.370456,0.820037767
48,810.0419742,0.837797705
49,1237.733412,0.837981225
50,708.0826223,0.854357714
51,696.7962399,0.855476506
52,1416.867319,0.837823844
53,1255.423833,0.837803605
54,868.834852,0.819586791
55,1108.920196,0.803253409
56,1257.235857,0.785398163
57,865.2687444,0.733072812
58,794.9855345,0.69812045
59,626.1022281,0.697192259
60,507.0009862,0.645473493
61,906.8897397,0.61063563
62,490.5670189,0.558599315
79,437.3934156,-0.454445415
80,506.2351232,-0.505179857
81,491.1720676,-0.541117824
82,550.8575133,-0.5759186
83,484.0661112,-0.626973688
84,532.6030417,-0.646880743
85,1051.538397,-0.680978794
86,547.2339536,-0.698715794
87,623.0417321,-0.716112205
88,1031.692299,-0.732598963
89,1347.139933,-0.750748172
90,1229.001627,-0.75029457
91,845.4897989,-0.751101993
92,1388.176502,-0.750753519
93,641.0382204,-0.750092751
94,874.4855631,-0.732815102
95,818.7142359,-0.715382926
96,610.481777,-0.697255049
97,795.1414968,-0.662366795
98,724.4805035,-0.628593323
99,607.5425911,-0.609916903
100,431.5889248,-0.575792413
101,458.3121207,-0.523205632
118,633.9479474,0.523646182
119,532.8461316,0.540097646
120,726.0034435,0.610161758
121,630.6671071,0.628912864
122,695.3330137,0.66306133
123,853.4260366,0.71574359
124,1007.609547,0.732741334
125,894.324326,0.750602087
126,782.8824944,0.802559983
127,876.9503977,0.803138238
128,1092.440387,0.820358007
129,1139.13037,0.820166755
130,1232.753422,0.837619452
131,1405.495286,0.837240837
132,833.3816653,0.837178514
133,1342.899847,0.820157603
134,951.9170132,0.803226883
135,1441.08362,0.785398163
136,894.6379156,0.767218348
137,740.0716182,0.750994917
138,966.8795168,0.715132799
139,947.0543807,0.680677548
140,919.0021763,0.645677384
141,822.2633398,0.609928914
142,881.8123383,0.558118488
161,551.7109751,-0.540730349
162,986.8905714,-0.575355723
163,1003.723069,-0.61121568
164,995.4024312,-0.645711272
165,516.9419697,-0.679876849
166,662.9781294,-0.697828262
167,771.9617866,-0.714808574
168,625.9281109,-0.733408855
169,1188.155714,-0.733002778
170,667.7012805,-0.73348303
171,627.340418,-0.733526002
172,749.8353153,-0.733508995
173,989.9191886,-0.732514756
174,1234.797149,-0.715477887
175,1235.051416,-0.698263039
176,855.3765253,-0.680218339
177,684.8014311,-0.645545498
