frame,length,angle
0,1003.613471,0.243528688
2,675.784729,0.260411752
3,1117.032676,0.261698061
4,633.5929293,0.261822399
6,562.7663814,0.279031902
7,625.1279869,0.278739123
9,629.4704123,0.261932723
10,1082.827779,0.261554206
11,546.502516,0.260955999
12,583.2983799,0.244147062
13,655.3319769,0.243498279
14,1058.113888,0.226869685
15,523.4739726,0.209759111
16,952.800084,0.209334062
17,1035.11352,0.192469491
18,1004.189723,0.174153018
19,987.2436376,0.157655062
20,987.6882099,0.140178843
21,1060.872283,0.121899721
22,954.1498834,0.103944359
23,611.3018894,0.086809195
24,694.9856114,0.053263694
25,949.5735885,0.03475944
26,827.1184921,0.016927041
27,701,0
28,956.5693911,-0.034505128
29,1087.494828,-0.052438071
30,1087.589077,-0.069014642
31,953.6188966,-0.087147132
32,630.4641148,-0.104876939
33,1168.425436,-0.13996048
34,1164.312673,-0.156959084
35,1180.929295,-0.174475986
36,1187.700299,-0.191451112
37,1188.939864,-0.20927227
38,1193.704318,-0.227301171
39,1199.581594,-0.244169929
40,643.7701453,-0.260802512
41,674.1112668,-0.262609078
42,1207.812071,-0.2793232
43,695.2941823,-0.296278358
44,1211.85684,-0.296436203
45,652.5771985,-0.297034309
46,753.9084825,-0.314200362
47,1219.724969,-0.314231899
48,1217.823058,-0.314739503
49,843.4008537,-0.314626565
50,1132.443818,-0.314210904
51,1219.724969,-0.314231899
52,820.9567589,-0.313276181
53,638.1676896,-0.313822078
54,1209.944214,-0.296919058
55,609.5678797,-0.296327906
56,1214.130965,-0.279544143
57,690.6011874,-0.262188063
58,1113.876115,-0.261527675
59,1209.768573,-0.243775777
60,1205.846591,-0.226674532
61,1187.9617,-0.209447147
62,1142.000438,-0.192071894
63,1139.336649,-0.174672199
64,1192.750183,-0.157430016
65,1143.111981,-0.139546447
66,1138.517018,-0.122393999
67,627.3762826,-0.10379234
68,673.6415961,-0.069826768
69,952.3134988,-0.052527871
70,961.6012687,-0.035365062
71,550.0736314,-0.016362176
72,668.0905627,0.016465578
73,850.494562,0.034104418
74,961.3012015,0.052036315
75,945.3068285,0.069875449
76,957.6037803,0.086783571
77,589.2927965,0.120776816
78,615.8936597,0.138452751
79,610.437548,0.15626122
80,609.1182151,0.173245666
81,546.9780617,0.191300261
82,666.4082833,0.193275513
83,1086.758943,0.209486651
84,1125.796607,0.226665692
85,561.4712815,0.242818839
86,1084.134678,0.244083809
88,957.668523,0.261947652
89,1086.950321,0.261491333
90,653.4990436,0.263165225
92,576.0902707,0.277822787
94,637.7154538,0.261713502
95,1083.7938,0.261315616
97,699.9578559,0.245325163
98,562.6828592,0.244116594
99,1037.501807,0.226509872
101,765.690538,0.209177801
102,1316.155386,0.191882279
103,1086.56385,0.174832139
104,1319.339987,0.157547578
105,1085.553315,0.139552088
106,1086.173559,0.122756275
107,1086.99448,0.105069552
108,703.6490603,0.086799896
109,680.624713,0.069109206
110,956.6044114,0.03554987
111,955.1512969,0.017799167
112,952,0
113,953.1516144,-0.017836513
114,570.7372425,-0.050833363
115,1108.747041,-0.070407838
116,1111.241648,-0.087400977
117,1116.149184,-0.105017625
118,1107.260584,-0.122226623
119,1110.727689,-0.139095941
120,621.4563541,-0.174672199
121,688.576067,-0.191414429
122,637.8087488,-0.208465218
123,631.1806398,-0.226917599
124,651.7929119,-0.22748882
125,1176.783752,-0.24374206
126,1187.374414,-0.26152465
127,697.9290795,-0.278693282
128,1185.69642,-0.278531355
129,712.0568798,-0.296433885
130,1186.85888,-0.296702489
131,578.0864987,-0.312998043
132,790.5947129,-0.313750725
133,1198.540779,-0.313835152
134,1200.751848,-0.314113094
135,1201.702958,-0.313855982
136,1199.800817,-0.314370615
137,745.373061,-0.313689634
138,611.7728337,-0.296936621
139,1200.460328,-0.296722843
140,677.5750881,-0.296545809
141,1197.37254,-0.279217406
142,624.1666444,-0.27917994
