locationid,name,query,number,address,lat,lon,placeid
1,Our Lady of Maryknoll Hospital,118 SHATIN PASS ROAD,236,"118 Shatin Pass Rd, Chuk Un, Hong Kong",22.3456184,114.1965948,ChIJGUimkN4GBDQRHHamGYMgMYs
2,The Hong Kong Buddhist Hospital,10 HENG LAM STREET,364,"10 Heng Lam St, Lo Fu Ngam, Hong Kong",22.3356331,114.1883828,ChIJD6QnoSkHBDQRshhm71u3hFs
3,Tung Wah Group of Hospitals Wong Tai Sin Hospital,124 SHATIN PASS ROAD,531,"124 Shatin Pass Rd, Chuk Un, Hong Kong",22.3467993,114.1965574,ChIJ04tTYt4GBDQR7AYDDL1ET4w
