W9NE,3303616558T20050430,1103121016,Chiu Chow Association Building,潮州會館,114.14554224370272,22.2879940053571,0,3.7,Estimation (e.g. by no. of storeys),40.299999,Photogrammetry,36.599999,x
W9SW,3298216530T20161117,1810156458,AVA128,,114.14499240285414,22.28767006091307,0,3.7,Building Plan,98.800003,GPS Only,95.100003,x
W9NW,3298416570T20050430,1103121008,Lucky Commercial Centre,樂基商業中心,114.14499887850776,22.28802343330241,0,3.5,LiDAR,79.0,Photogrammetry,75.5,x
W10NE,3284216568T20050430,1103120999,Tak Tung House,德東樓,114.14363435866949,22.288048033193622,0,3.4,LiDAR,48.299999,Photogrammetry,44.899999,x
W10SE,3282716540T20050430,1103121193,Luen Tak Building,聯德大廈,114.14349961778692,22.287704716050648,0,3.6,LiDAR,45.599998,Photogrammetry,41.999998,x
W10SW,3278416542T20050430,1103121183,Wai Tak Building,惠德大廈,114.14309903700799,22.287719385836503,0,3.7,LiDAR,55.400002,Photogrammetry,51.700002,x
W10NW,3279116569T20050430,1103120982,Wing Fat Mansion,永發樓,114.14314659053761,22.288068272549086,0,3.3,LiDAR,32.700001,Photogrammetry,29.400001,x
W11NE,3262316575T20050430,1103120926,Tak May House,德美樓,114.1415445410029,22.288134134363894,0,4.2,LiDAR,26.0,3D Project,21.8,x
W11SE,3263716542T20050430,1103121148,Tung Che Commercial Centre,東慈商業中心,114.14165476814212,22.287771430978342,0,13.7,Photogrammetry,92.599998,3D Project,78.899998,x
W11SW,3260316549T20050430,1103121139,Ching Tak Building,正德大廈,114.14134752955223,22.287757501507908,0,4.3,Ordinary Leveling,54.299999,Photogrammetry,49.999999,x
W11NW,3259716576T20050430,1103120932,Wah Lap House,華立大樓,114.14128735350339,22.28813422255886,0,4.3,LiDAR,24.1,3D Project,19.8,x
W12NE,3242116543T20050430,1103121082,Tin Hing Building,天興大廈,114.13952673360734,22.28784796592336,0,3.7,LiDAR,45.900002,Photogrammetry,42.200002,x
W12SE,3243716498T20050430,1103121419,Siu Cheung Building,兆祥大廈,114.1396977020363,22.28739286053638,0,10.8,Photogrammetry,73.0,Photogrammetry,62.2,x
W12SW,3239216498T20050430,1103121425,Liang Ga Building,良基大廈,114.13928645778843,22.287364652911908,0,12.4,Photogrammetry,86.300003,Photogrammetry,73.900003,x
W12NW,3237916537T20170223,1810159283,Bohemian House,,114.1391234427348,22.287721546961496,0,17.299999,Building Plan,100.5,Building Plan,83.200001,x
W13NE,3225316505T20050430,1103121272,Kwan Yick Building Phase II Block B,均益大廈第二期Ｂ座,114.13787486182721,22.287537662134856,0,9.8,Photogrammetry,80.199997,Trigonometrical Height or GPS,70.399997,x
W13SE,3223316459T20050430,1103121646,Chung Ah Building,中亞大樓,114.13777498766898,22.28698982485944,0,4.0,LiDAR,51.900002,Photogrammetry,47.900002,x
W13SW,3220816451T20050430,1103121710,Lucky Building,幸運樓,114.13752934387249,22.286887318843267,0,4.1,LiDAR,33.599998,Photogrammetry,29.499997999999998,x
W13NW,3217516509T20150615,1810143106,Upton,維港峰,114.13716941043927,22.287472351801195,0,16.799999,Building Plan,157.5,GPS Only,140.700001,x
W14NE,3209316457T20050430,1103121694,Lun Fung Court,龍豐閣,114.13625883050031,22.28694236722581,0,18.799999,Photogrammetry,111.099998,Photogrammetry,92.299999,x
W14SE,3207016411T20050430,1103121987,,,114.13616956739209,22.28651141665133,0,3.8,LiDAR,45.799999,Trigonometrical Height or GPS,41.999999,x
W14SW,3202116412T20050430,1103121900,Pacific Plaza,太平洋廣場,114.1356466890471,22.286595131857258,0,20.200001,Photogrammetry,92.900002,Photogrammetry,72.700001,x
W14NW,3204216477T20050430,1103121540,Hong Kong Plaza,香港商業中心,114.13591891904318,22.28710521328727,0,18.6,Photogrammetry,152.0,3D Project,133.4,x
W15SE,3183916450T20050430,1103121696,Mei Sun Lau Block A,美新樓Ａ座,114.13390543362746,22.286883041694825,0,12.6,Photogrammetry,75.400002,Photogrammetry,62.800002,x
W15SW,3179316460T20050430,1103121624,Hong Kong Industrial Building,香港工業大廈,114.13345744574775,22.286974150215116,0,19.700001,Photogrammetry,79.599998,3D Project,59.899997,x
W16NE,3171016430T20050430,1103121801,Wo Fat Building,和發大廈,114.13267441357632,22.286793435691976,0,10.6,Photogrammetry,66.199997,Photogrammetry,55.599996999999995,x
W16SE,3168416404T20050430,1103121970,Sum Way Mansion,三匯大廈,114.13251555962991,22.286496991791598,0,3.9,LiDAR,79.900002,3D Project,76.000002,x
