k,Easting,Northing
1-EYDAWPDRPB,837884,821238
1-EYDBGPDVPB,837634,820999
1-EYDBWPDVPK,838221,821895
1-EYDEBPYJPB,837701,821142
1-EYDEGPWJPB,837793,821150
1-EYDEWPDYPK,838221,821895
1-EYDEWPSJPB,837295,821394
1-EYDGGPBHPS,838429,823015
1-EYDGGPBJPB,837619,821113
1-EYDGGPBVPS,838441,823014
1-EYDGGPYEPS,838462,822735
1-EYDGGPYVPS,838471,822733
1-EYDGWPKRPB,837640,821169
1-EYDGWPWXPY,839578,821899
1-EYDGWPYHPB,837736,821148
1-EYDKGPDSPB,837626,820997
1-EYDKGPPASS,838155,823057
1-EYDKGPPXPS,837676,822951
1-EYDPBPBVPS,838412,822837
1-EYDSBPBRPS,838412,822890
1-EYDSBPGYPB,837682,821074
1-EYDWBPYRPB,837703,821172
1-EYDWGPWRPB,837797,821173
1-EYDYGPAJPB,837859,821165
1-EYDYWPDOPK,838231,821888
1-EYDYWPWAPS,838950,823065
1-EYDYWPWEPS,838914,823053
1-EYDYWPWJPS,838935,823068
1-EYEABPDSPB,837510,820979
1-EYEAGPYSPB,837703,821182
1-EYEAPPKRPS,838255,822717
1-EYEBGPGSPB,837518,821083
1-EYEBGPYYPS,838470,822889
1-EYEDGPYRPS,838494,822764
1-EYEDGPYSPS,838495,822785
1-EYEDGPYVPS,838492,822775
1-EYEDPPBRPB,837682,821044
1-EYEDPPKJPS,838242,822744
1-EYEDWPDSPK,838231,821888
1-EYEDWPDSPS,838381,822849
1-EYEEBPWSPB,837756,821253
1-EYEEPPBRPS,838336,822806
1-EYEEPPWJPB,837738,821178
1-EYEEWPBAPB,837526,821043
1-EYEGPPBJPB,837675,821042
1-EYEKPPWXPB,837747,821194
1-EYEKWPDRPK,838221,821895
1-EYEKWPGRPB,837691,821108
1-EYEPBPAAPB,837825,821180
1-EYEPBPBHPS,838412,822795
1-EYEPBPBOPS,838412,822795
1-EYEPPPWAPB,837738,821169
1-EYEPWPDAPB,837883,821207
1-EYESBPWSPB,837763,821246
1-EYESPPYAPS,838349,822852
1-EYESWPDAPK,838210,821902
1-EYEWPPDSPA,837412,821804
1-EYEWPPDSPB,837592,821111
1-EYEWWPDRPS,838367,822852
1-EYEYBPAEPB,837826,821228
1-EYEYBPARPB,837826,821234
1-EYEYGPARPB,837859,821161
1-EYEYGPPXPB,837354,821143
1-EYEYPPBXPS,838310,822810
1-EYGABPESPK,838320,821701
1-EYGABPPSPB,837354,821051
1-EYGABPYXPB,837701,821147
1-EYGBBPBSPK,838160,821664
1-EYGBGPYAPS,838479,822951
1-EYGBGPYSPS,838464,822972
1-EYGBGPYVPS,838477,822973
1-EYGBWPGSPB,837681,821108
1-EYGDGPBXPB,837623,821131
1-EYGDGPYRPS,838505,822937
1-EYGDGPYSPB,837705,821208
1-EYGDWPYXPB,837736,821153
1-EYGEWPDRPS,838251,822822
1-EYGGGPARPB,837859,821152
1-EYGGGPBOPS,838419,823015
1-EYGGWPWXPK,838084,821794
1-EYGKGPKAPB,837452,821175
1-EYGKPPKSPK,838422,821731
1-EYGKWPDAPB,837885,821243
1-EYGPBPBJPS,838414,822832
1-EYGPGPYAPB,837696,821176
1-EYGPPPBYPY,839557,821826
1-EYGPWPDSPB,837883,821220
1-EYGSBPESPB,837498,821048
1-EYGSGPDAPB,837585,820989
1-EYGSGPWYPB,837804,821136
1-EYGSPPBEPB,837646,821205
1-EYGSWPGSPB,837705,821113
1-EYGWGPAXPB,837860,821170
1-EYGWWPWAPS,838943,823103
1-EYGYWPDXPS,838372,822849
1-EYGYWPWAPS,838888,823097
1-EYGYWPWHSS,838810,823077
1-EYGYWPWJSS,838851,823087
1-EYGYWPWRPS,838800,823044
1-EYGYWPWYPS,838764,823034
1-EYKAPPWHPB,837746,821189
1-EYKBGPAJPK,838334,821689
1-EYKBWPKAPB,837646,821164
1-EYKDBPWAPB,837796,821102
1-EYKDPPAOPB,837338,821198
1-EYKEPPEXPB,837471,820998
1-EYKGBPAXPB,837825,821218
1-EYKGGPKXPB,837452,821187
1-EYKGPPEVPB,837467,821013
1-EYKGPPWXPB,837739,821222
1-EYKKBPBXPB,837595,821272
1-EYKKBPYSPB,837702,821152
1-EYKKGPGXPB,837524,821083
1-EYKKPPKAPB,837409,821005
1-EYKPBPWXPB,837763,821242
1-EYKSGPBAPB,837621,821045
1-EYKSWPSXPB,837292,821368
1-EYKWWPWSPS,838779,823116
1-EYKYGPAAPK,838342,821694
1-EYKYGPKXPY,839540,821800
1-EYKYWPSAPB,837467,820992
1-EYKYWPWOPS,838792,823084
1-EYKYWPWYPS,838792,823090
1-EYKYWPYYPK,838214,821878
1-EYPABPBSPS,838414,822921
1-EYPABPWAPB,837768,821258
1-EYPAPPKRPB,837410,820999
1-EYPAPPKSPS,838288,822716
1-EYPAPPWAPB,837746,821185
1-EYPBGPYYPS,838469,822815
1-EYPBWPPAPB,837386,820976
1-EYPDBPBAPB,837621,821045
1-EYPDGPKXPB,837453,821192
1-EYPDGPPJPB,837352,821093
1-EYPEBPPXPB,837349,821040
1-EYPEWPDXPB,837884,821230
1-EYPEWPDXPS,838256,822827
1-EYPGPPSVPB,837389,821085
1-EYPGPPWXPK,838153,821874
1-EYPKGPBSPB,837622,821059
1-EYPPBPBSPS,838414,822765
1-EYPPPPBSPY,839579,821783
1-EYPPWAPEPB,837518,820981
1-EYPPWAPXPA,837931,821302
1-EYPPWAPXPB,837387,821043
1-EYPPWAPXPS,838553,822944
1-EYPPWBPEPB,837464,821037
1-EYPPWBPXPB,837195,821069
1-EYPPWDPEPB,837499,821033
1-EYPPWDPJPS,838505,822878
1-EYPPWEPEPB,837453,821152
1-EYPPWEPXPB,837388,821076
1-EYPPWEPXPS,839448,822397
1-EYPPWGPEPB,837888,821256
1-EYPPWGPXPB,837385,821010
1-EYPPWKPEPB,837567,821214
1-EYPPWKPXPA,837883,821314
1-EYPPWKPXPB,837734,821059
1-EYPPWPPJPB,837827,821193
1-EYPPWSPEPB,837643,821056
1-EYPPWSPXPB,837407,820979
1-EYPPWSPXPS,838498,822711
1-EYPPWSPXPY,839571,822473
1-EYPPWYPXPB,837349,821006
1-EYPPWYPXPK,838691,821761
1-EYPSBPPAPB,837354,821036
1-EYPSGPWOPB,837793,821132
1-EYPSWPKAPS,838299,822764
1-EYPSWPSXPB,837293,821347
1-EYPWBPAAPB,837826,821238
1-EYPWGPKAPB,837447,821206
1-EYPWPPAXPB,837333,821207
1-EYPWWPWJES,838460,822940
1-EYPWWPWJSS,838945,823088
1-EYPYPPGSPB,837562,821023
1-EYPYWPKSPB,837647,821179
1-EYSAGPEJPB,837290,821008
1-EYSDGPYJPS,838493,822749
1-EYSDPPYSPS,838316,822849
1-EYSDWPGXPB,837673,821113
1-EYSEPPKRPB,837411,820994
1-EYSGBPAXPB,837824,821208
1-EYSGBPBRPB,837620,821026
1-EYSGPPEAPB,837467,821013
1-EYSGWPWYPY,839509,821938
1-EYSKBPKXPB,837447,821060
1-EYSKWPPRPB,837382,820967
1-EYSPBPBEPS,838412,822779
1-EYSPBPBVPS,838414,822788
1-EYSPPPGRPB,837531,821083
1-EYSSBPAJPB,837825,821184
1-EYSSBPBXPS,838412,822890
1-EYSSGPAHPB,837826,821253
1-EYSSWPDJPB,837884,821225
1-EYSSWPKRPB,837644,821143
1-EYSWBPGJPB,837563,821084
1-EYSYPPWRPB,837739,821226
1-EYWBGPDAPB,837645,821004
1-EYWDBPBJPB,837621,821045
1-EYWDPPPJPB,837803,821264
1-EYWDWPAYPS,838323,822717
1-EYWDWPDAPS,838377,822853
1-EYWGGPAHPK,838336,821696
1-EYWGGPYJPS,838488,822729
1-EYWKBPKRPB,837448,821069
1-EYWKWPYRPB,837735,821139
1-EYWPBPYYPB,837699,821130
1-EYWSPPYXPS,838344,822849
1-EYWWBPAJPB,837827,821243
1-EYWWGPAYPK,838344,821700
1-EYWWWPDJPS,838358,822852
1-EYWYBPPRPB,837355,821083
1-EYWYPPBSPB,837675,821056
1-EYWYPPGRPB,837562,821031
1-EYWYWPESPK,838241,821874
1-EYWYWPYEPB,837737,821159
1-EYYABPESPB,837498,821061
1-EYYAPPKXPS,838318,822749
1-EYYBPPAEPB,837333,821181
1-EYYBPPKAPB,837409,821015
1-EYYBPPYRPS,838325,822849
1-EYYBWPEOPB,837328,821066
1-EYYBWPYAPB,837735,821143
1-EYYDBPAVPK,838319,821686
1-EYYDGPARPB,837860,821157
1-EYYDPPKSPB,837401,821028
1-EYYDPPKSPS,838244,822771
1-EYYDWPESPB,837329,821076
1-EYYDWPGAPB,837649,821108
1-EYYEGPKSPB,837452,821165
1-EYYEPPGXPB,837561,821011
1-EYYEWPDSPB,837884,821233
1-EYYGGPBEPS,838454,823013
1-EYYGGPBVPS,838483,823011
1-EYYGGPYAPS,838479,822731
1-EYYKWPBSPB,837527,821061
1-EYYPBPGEPK,838292,821682
1-EYYPGPAOPK,838328,821691
1-EYYPWPYSPB,837736,821104
1-EYYSGPWAPB,837799,821145
1-EYYSPPAAPB,837332,821157
1-EYYSWPKXPS,838271,822767
1-EYYWBPWRPB,837794,821122
1-EYYWPPEJPB,837470,821048
1-EYYYBPYSPB,837703,821157
1-EYYYGPWSPB,837801,821165
1-EYYYPPBRPS,838301,822802
1-GDEPBPSVPA,845206,821177
1-GDGAPPDXPA,845965,820493
1-GEPPWAPXPK,831245,840720
1-GEPPWBPXPD,831223,839564
1-GEPPWKPVPB,832545,839990
1-GEPPWKPXPD,831223,839564
1-GEPPWSPXPY,832066,839099
1-GEPPWWPXPB,832853,839970
1-GEPPWYPXPB,832846,839904
1-GGAWBPBXPS,845972,826949
1-GGAWBPBYPS,845975,826953
1-GGBEBPKXPS,846114,826781
1-GGBSBPKYPS,846035,826935
1-GGBWBPBXPS,845985,826965
1-GGBWGPWRPS,846013,826856
1-GGDPBPEOPS,,
1-GGDWGPWSPS,846002,826951
1-GGEKBPYXPS,846095,826879
1-GGESBPKHPS,846167,826867
1-GGESBPKXPS,846142,826888
1-GGGKBPYXPS,846086,826867
1-GGGWBPBXPS,845993,826973
1-GGGWGPWJPS,846026,826846
1-GGGWGPWRPS,846033,826839
1-GGGWGPWXPS,846022,826849
1-GGKEBPKXPS,846118,826785
1-GGKKBPYXPS,846090,826871
1-GGKPGPBXPS,846195,826946
1-GGKWBPBXPS,845979,826957
1-GGKWBPBYPS,845982,826961
1-GGPBBPYXPS,846079,826859
1-GGPEBPKVPS,846131,826800
1-GGPKBPYXPS,846103,826887
1-GGPSBPKSPS,846035,826977
1-GGSEBPKYPS,846128,826796
1-GGSKBPYXPS,846099,826883
1-GGSSBPKEPS,846043,826970
1-GGSSBPKXPS,846039,826973
1-GGSWBPBYPS,845962,826937
1-GGWSBPKYPS,846138,826808
1-GGWWGPWXPS,845992,826939
1-GGYSBPKXPS,846148,826821
1-GGYWBPBYPS,846051,826988
1-GWAAGPGXPS,834992,834788
1-GWABPPDXPS,835507,834271
1-GWABPPDYPS,835514,834280
1-GWABWPDXPS,835105,834344
1-GWADWPAJPS,835048,834290
1-GWAEGPGXPS,835003,834785
1-GWAGBPGXPS,835068,834768
1-GWAPPPKAPS,835061,834246
1-GWAPWPSJPS,835171,834200
1-GWASPPAVPS,835209,834405
1-GWASPPKAPS,835082,834271
1-GWASWPSJPS,835193,834160
1-GWAWBPBAPS,834913,834418
1-GWAWBPGXPS,835095,834824
1-GWAWPPWXPS,834997,834299
1-GWBBGPBXPS,834883,834410
1-GWBBPPAXPS,835060,834429
1-GWBDBPEJPS,835061,834944
1-GWBDBPEXPS,835049,834914
1-GWBDPPAVPS,835179,834362
1-GWBDPPAYPS,835159,834371
1-GWBDPPYXPS,835097,834264
1-GWBGBPERPS,835034,834886
1-GWBGPPYXPS,835089,834268
1-GWBSBPSXPS,835036,834339
1-GWBWBPGHPS,835100,834877
1-GWBWGPAXPS,835115,834313
1-GWBWGPYXPS,835421,834241
1-GWBWPPAXPS,835240,834328
1-GWBWWPYEPS,834965,834292
1-GWBYGPYYPS,835415,834156
1-GWDAPPWVPS,834963,834328
1-GWDBBPSEPS,835017,834415
1-GWDKGPGXPS,835094,834988
1-GWDSPPKXPS,835076,834281
1-GWEABPSJPS,835032,834360
1-GWEAWPKXPS,835161,834180
1-GWEBPPWXPS,834943,834384
1-GWEDPPAVPS,835141,834381
1-GWEDWPDXPS,835142,834322
1-GWEGWPAXPS,835023,834241
1-GWESPPAHPS,835116,834445
1-GWESPPAOPS,835162,834423
1-GWESPPAXPS,835104,834440
1-GWEYPPAXPS,835195,834359
1-GWGAPPAXPS,835459,834272
1-GWGDWPDXPS,835146,834322
1-GWGEPPAJPS,835433,834285
1-GWGGBPSHPS,835011,834426
1-GWGGWPAXPS,835025,834248
1-GWGGWPDXPS,835127,834328
1-GWGPPPAXPS,835089,834448
1-GWGWBPBRPS,834918,834409
1-GWGWPPWVPS,834993,834306
1-GWGYBPBXPS,834908,834434
1-GWGYGPYXPS,835424,834179
1-GWGYWPAXPS,835058,834307
1-GWGYWPBXPS,835318,834204
1-GWKAPPAAPS,835449,834277
1-GWKDWPKXPS,835218,834302
1-GWKGWPDXPS,835118,834332
1-GWKGWPKXPS,835209,834287
1-GWKKWPKXPS,835165,834222
1-GWKSGPBXPS,834923,834381
1-GWKWWPEXPS,835052,834465
1-GWPABPEXPS,835083,834829
1-GWPABPGXPS,835047,834721
1-GWPABPGYPS,835054,834730
1-GWPAPPAAPS,835443,834291
1-GWPAPPKXPS,835099,834317
1-GWPAWPSXPS,835200,834153
1-GWPBGPAXPS,835067,834831
1-GWPBWPDXPS,835094,834344
1-GWPDPPWOPS,834941,834406
1-GWPDPPYXPS,835096,834273
1-GWPDWPAXPS,835029,834253
1-GWPDWPDXPS,835133,834323
1-GWPEPPKEPS,835082,834294
1-GWPKPPWAPS,834956,834360
1-GWPKPPWXPS,834958,834352
1-GWPPBPSJPS,835045,834300
1-GWPPGPEXPS,835058,835001
1-GWPSBPSRPS,835040,834322
1-GWPSPPAXPS,835099,834443
1-GWPWPPYXPS,835106,834259
1-GWPYPPYXPS,835105,834269
1-GWSAPPKRPS,835104,834332
1-GWSAWPEXPS,835314,834299
1-GWSBBPSXPS,835019,834400
1-GWSDPPWXPS,834936,834424
1-GWSGBPSSPS,835015,834421
1-GWSYGPAXPS,835107,834317
1-GWWKBPSXPS,835027,834385
1-GWWPWPBXPS,835289,834149
1-GWYAPPASPS,835471,834268
1-GWYDBPEXPS,835087,834907
1-GWYDWPDXPS,835155,834318
1-GWYGBPSVPS,835008,834440
1-GWYSBPSXPS,835033,834346
1-GWYWWPARPS,835054,834225
1-GWYWWPEXPS,835067,834458
1-GWYYGPAXPS,835114,834320
1-GYBKWPPXPS,836254,826147
1-GYESPPEXPS,836356,826333
1-GYGKWPPXPS,836290,826165
1-GYKGPPEJPS,836479,826398
1-GYPABPYXPS,836414,826149
1-GYPAWPWXPS,838549,826874
1-GYPBPPSXPS,836369,826299
1-GYPDGPPVPS,836320,826325
1-GYPPBPYXPS,836403,826162
1-GYPPWEPXPK,836223,826186
1-GYPYBPYXPS,836455,826099
1-GYSBBPDJPS,836882,826680
1-GYSGPPEEPS,836453,826392
1-GYWAWPSXPS,836332,826319
1-GYWKWPPXPS,836319,826195
1-GYYKWPPXPS,836303,826174
1-KEPPWAPXPK,815625,828945
1-KEPPWEPHPB,816323,826577
1-KEPPWGPEPE,814728,826334
1-KEPPWGPJPB,816359,830356
1-KEPPWKPEPK,815479,828657
1-KEPPWSPHPB,816346,826636
1-KEPPWWPEPB,816026,830229
1-KEPPWYPEPB,816426,826383
1-KKPPWAPEPS,816721,830906
1-MDDITHZRHN,836024,820001
1-MDDIZHNRHN,836089,819980
1-MDDMZHZVHN,835980,819927
1-MDDNTHSEHN,836022,820098
1-MDDSIHLVHM,836382,820659
1-MDDSIHXRHZ,836334,820046
1-MDDSIHXXHZ,836314,820065
1-MDDSTHMXHN,836083,819625
1-MDDSZHDJHN,836154,819578
1-MDDTZHMRHM,836192,820587
1-MDDZIHIOHN,836062,819986
1-MDHHZHZEHN,835992,819905
1-MDHIIHIRHN,836061,819993
1-MDHIIHSJHN,836082,819926
1-MDHITHZYHN,836020,819997
1-MDHNTHTVHN,836176,819784
1-MDHNZHLXHT,836988,820884
1-MDHSIHDXHT,836861,820888
1-MDHTTHIAHD,837261,820858
1-MDHTZHZXHT,836085,820749
1-MDHXZHTXHN,836037,819752
1-MDHZIHLRHM,836382,820659
1-MDHZIHXXHM,836018,820631
1-MDIDTHXAHD,836960,820809
1-MDIITHMXHN,836079,819663
1-MDISIHLXHD,836456,820659
1-MDITTHSEHN,836024,820086
1-MDIXTHZAHN,836020,819997
1-MDLIIHXAHZ,836395,820073
1-MDLIIHXSHZ,836442,820047
1-MDLLZHMSTM,836235,820539
1-MDLMIHIOHD,837370,820878
1-MDLMTHDXHT,836685,820864
1-MDLSIHXRHZ,836414,819994
1-MDLSIHXXHZ,836398,820018
1-MDLSTHZEHN,836017,819967
1-MDMHZHDXHT,836742,820871
1-MDMNIHMHHN,836099,819715
1-MDMNTHLXHD,836453,820618
1-MDMNZHDEHN,836147,819577
1-MDMSTHIXHT,836512,820806
1-MDMTIHISHN,836063,819979
1-MDMXIHXXHT,836332,820757
1-MDMXZHZOHN,835957,819983
1-MDMZZHNYHN,836090,819975
1-MDNHZHTXHN,836251,819474
1-MDNITHTXHN,836205,819761
1-MDNLTHNHHZ,836607,820086
1-MDNLZHIXHN,836000,820081
1-MDNNTHMXHM,836225,820625
1-MDNSZHLYHN,836038,819778
1-MDNTZHMXHT,836504,820849
1-MDNXIHLAHN,836094,819873
1-MDSHTHDXHT,836668,820869
1-MDSHZHLXHT,836988,820884
1-MDSHZHTXHD,837305,820799
1-MDSIIHXSHZ,836371,820087
1-MDSIZHTAHD,837274,820817
1-MDSIZHZAHN,835953,820012
1-MDSLIHXVHZ,836295,820039
1-MDSLTHMEHM,836206,820631
1-MDSMZHSXHN,836050,819878
1-MDSNTHTAHN,836192,819780
1-MDSSTHXOHN,836058,820063
1-MDSSZHMXHN,836113,819555
1-MDSXTHHXHT,836261,820818
1-MDSXZHXXHT,836258,820754
1-MDTDTHZXHT,836180,820806
1-MDTLTHZEHN,836038,819964
1-MDTNZHZXHT,836111,820757
1-MDTTZHNAHN,836094,819966
1-MDXIIHXYHZ,836333,820123
1-MDXIZHXSHD,837153,820849
1-MDXLIHLYHN,836094,819873
1-MDXLTHTSHD,837471,820879
1-MDXMTHXVHN,836063,820044
1-MDXNTHDRHN,836135,819640
1-MDXNZHMVHM,836219,820576
1-MDXSIHLXHT,836470,820827
1-MDXTIHZSHD,836737,820774
1-MDXXTHNXHT,836765,820871
1-MDXZTHSXHT,836648,820821
1-MDZHTHIJHZ,836412,820203
1-MDZHZHSYHM,836306,820686
1-MDZLIHDJHN,835964,819990
1-MDZMIHTXHM,836307,820642
1-MDZMTHNXHT,836765,820865
1-MDZNZHLAHN,836024,819769
1-MDZSIHNRHN,836063,820044
1-MDZSTHZAHN,836008,819936
1-MIDDIHISHT,837088,820978
1-MIDIZHXRHT,837016,821149
1-MIDLZHIRHT,836410,822777
1-MIHHZHTSHT,837034,821089
1-MIHMIHHSHT,837168,820944
1-MIHMIHIJHT,837166,820978
1-MIHXIHZXHT,836763,821114
1-MIHXTHXSHT,836634,821312
1-MIHZIHDXHT,837236,821275
1-MIIIZHLAHT,836502,821597
1-MIILZHDJHT,837229,820954
1-MIIZIHDVHT,837233,821295
1-MILHTHDOHT,836225,822724
1-MILTIHZJHT,836762,821096
1-MIMTZHNSHT,836815,821628
1-MIMXTHDXHT,836296,822684
1-MINDZHHJHT,836167,820908
1-MINHIHZRHT,836768,821071
1-MINHZHXRHT,837174,821131
1-MINIIHHJHT,837182,820941
1-MINNTHDJHT,836255,822670
1-MINNZHTJHT,836242,822312
1-MISMTHDXHT,836274,822750
1-MISSIHHSHT,837182,820941
1-MISXTHDSHT,836318,822695
1-MITDIHTYHM,836687,822634
1-MITXIHHRHT,837182,820941
1-MITXIHIXHT,837058,820983
1-MITXZHTSHT,836080,822316
1-MITZIHTYHM,836748,822636
1-MIXDIHTYHM,836723,822614
1-MIXLTHDXHT,836412,822494
1-MIXMIHTYHM,836657,822603
1-MIXXIHNAHT,836552,821232
1-MIXZIHTYHM,836772,822658
1-MIZHIHXSHT,836820,821257
1-MIZHTHZSHT,837130,821165
1-MIZMIHISHT,837128,820980
1-MIZNTHDJHT,836233,822669
1-MLDDIHMSHZ,840258,819807
1-MLDHZHMSHZ,841089,819673
1-MLDHZHNYHZ,841228,819629
1-MLDNIHXXHZ,840285,819801
1-MLDNZHISHZ,841208,819845
1-MLDTZHDSHZ,841120,819560
1-MLDTZHIAHZ,841192,819851
1-MLDTZHXYHZ,841137,819684
1-MLDXZHLVHZ,841194,819380
1-MLDZZHNOHZ,841249,819633
1-MLHDIHMSHZ,840204,819949
1-MLHDIHMYHZ,840200,819974
1-MLHDTHLAHZ,841088,819430
1-MLHMZHMXHZ,840936,819511
1-MLHNTHLRHZ,841100,819425
1-MLHTTHMOHZ,841081,819433
1-MLHXIHXJHZ,840319,819780
1-MLHXTHLVHZ,841106,819422
1-MLHZTHIVHZ,841015,819737
1-MLHZTHLYHZ,841094,819428
1-MLIDIHTJHZ,841057,819474
1-MLIHIHTXHZ,841050,819461
1-MLILIHLXHZ,841388,819434
1-MLILIHXHHZ,840262,819826
1-MLINIHXEHZ,840354,819751
1-MLINIHXJHZ,840346,819761
1-MLISIHDYHZ,841275,819596
1-MLISIHZAHZ,840965,819555
1-MLIXIHHRHZ,840984,819627
1-MLIXIHZJHZ,840883,819568
1-MLIXTHNXHZ,840219,819982
1-MLIZIHXOHZ,840334,819754
1-MLIZIHXRHZ,840328,819812
1-MLIZIHXSHZ,840317,819759
1-MLIZIHXVMZ,840292,819788
1-MLIZIHXVTZ,840303,819780
1-MLIZIHXYHZ,840347,819825
1-MLLITHHVHZ,841109,819642
1-MLLMIHMEHZ,840204,820008
1-MLLMIHMVHZ,840201,819991
1-MLLTZHMAHZ,840920,819516
1-MLLTZHMVHZ,840914,819498
1-MLLXTHNJHZ,840224,819961
1-MLLZIHXXHZ,840336,819858
1-MLMNIHXAHZ,840310,819833
1-MLMZIHIEHZ,841342,819873
1-MLNDIHMEHZ,840269,819796
1-MLNHIHTOHZ,841043,819443
1-MLNMIHMAHZ,840868,820010
1-MLNMIHMHHZ,840833,820033
1-MLNNIHXYHZ,840423,819708
1-MLSNIHXEHZ,840329,819771
1-MLSZIHXEHZ,840391,819711
1-MLSZIHXXHZ,840364,819727
1-MLTMTHTEHZ,841311,819629
1-MLTNTHNXHZ,841058,819515
1-MLXDIHIRHZ,841310,819854
1-MLXDIHLAMZ,841521,819340
1-MLXDIHLATZ,841468,819564
1-MLXDIHXVHZ,841498,819368
1-MLXHIHLEHZ,841493,819460
1-MLXHIHXAHZ,841501,819421
1-MLXIIHLSHZ,841356,819488
1-MLXMIHLHHZ,841477,819535
1-MLXMIHMAHZ,840662,819910
1-MLXMIHMEHZ,840717,819852
1-MLXMIHMHHZ,840705,819879
1-MLXMIHXRHZ,841466,819355
1-MLXNIHLRHZ,841450,819619
1-MLXNIHXAHZ,840443,819702
1-MLXSIHLOHZ,841367,819459
1-MLXTIHDSHZ,841224,819580
1-MLXTIHLJHZ,841482,819506
1-MLXXIHLVHZ,841422,819691
1-MLXXIHXEHZ,840274,819810
1-MLXXIHXYHZ,840272,819816
1-MLXXTHNHHZ,840218,819997
1-MLXZIHLYHZ,841464,819589
1-MLXZIHXSHZ,841526,819381
1-MLZDZHHHHZ,840897,819663
1-MLZIZHXEHZ,841168,819671
1-MLZLZHMVHZ,841245,819703
1-MLZNZHNXHZ,841260,819647
1-MLZNZHTAHZ,841338,819724
1-MLZXIHXEHZ,840307,819787
1-MLZXZHHRHZ,840913,819663
1-MMDDIHDXHT,834951,820709
1-MMDDIHHRHN,835342,818569
1-MMDDIHLYHI,835848,819753
1-MMDDZHNVHL,835351,819746
1-MMDHIHZAHL,835489,819797
1-MMDHTHMSHL,835307,819595
1-MMDHTHSRHT,834942,820689
1-MMDHTHXVHL,835404,819647
1-MMDITHHRHN,835405,818637
1-MMDITHTRHT,835246,820043
1-MMDITHTXHM,835602,820301
1-MMDIZHNOHL,835348,819775
1-MMDLIHSVHI,835646,819985
1-MMDLIHXJHT,835301,820783
1-MMDLTHDJHT,835171,820704
1-MMDLTHHSHM,835689,820094
1-MMDLTHMXHM,835622,820409
1-MMDLTHXRHN,835527,818746
1-MMDLZHHJHT,835049,820363
1-MMDMIHHRHL,835303,819909
1-MMDMIHNJHN,835518,819044
1-MMDMIHTSHM,835692,820049
1-MMDMTHMOHL,835270,819656
1-MMDMTHTYHI,835658,820001
1-MMDNIHNXHN,835508,819093
1-MMDNTHIJHT,835307,820017
1-MMDNTHSOHL,835441,819733
1-MMDNZHMAHT,835038,820159
1-MMDNZHNSHL,835348,819759
1-MMDSIHHOHL,835293,819961
1-MMDSIHNAHM,835888,820669
1-MMDSIHXXHI,835651,819766
1-MMDSZHIJHT,835251,820436
1-MMDTIHNJHT,834937,820167
1-MMDTIHSSHT,835088,820691
1-MMDTIHTRHT,835186,820626
1-MMDTIHTRHX,835723,819089
1-MMDTIHXAHS,835475,819355
1-MMDTTHIRHT,835261,820550
1-MMDTZHLRHN,835607,818680
1-MMDTZHNRHL,835355,819734
1-MMDTZHSJHT,834682,820407
1-MMDTZHTVHL,835280,819874
1-MMDXIHHSHL,835296,819946
1-MMDXIHLJHT,835282,820681
1-MMDXIHLRHN,835598,818528
1-MMDXIHXXHS,835467,819386
1-MMDXTHDOHT,835232,820654
1-MMDXTHHJHM,835678,820102
1-MMDXTHNJHN,835489,818777
1-MMDXTHSAHL,835437,819749
1-MMDXZHDOHS,835322,819394
1-MMDXZHNJHN,835492,818664
1-MMDXZHSRHT,834708,820502
1-MMDXZHSXHI,835676,819822
1-MMDZIHHVHL,835298,819932
1-MMDZIHSJHT,835034,820743
1-MMDZIHSYHL,835313,819698
1-MMDZTHIRHT,835352,820568
1-MMDZTHSJHT,834871,820746
1-MMDZTHXJHN,835513,818694
1-MMDZZHHVHM,835542,820813
1-MMDZZHLSHS,835313,819457
1-MMDZZHNJHN,835483,818635
1-MMHDIHDSHT,834968,820698
1-MMHDIHHHHL,835303,819914
1-MMHDIHIEHT,835277,820381
1-MMHDIHSXHT,835049,820731
1-MMHDIHZAHT,834644,820492
1-MMHDIHZRHM,835568,820539
1-MMHDTHMRHL,835271,819651
1-MMHDZHLAHN,835603,818667
1-MMHDZHXEHM,835630,820517
1-MMHHIHIXHN,835548,818635
1-MMHHIHLJHM,835525,820641
1-MMHHIHXXHS,835477,819346
1-MMHHTHDSHM,835817,820679
1-MMHHTHXYHI,835598,819921
1-MMHHZHNJHL,835356,819725
1-MMHHZHSXHI,835682,819796
1-MMHHZHSXHN,835554,818538
1-MMHHZHTHHL,835282,819864
1-MMHIIHHYHL,835295,819950
1-MMHIIHLAHT,835275,820687
1-MMHIIHXAHN,835552,818724
1-MMHITHLHHN,835551,819294
1-MMHITHSJHM,835587,820100
1-MMHITHTXHT,835246,820039
1-MMHITHXAHT,835123,820782
1-MMHIZHDRHS,835328,819392
1-MMHIZHSSHT,834708,820514
1-MMHIZHTXHI,835714,819931
1-MMHLIHHRHL,835293,819961
1-MMHLIHTHHI,835821,819811
1-MMHLTHHAHN,835410,818654
1-MMHLTHLJHM,835588,820280
1-MMHLTHMOHL,835281,819607
1-MMHLTHSAHL,835428,819787
1-MMHLTHSRHM,835586,820109
1-MMHLZHDVHS,835351,819399
1-MMHLZHIAHT,835242,820472
1-MMHLZHISHT,835241,820476
1-MMHLZHNXHN,835498,818695
